t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.22,5.881901817819321e-14,-5.681239238276327e-13,1.0024808335339606e-12,7.326579528612806e-14,-1.996518320676946e-14,-1.9761007608899706e-15,-1.6777283230219597e-15,-3.679599214299195e-15,3.5401084055300056e-13,1.3521904611095946e-12,-1.1554851076878234e-11,2.6161272245208388e-12,5.1629212786518525e-14,-1.9358910904442722e-14,6.685664933996083e-16
0.23,-1.4430601150334545e-13,1.0806308071412054e-12,5.524699587514028e-13,2.544999767298186e-13,1.559039017134077e-14,-1.472349938367104e-15,-5.477423256714659e-16,3.02479361816068e-14,1.5283433901585285e-13,-2.8819388315939973e-12,-1.0155213695921825e-11,-1.3602588598961383e-12,3.5552111046235034e-13,-1.4009684390229107e-14,-9.283481101907132e-17
0.24,-1.7300972530694472e-13,1.263535601831161e-12,-6.931492123438306e-13,4.1499240838443335e-14,3.043517450866326e-14,1.503456376322071e-15,2.0446901008268348e-15,1.421204056132816e-14,-3.77627731873182e-13,-2.2808703778226698e-12,8.625051729413673e-12,-3.2953783270423843e-12,8.178900671963404e-14,1.7494394875892244e-14,-1.1483767767012792e-15
0.25,1.082790337969021e-14,-2.7710843805684414e-13,-8.620988275196469e-13,-2.4756262781400716e-13,-4.076840725902517e-15,2.820419814581268e-15,1.549734868428257e-15,-3.4573279433574786e-14,-2.8887333267091884e-13,2.4914625247065506e-12,1.2553754344786722e-11,3.8072136385896606e-13,-3.820373887847197e-13,2.58352333395908e-14,-5.198952704975335e-16
0.26,1.7793240296958002e-13,-1.443104235285611e-12,2.503189441751402e-13,-1.5695249462079064e-13,-3.606655447387086e-14,-6.9727752217974e-16,-2.268069629676739e-15,-2.847757294734132e-14,3.6061895115034603e-13,3.1595486589455074e-12,-5.019338053914926e-12,3.678020534620893e-12,-2.455127301546206e-13,-8.86431498949708e-15,1.0341594659617204e-15
0.27,1.2500043318139364e-13,-6.440788115520679e-13,9.44136858537642e-13,1.8384225348652694e-13,-1.1817207368897131e-14,-3.681354266565906e-15,-2.645724351407752e-15,3.494486601127167e-14,4.38703272927915e-13,-1.8051042973733777e-12,-1.3896055042327687e-11,8.03908507688092e-13,3.418338474694277e-13,-3.559604461233004e-14,1.4178111809592941e-15
0.28,-7.88787472025352e-14,1.0335092123206404e-12,2.1222172985418085e-13,2.4715212176644984e-13,3.4801151625176927e-14,-7.884352079632478e-16,1.9975306944555044e-15,4.596322983134969e-14,-2.9324459866115517e-13,-3.891385589547278e-12,1.0479257943980715e-12,-3.6713158046693204e-12,4.141676388511647e-13,-6.253898359462676e-15,-4.733321753210701e-16
0.29,-1.693991152321335e-13,1.3035337715380617e-12,-8.003249823388021e-13,-7.565465859034684e-14,2.881038913297648e-14,4.043742066455608e-15,4.088844876831005e-15,-2.9530963449337505e-14,-5.873176362023065e-13,8.52831578957141e-13,1.4084566297273542e-11,-2.06385533256569e-12,-2.2614040224829338e-13,3.914469253298372e-14,-1.8419747877581466e-15
0.3,-5.690727159250383e-14,-2.0145830939869921e-13,-5.810435615180402e-13,-2.8863857240738963e-13,-2.5415101609620877e-14,2.657928402111792e-15,-1.4785197263549044e-15,-6.507521707914063e-14,1.7086235448411993e-13,4.384735420072134e-12,2.9484365320878343e-12,3.2264686866787136e-12,-5.542792583961877e-13,2.574442801951335e-14,-6.084644235942321e-16
0.31,1.1974868999501363e-13,-1.427791184029992e-12,4.910003305357621e-13,-5.4008152252727273e-14,-4.310021103578511e-14,-3.267490580405666e-15,-5.6397249338039496e-15,1.6716090181978158e-14,7.158157225327973e-13,3.0524451442490684e-13,-1.3119841615162131e-11,3.245372337702798e-12,3.837384172900547e-14,-3.361348946038199e-14,1.7566006429384912e-15
0.32,1.3751453182544657e-13,-7.116950597103357e-13,7.872378625177999e-13,2.6961025507412847e-13,8.607230325610032e-15,-4.862897465349875e-15,1.135905063585907e-16,8.359498938339746e-14,6.573050209592729e-15,-4.563608205796019e-12,-6.633933995940731e-12,-2.3483355627369924e-12,6.329953718847182e-13,-4.508824140870421e-14,1.5918578168952133e-15
0.33,-8.562449387754592e-15,9.706542583316335e-13,-1.0001013214734795e-13,1.7898891394095388e-13,4.9752014980681755e-14,1.6680823118186278e-15,7.1012362385779876e-15,4.3157040170282296e-15,-8.051572273758568e-13,-1.5824914790304057e-12,1.1102459321229953e-11,-4.190711827171479e-12,2.0090545099402633e-13,1.7682148198980632e-14,-9.80315275570659e-16
0.34,-1.2583720008932722e-13,1.3223932243829582e-12,-8.014634217249662e-13,-1.9269344285347337e-13,1.3322317153532243e-14,6.281074564542383e-15,2.075237497036614e-15,-9.845133741451587e-14,-2.3093780712616155e-13,4.3765583808397755e-12,9.706135031719697e-12,1.1003781504146e-12,-6.213200052650365e-13,5.923678838030619e-14,-2.1092475639347685e-15
0.35000000000000003,-8.265964986326011e-14,-1.2001865464189663e-13,-2.791344307523933e-13,-2.6966631002051187e-13,-4.765986901195205e-14,5.272797037316965e-16,-8.431699687950524e-15,-3.3735677351155215e-14,8.353902744123167e-13,2.872703192607017e-12,-8.222765697846386e-12,4.757668954643939e-12,-4.594091779767289e-13,6.782753544476265e-15,1.270261429679384e-16
0.36,4.7724265538800006e-14,-1.3889320839017682e-12,6.407637719301352e-13,7.112568522972713e-14,-3.549475641249737e-14,-6.782047118998255e-15,-5.011328130894929e-15,1.0616362999750668e-13,4.889842498197617e-13,-3.803198245021884e-12,-1.1918551957407165e-11,4.0163420075086005e-13,5.047943976070699e-13,-6.308681401172474e-14,2.2906684687094836e-15
0.37,1.0205623001693313e-13,-7.672761538401801e-13,5.682596947387481e-13,3.0489050716899727e-13,3.508202605642056e-14,-3.636568246512782e-15,8.900278314371603e-15,7.046409659374701e-14,-7.91599850109132e-13,-4.059274284098197e-12,4.7374916845515725e-12,-4.841754660706867e-12,6.932055789983385e-13,-3.5760590926729556e-14,8.83601053653163e-16
0.38,2.847104571144978e-14,8.851191315122206e-13,-3.534595525474119e-13,6.857264830560563e-14,5.2787532035954675e-14,6.036734358379724e-15,8.790391036058408e-15,-1.037610701705308e-13,-7.593911885086938e-13,2.858498409423981e-12,1.3108250655375644e-11,-1.999322075965323e-12,-2.835636676775397e-13,5.386901862081128e-14,-2.0380671502122534e-15
0.39,-5.243159185085947e-14,1.3219134903326218e-12,-7.156441322924085e-13,-2.7539213077120654e-13,-1.3041225881854114e-14,7.150521697646926e-15,-8.295239292016067e-15,-1.1183351099829878e-13,6.623756905243866e-13,5.026939386875893e-12,-9.535997700168978e-13,4.389842423962553e-12,-8.585340300688209e-13,6.292747694995084e-14,-1.7606960472384657e-15
0.4,-5.508534861570604e-14,-2.888408523455234e-14,7.0593851876871e-15,-1.950150830818992e-13,-6.161918458797268e-14,-3.671614234705429e-15,-1.3280681249009958e-14,8.801860455087294e-14,1.0179137628215057e-12,-1.5935344313699096e-12,-1.319849770535492e-11,3.511061872928697e-12,-1.9922337739198496e-14,-3.108550607677438e-14,1.5441664738330071e-15
0.41000000000000003,1.739133129500213e-15,-1.3206197559259081e-12,7.008188161603457e-13,1.8639957978549334e-13,-1.4258920446826896e-14,-9.72153435497506e-15,6.136440300666922e-15,1.5412721791928981e-13,-4.454119178657701e-13,-5.672323784519672e-12,-2.809740919543593e-12,-3.41176205498762e-12,9.148183055404874e-13,-8.198459170935275e-14,2.6133412230430362e-15
