t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.1,-0.9910659477293593,0.06431217677682959,-0.08262711352926629,-0.9902162066093055,-0.9998519452640274,-0.9999143716549231,-0.9998609947745503,-0.9998909682098607,-0.999875054631877,-0.9802100252382459,0.9605277978133628,-0.9801216501541984,-0.999505361637111,-0.999475024582935,-0.9996698539832605
0.11,-0.989388171358486,0.07708536977747756,-0.0988926839299549,-0.9885075979398072,-0.9997290040886467,-0.999631964236855,-0.999617850301094,-0.999613794779777,-0.9996756167922738,-0.976110800171838,0.9523700058098263,-0.9763026258057387,-0.9998814695254621,-0.999777299791635,-0.9997850693804107
0.12,-0.9876578329288973,0.0907865965932046,-0.11613338502852294,-0.9864418553100541,-0.9996405478534515,-0.9998030428224814,-0.9999014764977379,-0.999857665899819,-0.9995635942282473,-0.9714845584790777,0.9434836909686587,-0.9719039294886349,-0.9997269580744585,-0.9998763432874634,-0.999988660679178
0.13,-0.9860697549695918,0.1051946681325815,-0.13415193502662817,-0.9842369965623295,-0.9997466225997104,-0.9999378365649151,-0.9999007101866149,-0.9999306302639017,-0.9997069375493015,-0.9667743705207127,0.9338872840544137,-0.9669837654265169,-0.9993256074082686,-0.9996112722969948,-0.999883735897354
0.14,-0.984607008158552,0.12024867374039179,-0.15309919723014442,-0.9821079943784897,-0.9996878298312354,-0.9996779844252071,-0.9996249348757472,-0.9996365474805614,-0.999630706836984,-0.9617486597314124,0.9235964063607605,-0.9619926892199169,-0.9994746138061514,-0.9995427710865444,-0.9996747542422129
0.15,-0.9831099500938453,0.13603195972645815,-0.17292608008124424,-0.9799205227076769,-0.9996046541450248,-0.9997500229209721,-0.9998581224610572,-0.9998019842623792,-0.999453864275861,-0.956093404109874,0.9126202132894584,-0.9568257358354737,-0.9997411537334918,-0.9997619922240126,-0.9997681750379972
0.16,-0.9815438254523221,0.1525522840923609,-0.1932377131988417,-0.9775291465046012,-0.9996601596788638,-0.9999339389947633,-0.9999310340578558,-0.9999524452218885,-0.9994492759312239,-0.950200185973867,0.9009764052507732,-0.9510771293615852,-0.999427103447958,-0.9998077164752217,-0.9999808159240287
0.17,-0.980084759586824,0.16960851091192597,-0.21384657383737676,-0.975020640896428,-0.999581736393144,-0.9997299131233608,-0.9996440735016618,-0.9996734374692992,-0.9994076823051303,-0.9442180799279517,0.88868944068516,-0.9449361951424502,-0.9990853736413189,-0.9996399753746343,-0.9998979887518317
0.18,-0.9789083701982852,0.18694353735013036,-0.23489077144734957,-0.9725818376807046,-0.999476178025358,-0.9997180287108741,-0.9998147063610027,-0.9997517960505197,-0.9992588774723181,-0.9377134281337081,0.8757736891991222,-0.9387988720663958,-0.9992865155223728,-0.999606373152133,-0.9996811499624318
0.19,-0.9779837097672603,0.20448915692044262,-0.2562896842629493,-0.9702001127067295,-0.9995386850443292,-0.9999101935539358,-0.999949761775858,-0.9999545991809327,-0.9991177469017161,-0.9307611056115982,0.8622416567768929,-0.9324455074565989,-0.9993828941082268,-0.9997174264636576,-0.9997520048682982
0.2,-0.977157702364388,0.22234405356592224,-0.2776600789256905,-0.9676521083870765,-0.9994651403340045,-0.9997744667135706,-0.9996728586627293,-0.9997173730884913,-0.9989831829373577,-0.9237755250454646,0.8481197091974975,-0.9255468685012671,-0.9989431124058318,-0.9997469369291699,-0.9999709247479036
0.21,-0.9764018706300616,0.24049865302327308,-0.29884992514836584,-0.9649716765762814,-0.999273288820975,-0.9997069729262321,-0.9997757331350704,-0.9997123048771146,-0.9988655464515693,-0.9165159631124248,0.8334327096921065,-0.9183952569267639,-0.9986722603561734,-0.9996905191805886,-0.9999105790323932
0.22,-0.9758742734764838,0.25870575840893106,-0.3199842221127442,-0.9624743805012002,-0.9993007759770386,-0.9998779620748232,-0.9999567071388334,-0.999938495102639,-0.998670470740573,-0.9087114442998592,0.8181933827405383,-0.9112997988913825,-0.9988506402638658,-0.9996514026385536,-0.9996887205239442
0.23,-0.9757175789275984,0.276700444299388,-0.34095089395415434,-0.9600896639663488,-0.999302331325228,-0.9998043830403072,-0.9997079334307671,-0.9997602711318367,-0.9983671366949892,-0.9007480736144976,0.8024219687879807,-0.9039576288474374,-0.998745038467825,-0.9996514068967303,-0.9997372433234479
