{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{7.405187574249793*^-14 + 0.*I, 0.04020528957046199 + 0.*I, 0.003636284006873991 + 0.*I, 0.02671465546460902 + 0.*I, 0.231897162772106 + 0.*I, 0.06314041452283092 + 0.*I, 0.06391796110254 + 0.*I, 0.002323269731791977 + 0.*I, 0.00036334089151801585 + 0.*I, 0.000017853582799043366 + 0.*I, 0.00001763404021201675 + 0.*I, 1.5903545740325595*^-6 + 0.*I, 0.000010305047383973864 + 0.*I, 9.992007221626409*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I}
{7.505107646466057*^-14 + 0.*I, 0.05291163150607502 + 0.*I, 0.005757155658208002 + 0.*I, 0.03193869033857199 + 0.*I, 0.22831289598320403 + 0.*I, 0.06440231245723604 + 0.*I, 0.06530009262543002 + 0.*I, 0.0023812066697639356 + 0.*I, 0.00035062127039509056 + 0.*I, 0.000017403493896006594 + 0.*I, 0.000017164740768044195 + 0.*I, 1.674328976020156*^-6 + 0.*I, 0.000011525167288084504 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{7.804867863114849*^-14 + 0.*I, 0.065331387657515 + 0.*I, 0.008303118648049 + 0.*I, 0.037044017511046995 + 0.*I, 0.22456234124483096 + 0.*I, 0.06558220804959602 + 0.*I, 0.06661126216920099 + 0.*I, 0.0024391836060420054 + 0.*I, 0.00033729096752199705 + 0.*I, 0.000016877261268977147 + 0.*I, 0.000016620479323964373 + 0.*I, 1.7514102889082393*^-6 + 0.*I, 0.000012841426467957716 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{7.105427357601002*^-14 + 0.*I, 0.07744911963128297 + 0.*I, 0.011251617729445938 + 0.*I, 0.04201434557081196 + 0.*I, 0.220658676107886 + 0.*I, 0.06667414570591002 + 0.*I, 0.06784563083531492 + 0.*I, 0.0024969659108680094 + 0.*I, 0.0003233955045121028 + 0.*I, 0.000016283138106976125 + 0.*I, 0.000016009948283018934 + 0.*I, 1.8202721789872811*^-6 + 0.*I, 0.00001425631964502294 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{7.793765632868598*^-14 + 0.*I, 0.08925123715085291 + 0.*I, 0.014578388660965058 + 0.*I, 0.046834282931967 + 0.*I, 0.216613658010913 + 0.*I, 0.06767321871780396 + 0.*I, 0.06899832388099002 + 0.*I, 0.0025542502373410154 + 0.*I, 0.0003089862187420911 + 0.*I, 0.000015629985769982646 + 0.*I, 0.000015342406885970883 + 0.*I, 1.8797059250230674*^-6 + 0.*I, 0.000015772080044995637 + 0.*I, 1.8096635301390052*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{7.804867863114849*^-14 + 0.*I, 0.100726223090854 + 0.*I, 0.01825777955227392 + 0.*I, 0.05148940129074205 + 0.*I, 0.212437596555051 + 0.*I, 0.068575624173129 + 0.*I, 0.07006549315573894 + 0.*I, 0.0026106679262030137 + 0.*I, 0.00029412184354893345 + 0.*I, 0.000014927035230982709 + 0.*I, 0.000014627424820029543 + 0.*I, 1.9286573690324715*^-6 + 0.*I, 0.000017390690922991503 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{7.804867863114849*^-14 + 0.*I, 0.11186482483348503 + 0.*I, 0.022263119567275 + 0.*I, 0.05596628675220202 + 0.*I, 0.20813938156258102 + 0.*I, 0.06937868788575295 + 0.*I, 0.07104435342746694 + 0.*I, 0.0026657907870339947 + 0.*I, 0.0002788696121429623 + 0.*I, 0.000014183658577970881 + 0.*I, 0.000013874638303018603 + 0.*I, 1.9662587109614545*^-6 + 0.*I, 0.000019113902853029607 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 2.009503674571533*^-14 + 0.*I}
{7.09432512735475*^-14 + 0.*I, 0.12266020587391102 + 0.*I, 0.02656712223441204 + 0.*I, 0.06025257810400996 + 0.*I, 0.20372656167022393 + 0.*I, 0.07008085985713197 + 0.*I, 0.071933192724272 + 0.*I, 0.002719139138840032 + 0.*I, 0.00026330577523703264 + 0.*I, 0.000013409159267063764 + 0.*I, 0.000013093528262037022 + 0.*I, 1.991853385008291*^-6 + 0.*I, 0.000020943257243999366 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{6.994405055138486*^-14 + 0.*I, 0.133108052703651 + 0.*I, 0.031142308929695935 + 0.*I, 0.06433699161783993 + 0.*I, 0.19920546712448703 + 0.*I, 0.07068168150386599 + 0.*I, 0.07273135733137404 + 0.*I, 0.002770191926168008 + 0.*I, 0.0002475154674930202 + 0.*I, 0.000012612588320970453 + 0.*I, 0.000012293228149939937 + 0.*I, 2.005012729067168*^-6 + 0.*I, 0.000022880117295009935 + 0.*I, 2.1982415887578096*^-14 + 0.*I, 1.9984014443252818*^-14 + 0.*I}
{6.3948846218409*^-14 + 0.*I, 0.143206633235894 + 0.*I, 0.035961437093208974 + 0.*I, 0.06820933172446803 + 0.*I, 0.19458136963129102 + 0.*I, 0.07118172649404796 + 0.*I, 0.07343921251104701 + 0.*I, 0.002818398661752041 + 0.*I, 0.00023159190820598583 + 0.*I, 0.000011802590890064302 + 0.*I, 0.000011482366543080767 + 0.*I, 2.0055435709931398*^-6 + 0.*I, 0.000024925707580059072 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{6.905587213168474*^-14 + 0.*I, 0.15295680435607392 + 0.*I, 0.040997917461856076 + 0.*I, 0.07186048696701897 + 0.*I, 0.1898586715504049 + 0.*I, 0.07158251754639298 + 0.*I, 0.07405808038610405 + 0.*I, 0.002863192884240972 + 0.*I, 0.00021563497356702485 + 0.*I, 0.00001098728603798893 + 0.*I, 0.000010668947099001791 + 0.*I, 1.993486466012051*^-6 + 0.*I, 0.00002708116368899116 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.9984014443252818*^-14 + 0.*I}
{6.206146707654625*^-14 + 0.*I, 0.162361967536224 + 0.*I, 0.04622620505277404 + 0.*I, 0.07528241080871306 + 0.*I, 0.18504111639929796 + 0.*I, 0.07188642198094596 + 0.*I, 0.07459015677049495 + 0.*I, 0.002904006760457989 + 0.*I, 0.0001997492266849754 + 0.*I, 0.00001017417968995904 + 0.*I, 9.860266351052749*^-6 + 0.*I, 1.9691048599446144*^-6 + 0.*I, 0.00002934759342299031 + 0.*I, 1.9984014443252818*^-14 + 0.*I, 1.8984813721090174*^-14 + 0.*I}
{5.706546346573303*^-14 + 0.*I, 0.17142797279653996 + 0.*I, 0.051622149773353 + 0.*I, 0.07846808716847498 + 0.*I, 0.180132012524701 + 0.*I, 0.07209652919082397 + 0.*I, 0.07503840907475601 + 0.*I, 0.0029402864084719926 + 0.*I, 0.00018404153279194532 + 0.*I, 9.370109333994845*^-6 + 0.*I, 9.062867431963715*^-6 + 0.*I, 1.93286614902366*^-6 + 0.*I, 0.000031726150394040253 + 0.*I, 1.4099832412739486*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{5.295763827461996*^-14 + 0.*I, 0.18016297259304095 + 0.*I, 0.05716329428597103 + 0.*I, 0.08141148097501999 + 0.*I, 0.17513446189647705 + 0.*I, 0.07221651354888291 + 0.*I, 0.075406457773999 + 0.*I, 0.002971507472830925 + 0.*I, 0.00016861841781101725 + 0.*I, 8.581217235015258*^-6 + 0.*I, 8.282526518993414*^-6 + 0.*I, 1.8854159860026696*^-6 + 0.*I, 0.00003421812047998962 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{4.507505479978135*^-14 + 0.*I, 0.188577228420808 + 0.*I, 0.06282910900757799 + 0.*I, 0.08410747455154098 + 0.*I, 0.1700515862650189 + 0.*I, 0.07225048658156095 + 0.*I, 0.075698444311466 + 0.*I, 0.0029971904499009883 + 0.*I, 0.00015358334526394124 + 0.*I, 7.812947909968669*^-6 + 0.*I, 7.524267352954083*^-6 + 0.*I, 1.8275479820584193*^-6 + 0.*I, 0.00003682502048507618 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{4.0967229608668276*^-14 + 0.*I, 0.19668287402236304 + 0.*I, 0.06860115674200604 + 0.*I, 0.08655179123820898 + 0.*I, 0.16488674338639694 + 0.*I, 0.07220284253477403 + 0.*I, 0.07591888871244101 + 0.*I, 0.0030169152431400725 + 0.*I, 0.00013903408902504744 + 0.*I, 7.070065330960773*^-6 + 0.*I, 6.7923986630247235*^-6 + 0.*I, 1.7601708530712297*^-6 + 0.*I, 0.0000395487070640188 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.8984813721090174*^-14 + 0.*I}
{3.796962744218035*^-14 + 0.*I, 0.20449364006027604 + 0.*I, 0.07446318228241901 + 0.*I, 0.08874090828716104 + 0.*I, 0.15964372664715498 + 0.*I, 0.07207810171097395 + 0.*I, 0.07607254058268596 + 0.*I, 0.0030303344281020768 + 0.*I, 0.0001250603675559958 + 0.*I, 6.3566848340634854*^-6 + 0.*I, 6.0905690219270606*^-6 + 0.*I, 1.6842757589730082*^-6 + 0.*I, 0.00004239149278306708 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{2.9976021664879227*^-14 + 0.*I, 0.21202454593949496 + 0.*I, 0.080401125235676 + 0.*I, 0.09067196167724799 + 0.*I, 0.1543269421984139 + 0.*I, 0.07188075615335598 + 0.*I, 0.076164227529125 + 0.*I, 0.00303718472842307 + 0.*I, 0.00011174188006490837 + 0.*I, 5.676315234071083*^-6 + 0.*I, 5.421833495972139*^-6 + 0.*I, 1.6009063870114912*^-6 + 0.*I, 0.000045356264533058514 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{2.1982415887578096*^-14 + 0.*I, 0.21929156514313602 + 0.*I, 0.08640305717445905 + 0.*I, 0.092342646040918 + 0.*I, 0.148941558620173 + 0.*I, 0.071615122360264 + 0.*I, 0.07619870533056604 + 0.*I, 0.0030372962477119843 + 0.*I, 0.00009914685010903311 + 0.*I, 5.031906951002973*^-6 + 0.*I, 4.788726960969213*^-6 + 0.*I, 1.5111343319995638*^-6 + 0.*I, 0.00004844659816694019 + 0.*I, 1.4988010832439613*^-14 + 0.*I, 1.3100631690576847*^-14 + 0.*I}
{1.4988010832439613*^-14 + 0.*I, 0.22631127097396103 + 0.*I, 0.09245904689823194 + 0.*I, 0.09375111332458905 + 0.*I, 0.14349362516098693 + 0.*I, 0.071285205701206 + 0.*I, 0.0761805143593971 + 0.*I, 0.0030305990700700836 + 0.*I, 0.00008733114072601021 + 0.*I, 4.425902504934242*^-6 + 0.*I, 4.193338849017847*^-6 + 0.*I, 1.4160423019715651*^-6 + 0.*I, 0.00005166686223501138 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{6.9944050551384854*^-15 + 0.*I, 0.23310046997644793 + 0.*I, 0.09856095998668202 + 0.*I, 0.09489587407215003 + 0.*I, 0.13799015570968695 + 0.*I, 0.07089458104004397 + 0.*I, 0.07611384677306199 + 0.*I, 0.0030171269302680104 + 0.*I, 0.00007633796062200826 + 0.*I, 3.860286083012809*^-6 + 0.*I, 3.6373845889725583*^-6 + 0.*I, 1.31671729097782*^-6 + 0.*I, 0.000055022302951068795 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{1.9984014443252814*^-15 + 0.*I, 0.23967583055655003 + 0.*I, 0.10470220089230996 + 0.*I, 0.09577570529583805 + 0.*I, 0.13243917682503592 + 0.*I, 0.07044629372729805 + 0.*I, 0.07600242882574892 + 0.*I, 0.0029970177630319612 + 0.*I, 0.00006619813903796512 + 0.*I, 3.3366293400449716*^-6 + 0.*I, 3.1222691249943586*^-6 + 0.*I, 1.2142557159755538*^-6 + 0.*I, 0.00005851910221699175 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.24605351442473097 + 0.*I, 0.11087740750245699 + 0.*I, 0.09638956875916405 + 0.*I, 0.12684973934206498 + 0.*I, 0.06994278458488201 + 0.*I, 0.07584942227737301 + 0.*I, 0.002970511062300063 + 0.*I, 0.00005693090914593579 + 0.*I, 2.856130605022322*^-6 + 0.*I, 2.649137875981866*^-6 + 0.*I, 1.1097821229766323*^-6 + 0.*I, 0.00006216440130601962 + 0.*I, 8.992806499463768*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.252248818469446 + 0.*I, 0.11708210939033502 + 0.*I, 0.09673654313816696 + 0.*I, 0.12123189425258307 + 0.*I, 0.069385841770639 + 0.*I, 0.07565734829639802 + 0.*I, 0.0029379421117580184 + 0.*I, 0.000048545111246967025 + 0.*I, 2.4196447170332642*^-6 + 0.*I, 2.2189109030179566*^-6 + 0.*I, 1.0044827299937609*^-6 + 0.*I, 0.0000659662837770858 + 0.*I, 1.6986412276764895*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{1.298960938811433*^-14 + 0.*I, 0.25827583452756997 + 0.*I, 0.12331236187368398 + 0.*I, 0.096815772961647 + 0.*I, 0.11559663468450299 + 0.*I, 0.06877658149090304 + 0.*I, 0.07542803648086692 + 0.*I, 0.0028997332786190318 + 0.*I, 0.000041040707826955895 + 0.*I, 2.027700491041839*^-6 + 0.*I, 1.8322961660155455*^-6 + 0.*I, 8.996549809570097*^-7 + 0.*I, 0.00006993371322203122 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.5099033134902126*^-14 + 0.*I}
{2.7977620220553942*^-14 + 0.*I, 0.26414713425932607 + 0.*I, 0.12956436852702802 + 0.*I, 0.09662643648506496 + 0.*I, 0.10995580684080097 + 0.*I, 0.06811545845714295 + 0.*I, 0.075162600689336 + 0.*I, 0.0028563826876679688 + 0.*I, 0.000034410494046066546 + 0.*I, 1.6805029670052818*^-6 + 0.*I, 1.4897782759648592*^-6 + 0.*I, 7.967736889991083*^-7 + 0.*I, 0.00007407642377604828 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{3.397282455352979*^-14 + 0.*I, 0.26987348595905203 + 0.*I, 0.13583410497365297 + 0.*I, 0.09616773376722405 + 0.*I, 0.10432199366961104 + 0.*I, 0.067402305802161 + 0.*I, 0.07486144232707491 + 0.*I, 0.002808450703752019 + 0.*I, 0.00002864188956397395 + 0.*I, 1.3779173410610743*^-6 + 0.*I, 1.191580100035061*^-6 + 0.*I, 6.975743589709982*^-7 + 0.*I, 0.00007840476425202692 + 0.*I, 7.993605777301126*^-15 + 0.*I, 9.103828801926282*^-15 + 0.*I}
{3.597122599785507*^-14 + 0.*I, 0.27546360963894595 + 0.*I, 0.14211695664210497 + 0.*I, 0.095438895244487 + 0.*I, 0.098708375790022 + 0.*I, 0.06663640294228301 + 0.*I, 0.07452428063146099 + 0.*I, 0.002756544741697064 + 0.*I, 0.000023718707309994255 + 0.*I, 1.119432157969946*^-6 + 0.*I, 9.375956759871683*^-7 + 0.*I, 6.041536679823878*^-7 + 0.*I, 0.00008292949981902885 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{4.0967229608668276*^-14 + 0.*I, 0.280923976109453 + 0.*I, 0.14840738273139006 + 0.*I, 0.09443921009253796 + 0.*I, 0.09312857476972802 + 0.*I, 0.06581656865962003 + 0.*I, 0.07415020840594898 + 0.*I, 0.002701302988629028 + 0.*I, 0.00001962281236200791 + 0.*I, 9.040997970000131*^-7 + 0.*I, 7.272947539771478*^-7 + 0.*I, 5.19086994971163*^-7 + 0.*I, 0.00008766157809794727 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{5.495603971894524*^-14 + 0.*I, 0.286258655044171 + 0.*I, 0.1546986179027169 + 0.*I, 0.09316807268993199 + 0.*I, 0.08759648422255994 + 0.*I, 0.06494127555429907 + 0.*I, 0.07373777063041498 + 0.*I, 0.00264337766029199 + 0.*I, 0.00001633560367597653 + 0.*I, 7.304535359908825*^-7 + 0.*I, 5.596011140029944*^-7 + 0.*I, 4.455619260212984*^-7 + 0.*I, 0.0000926118691499944 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{5.007105841059456*^-14 + 0.*I, 0.291469216159123 + 0.*I, 0.16098242221232295 + 0.*I, 0.09162504460955406 + 0.*I, 0.08212609435851102 + 0.*I, 0.06400878104837503 + 0.*I, 0.07328506248476296 + 0.*I, 0.0025834184191659837 + 0.*I, 0.000013839272938964696 + 0.*I, 5.964019570425804*^-7 + 0.*I, 4.3274904104606543*^-7 + 0.*I, 3.8752645500905736*^-7 + 0.*I, 0.0000977908908919578 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{5.5955240441107883*^-14 + 0.*I, 0.29655468665528606 + 0.*I, 0.16724888852022998 + 0.*I, 0.08980992881514303 + 0.*I, 0.07673131557591194 + 0.*I, 0.06301726937144601 + 0.*I, 0.07278984261295895 + 0.*I, 0.002522056558089014 + 0.*I, 0.000012117814082945877 + 0.*I, 4.991031080370245*^-7 + 0.*I, 3.4412465399480396*^-7 + 0.*I, 3.4984935304294135*^-7 + 0.*I, 0.00010320853252898664 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{6.3948846218409*^-14 + 0.*I, 0.301511566975888 + 0.*I, 0.17348631505431897 + 0.*I, 0.08772285217245 + 0.*I, 0.07142580644477703 + 0.*I, 0.06196499847117997 + 0.*I, 0.07224965696142403 + 0.*I, 0.002459890501452011 + 0.*I, 0.000011157772726977376 + 0.*I, 4.3482280501216936*^-7 + 0.*I, 2.901004810818008*^-7 + 0.*I, 3.384894159685903*^-7 + 0.*I, 0.00010887378877200149 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{5.695444116327052*^-14 + 0.*I, 0.30633390572449304 + 0.*I, 0.17968114898088292 + 0.*I, 0.08536435202782199 + 0.*I, 0.06622281100903205 + 0.*I, 0.06085044560196906 + 0.*I, 0.07166196826893699 + 0.*I, 0.0023974730998550515 + 0.*I, 0.000010948736373972423 + 0.*I, 3.98783105981515*^-7 + 0.*I, 2.658731659277435*^-7 + 0.*I, 3.606690769375475*^-7 + 0.*I, 0.00011479451661600136 + 0.*I, 1.609823385706477*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{7.09432512735475*^-14 + 0.*I, 0.31101343329188896 + 0.*I, 0.18581800474514798 + 0.*I, 0.08273546247751502 + 0.*I, 0.061135009758467966 + 0.*I, 0.059672445463130996 + 0.*I, 0.07102428626738998 + 0.*I, 0.0023353010999050956 + 0.*I, 0.000011483572353032656 + 0.*I, 3.8500842500233107*^-7 + 0.*I, 2.6531486108094526*^-7 + 0.*I, 4.250466839605948*^-7 + 0.*I, 0.00012097722450199465 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{7.005507285384738*^-14 + 0.*I, 0.315539752372248 + 0.*I, 0.191879758625309 + 0.*I, 0.07983779604910592 + 0.*I, 0.05617438791834494 + 0.*I, 0.058430315179328944 + 0.*I, 0.07033429386129796 + 0.*I, 0.0022738070638139707 + 0.*I, 0.000012758423407976947 + 0.*I, 3.8617764300252766*^-7 + 0.*I, 2.8084851999565785*^-7 + 0.*I, 5.418806439116963*^-7 + 0.*I, 0.00012742690070099982 + 0.*I, 1.3988810110276971*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{6.994405055138486*^-14 + 0.*I, 0.3199005821394469 + 0.*I, 0.19784771843857196 + 0.*I, 0.07667361683075002 + 0.*I, 0.05135212390969601 + 0.*I, 0.05712396111083806 + 0.*I, 0.06958996496091495 + 0.*I, 0.002213353900071935 + 0.*I, 0.000014772470287027772 + 0.*I, 3.9349076799699567*^-7 + 0.*I, 3.0335607004161597*^-7 + 0.*I, 7.231775819294127*^-7 + 0.*I, 0.00013414688429502775 + 0.*I, 1.4988010832439613*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{7.105427357601002*^-14 + 0.*I, 0.3240820514392119 + 0.*I, 0.20370186471694696 + 0.*I, 0.07324590158879399 + 0.*I, 0.0466784999827009 + 0.*I, 0.05575396340925998 + 0.*I, 0.068789670211972 + 0.*I, 0.002154232053622973 + 0.*I, 0.000017527469945988194 + 0.*I, 3.965581459874911*^-7 + 0.*I, 3.2212654005325797*^-7 + 0.*I, 9.828160839608913*^-7 + 0.*I, 0.00014113877834298627 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{8.293365993949918*^-14 + 0.*I, 0.328069034971945 + 0.*I, 0.20942115702291494 + 0.*I, 0.06955838607603604 + 0.*I, 0.042162836153767036 + 0.*I, 0.054321635334930944 + 0.*I, 0.06793226754936597 + 0.*I, 0.0020966592963950204 + 0.*I, 0.000021027077751978318 + 0.*I, 3.8331912499689475*^-7 + 0.*I, 3.2484822498624055*^-7 + 0.*I, 1.3366373911027907*^-6 + 0.*I, 0.00014840240097202528 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{7.494005416219805*^-14 + 0.*I, 0.335388169620429 + 0.*I, 0.220357557688736 + 0.*I, 0.06143148204065199 + 0.*I, 0.03364579990337102 + 0.*I, 0.05128222792872705 + 0.*I, 0.066046428686242 + 0.*I, 0.001986790787364967 + 0.*I, 0.000030267987068066656 + 0.*I, 2.513151720062723*^-7 + 0.*I, 2.2536383201265942*^-7 + 0.*I, 2.3989118519418535*^-6 + 0.*I, 0.00016371922909996783 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{7.59392548843607*^-14 + 0.*I, 0.338694637265562 + 0.*I, 0.2255419527214739 + 0.*I, 0.05699538495239098 + 0.*I, 0.02964944854971296 + 0.*I, 0.04967854296339802 + 0.*I, 0.06501681651332401 + 0.*I, 0.0019344880687480748 + 0.*I, 0.0000360264819199152 + 0.*I, 9.97508290412341*^-8 + 0.*I, 9.10200659842708*^-8 + 0.*I, 3.15006533602169*^-6 + 0.*I, 0.0001717784190720106 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
{7.704947790898585*^-14 + 0.*I, 0.3417413949645599 + 0.*I, 0.23050500839802202 + 0.*I, 0.05232232439671199 + 0.*I, 0.025838193028641984 + 0.*I, 0.04802534076688603 + 0.*I, 0.06393156940189593 + 0.*I, 0.0018839548090140432 + 0.*I, 0.00004254290925398418 + 0.*I, 1.3340071802758755*^-7 + 0.*I, 1.23220632003429*^-7 + 0.*I, 4.07856634998538*^-6 + 0.*I, 0.00018009065215596196 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{7.505107646466057*^-14 + 0.*I, 0.3445130189556329 + 0.*I, 0.23522670678439003 + 0.*I, 0.04741991208591892 + 0.*I, 0.022216344637866033 + 0.*I, 0.04632754964963404 + 0.*I, 0.06279268812724004 + 0.*I, 0.0018351182785910634 + 0.*I, 0.00004981394617697976 + 0.*I, 4.68493743022158*^-7 + 0.*I, 4.363228129911078*^-7 + 0.*I, 5.209761315017047*^-6 + 0.*I, 0.0001886467986680351 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.3988810110276971*^-14 + 0.*I}
{7.105427357601002*^-14 + 0.*I, 0.346995269206754 + 0.*I, 0.23968857233667196 + 0.*I, 0.042296431766810055 + 0.*I, 0.01878730844138798 + 0.*I, 0.044590641595268043 + 0.*I, 0.06160280827631903 + 0.*I, 0.0017878728233889916 + 0.*I, 0.00005783085355393069 + 0.*I, 9.272662430115374*^-7 + 0.*I, 8.680905259628168*^-7 + 0.*I, 6.570452270038274*^-6 + 0.*I, 0.0001974359334070419 + 0.*I, 1.598721155460225*^-14 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{7.30526750203353*^-14 + 0.*I, 0.349175470537857 + 0.*I, 0.24387408239414396 + 0.*I, 0.03696077190737301 + 0.*I, 0.015553648654383022 + 0.*I, 0.042820529615182006 + 0.*I, 0.060365160477988004 + 0.*I, 0.0017420900444209408 + 0.*I, 0.00006657820315802974 + 0.*I, 1.5326632070156165*^-6 + 0.*I, 1.4389584830076794*^-6 + 0.*I, 8.188626574034963*^-6 + 0.*I, 0.00020644529967106529 + 0.*I, 8.992806499463768*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{7.394085344003541*^-14 + 0.*I, 0.351042858055654 + 0.*I, 0.24776903142086304 + 0.*I, 0.03142234955788295 + 0.*I, 0.01251716208099196 + 0.*I, 0.041023454982740064 + 0.*I, 0.05908351593232807 + 0.*I, 0.0016976289632749662 + 0.*I, 0.0000760328201548921 + 0.*I, 2.3086221679902152*^-6 + 0.*I, 2.169771844001689*^-6 + 0.*I, 0.000010093150129009132 + 0.*I, 0.0002156602566150134 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.298960938811433*^-14 + 0.*I}
{6.306066779870889*^-14 + 0.*I, 0.352588877240905 + 0.*I, 0.2513618356682999 + 0.*I, 0.02569102868640596 + 0.*I, 0.009678956261070957 + 0.*I, 0.03920586892604905 + 0.*I, 0.05776211943202502 + 0.*I, 0.0016543458187450173 + 0.*I, 0.0000861630491150178 + 0.*I, 3.279816565004978*^-6 + 0.*I, 3.0815534440564725*^-6 + 0.*I, 0.000012313438203959136 + 0.*I, 0.00022506421729195922 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.6986412276764895*^-14 + 0.*I}
{5.695444116327052*^-14 + 0.*I, 0.35380743013721494 + 0.*I, 0.2546437671739569 + 0.*I, 0.019777036413842066 + 0.*I, 0.007039529066823035 + 0.*I, 0.03737431326437901 + 0.*I, 0.05640561225384199 + 0.*I, 0.0016121031768719927 + 0.*I, 0.0000969284474490184 + 0.*I, 4.4713494400383524*^-6 + 0.*I, 4.195253238942208*^-6 + 0.*I, 0.000014879120914024213 + 0.*I, 0.00023463858983308045 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I}
{6.805667140952208*^-14 + 0.*I, 0.35469506049980104 + 0.*I, 0.25760910873164694 + 0.*I, 0.013690880546501024 + 0.*I, 0.004598846680419987 + 0.*I, 0.03553530419659101 + 0.*I, 0.055018947412420964 + 0.*I, 0.0015707780804409264 + 0.*I, 0.00010827999613793882 + 0.*I, 5.908387066044795*^-6 + 0.*I, 5.5314717599952434*^-6 + 0.*I, 0.000017819721876088934 + 0.*I, 0.0002443627377799462 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{4.8960835385969403*^-14 + 0.*I, 0.355251072433781 + 0.*I, 0.26025522452846406 + 0.*I, 0.007443271631326908 + 0.*I, 0.002356417169218083 + 0.*I, 0.033695223022942034 + 0.*I, 0.05360729981978606 + 0.*I, 0.001530269013686025 + 0.*I, 0.00012016089438293687 + 0.*I, 7.615720584941421*^-6 + 0.*I, 7.110146336086753*^-6 + 0.*I, 0.000021164369777060262 + 0.*I, 0.00025421397838598647 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.4988010832439613*^-14 + 0.*I}
