{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{3.996802888650563*^-15 + 0.*I, 0.839361525404986 + 0.*I, 0.820831650133418 + 0.*I, 0.028233540032347015 + 0.*I, 0.030173290400197002 + 0.*I, 0.00007985379292996252 + 0.*I, 0.00007985379051800301 + 0.*I, 3.950417293285824*^-8 + 0.*I, 3.6963544003398845*^-8 + 0.*I, 5.72797365094857*^-12 + 0.*I, 5.7349819338083064*^-12 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 0. + 0.*I, 3.996802888650563*^-15 + 0.*I}
{1.3988810110276971*^-14 + 0.*I, 0.8272830621612589 + 0.*I, 0.8057079185814531 + 0.*I, 0.032027728503176034 + 0.*I, 0.03456993985198498 + 0.*I, 0.00010985307382405107 + 0.*I, 0.00010985306838406927 + 0.*I, 6.506549798945827*^-8 + 0.*I, 6.027843002520683*^-8 + 0.*I, 1.120403769760969*^-11 + 0.*I, 1.1217013429218584*^-11 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{7.993605777301126*^-15 + 0.*I, 0.8150951096596548 + 0.*I, 0.7901840658936929 + 0.*I, 0.03598590556927006 + 0.*I, 0.03925719810258498 + 0.*I, 0.00014867039916499622 + 0.*I, 0.00014867038730603796 + 0.*I, 1.0462180599635218*^-7 + 0.*I, 9.589889005123808*^-8 + 0.*I, 2.1233015345956116*^-11 + 0.*I, 2.124594944426552*^-11 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.199040866595169*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{8.992806499463768*^-15 + 0.*I, 0.8028309965183589 + 0.*I, 0.7742902001551368 + 0.*I, 0.04007516132976907 + 0.*I, 0.044213743127603955 + 0.*I, 0.00019817809070699075 + 0.*I, 0.00019817806576694072 + 0.*I, 1.645290659268994*^-7 + 0.*I, 1.4911871093481463*^-7 + 0.*I, 3.905897827394255*^-11 + 0.*I, 3.906398121644789*^-11 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.1102230246251565*^-14 + 0.*I, 7.993605777301126*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.7905215048990019 + 0.*I, 0.7580559903843079 + 0.*I, 0.044260462212594935 + 0.*I, 0.049414313073321996 + 0.*I, 0.0002604727108900251 + 0.*I, 0.00026047266017104054 + 0.*I, 2.5345405896270984*^-7 + 0.*I, 2.269999740400763*^-7 + 0.*I, 6.987299627780885*^-11 + 0.*I, 6.988699202681337*^-11 + 0.*I, 1.609823385706477*^-14 + 0.*I, 1.598721155460225*^-14 + 0.*I, 5.995204332975845*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{8.992806499463768*^-15 + 0.*I, 0.7781946270631719 + 0.*I, 0.7415104760934499 + 0.*I, 0.04850547398002091 + 0.*I, 0.05483010238394903 + 0.*I, 0.000337866000604925 + 0.*I, 0.00033786590070994377 + 0.*I, 3.8299813609476985*^-7 + 0.*I, 3.387833329426826*^-7 + 0.*I, 1.2187195697066497*^-10 + 0.*I, 1.2187596765134223*^-10 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 2.2981616609740737*^-14 + 0.*I, 9.992007221626407*^-16 + 0.*I, 9.992007221626409*^-15 + 0.*I}
{4.9960036108132044*^-15 + 0.*I, 0.765875360623305 + 0.*I, 0.724681910541113 + 0.*I, 0.05277339169796891 + 0.*I, 0.060429266661402026 + 0.*I, 0.00043286725818292293 + 0.*I, 0.000432867067255982 + 0.*I, 5.684195270028168*^-7 + 0.*I, 4.963397509660793*^-7 + 0.*I, 2.075359883946248*^-10 + 0.*I, 2.075380006738574*^-10 + 0.*I, 2.9976021664879227*^-14 + 0.*I, 4.396483177515619*^-14 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 0. + 0.*I}
{9.992007221626409*^-15 + 0.*I, 0.7535855452743019 + 0.*I, 0.7075976426632739 + 0.*I, 0.05702775021197703 + 0.*I, 0.066177533611947 + 0.*I, 0.0005481564821360196 + 0.*I, 0.0005481561273380507 + 0.*I, 8.294502870098696*^-7 + 0.*I, 7.146534559687722*^-7 + 0.*I, 3.456260833090141*^-10 + 0.*I, 3.456330360807083*^-10 + 0.*I, 7.993605777301127*^-14 + 0.*I, 9.603429163007604*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.7097434579227408*^-14 + 0.*I}
{9.992007221626407*^-16 + 0.*I, 0.7413437431047709 + 0.*I, 0.690284041141622 + 0.*I, 0.06123319059773701 + 0.*I, 0.07203891101201099 + 0.*I, 0.0006865479709260435 + 0.*I, 0.0006865473288170109 + 0.*I, 1.191196910999004*^-6 + 0.*I, 1.012321285021045*^-6 + 0.*I, 5.637239564038054*^-10 + 0.*I, 5.637139782743717*^-10 + 0.*I, 1.3400391907225637*^-13 + 0.*I, 1.5998313784848506*^-13 + 0.*I, 8.992806499463768*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.7291651638763259 + 0.*I, 0.6727664623833479 + 0.*I, 0.06535616072223194 + 0.*I, 0.07797647576952103 + 0.*I, 0.0008509445293369831 + 0.*I, 0.000850943395938053 + 0.*I, 1.6851069449819176*^-6 + 0.*I, 1.4120490600122437*^-6 + 0.*I, 9.015390656230692*^-10 + 0.*I, 9.015089924568899*^-10 + 0.*I, 2.360334150353083*^-13 + 0.*I, 2.7911006839076435*^-13 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
