{1.1044263947823652*^-6 + 0.*I, 0.9995855109061981 + 0.*I, 0.9995860399580004 + 0.*I, 1.9120797833949155*^-6 + 0.*I, 4.1134959882782596*^-7 + 0.*I, 2.361835838016191*^-7 + 0.*I, 1.6160379701091188*^-7 + 0.*I, 1.2018039896588562*^-7 + 0.*I, 9.392560063048451*^-8 + 0.*I, 7.58528129196634*^-8 + 0.*I, 6.266880347993721*^-8 + 0.*I, 5.261440172432686*^-8 + 0.*I, 4.466078618037273*^-8 + 0.*I, 3.815798788053826*^-8 + 0.*I, 3.265958614662168*^-8 + 0.*I, 2.781361807535632*^-8 + 0.*I, 2.3220803058165987*^-8 + 0.*I, 1.0466805200337603*^-8 + 0.*I}
{0.2233955204621996 + 0.*I, 0.11059907707000605 + 0.*I, 0.0323566352673943 + 0.*I, 0.25565857280100973 + 0.*I, 0.0450929612900053 + 0.*I, 0.0027587293395914263 + 0.*I, 0.00008648772860109233 + 0.*I, 0.0001905537890145581 + 0.*I, 0.00019771249819555695 + 0.*I, 0.00015779254420866806 + 0.*I, 0.0001296787287996537 + 0.*I, 0.0001148073530021776 + 0.*I, 0.00009257837760845435 + 0.*I, 0.00003691687560092305 + 0.*I, 0.00004041524019893217 + 0.*I, 0.000026998041202652707 + 0.*I, 0.000042298218616565464 + 0.*I, 0.000051192150407608494 + 0.*I}
{0.22392348691739897 + 0.*I, 0.09933447881440571 + 0.*I, 0.018345668476604793 + 0.*I, 0.256915036706995 + 0.*I, 0.046819368565587105 + 0.*I, 0.0029877314246196107 + 0.*I, 0.0002446038769976511 + 0.*I, 0.00024638646480834586 + 0.*I, 0.00018103530861068862 + 0.*I, 0.00011817706000449846 + 0.*I, 0.00009312969539987394 + 0.*I, 0.00009480797520389217 + 0.*I, 0.00009950400319258534 + 0.*I, 0.00007136861259748885 + 0.*I, 9.650939003513772*^-6 + 0.*I, 0.000044511242403011415 + 0.*I, 0.00003167596840381037 + 0.*I, 0.000011337306982106554 + 0.*I}
{0.22441287283498926 + 0.*I, 0.08839305362940976 + 0.*I, 0.00474356693598299 + 0.*I, 0.2579452778401992 + 0.*I, 0.04848875194161107 + 0.*I, 0.003297988105388505 + 0.*I, 0.0003759829940053194 + 0.*I, 0.00023828567938810608 + 0.*I, 0.00011562125139530367 + 0.*I, 0.000046807853215646844 + 0.*I, 0.000031519057186457644 + 0.*I, 0.00004895888678912997 + 0.*I, 0.0000795132908182339 + 0.*I, 0.00008771128878759527 + 0.*I, 0.00002581798659306856 + 0.*I, 0.000048678758202136414 + 0.*I, 0.000010707125985831567 + 0.*I, 0.000034199192211481495 + 0.*I}
{0.22487888308120318 + 0.*I, 0.07780651957920437 + 0.*I, 0.008429629580208875 + 0.*I, 0.2588351015909929 + 0.*I, 0.0501423938079837 + 0.*I, 0.0036642321108004694 + 0.*I, 0.0004480273917861766 + 0.*I, 0.0001690350143856989 + 0.*I, 0.00002091102979662196 + 0.*I, 0.00003480255459376025 + 0.*I, 0.00003653404521131166 + 0.*I, 9.02888619425113*^-6 + 0.*I, 0.000038394876011871304 + 0.*I, 0.00008121564318841479 + 0.*I, 0.000056263922387778116 + 0.*I, 0.000038596860596484817 + 0.*I, 0.000017601125001931454 + 0.*I, 0.00007606631899914618 + 0.*I}
{0.2253207782159983 + 0.*I, 0.06759547866679316 + 0.*I, 0.02119085681340227 + 0.*I, 0.2596679015234083 + 0.*I, 0.05183016958041354 + 0.*I, 0.004051496114998443 + 0.*I, 0.0004454563726108418 + 0.*I, 0.000058989909001994085 + 0.*I, 0.00007497713201409796 + 0.*I, 0.00010202464177933025 + 0.*I, 0.00009039554060841228 + 0.*I, 0.00006171988720105048 + 0.*I, 0.00001178882118590963 + 0.*I, 0.00005370425080197805 + 0.*I, 0.00007338691601077585 + 0.*I, 0.000016949541215005585 + 0.*I, 0.00004799369719421521 + 0.*I, 0.00010529718519336484 + 0.*I}
{0.22572281385260237 + 0.*I, 0.05776670291119945 + 0.*I, 0.0335907096415955 + 0.*I, 0.26050460156499256 + 0.*I, 0.053598646635188985 + 0.*I, 0.0044247931806129515 + 0.*I, 0.0003741748012098256 + 0.*I, 0.00005993058780351391 + 0.*I, 0.00014359393598617487 + 0.*I, 0.00013451289280208556 + 0.*I, 0.00011363964040889132 + 0.*I, 0.00009318532421254135 + 0.*I, 0.000056245795398979226 + 0.*I, 0.000013011666788464994 + 0.*I, 0.00007255855880572427 + 0.*I, 0.000010713579401411266 + 0.*I, 0.00007387455580598612 + 0.*I, 0.00011522742500158503 + 0.*I}
{0.22605724351281165 + 0.*I, 0.048312146967804954 + 0.*I, 0.0457031631879934 + 0.*I, 0.2613685419964096 + 0.*I, 0.05548026548780616 + 0.*I, 0.004758141691407758 + 0.*I, 0.0002592229987996575 + 0.*I, 0.00015345098780539246 + 0.*I, 0.00016454733100523813 + 0.*I, 0.00012229475581104765 + 0.*I, 0.00009900058279832535 + 0.*I, 0.0000937827178137951 + 0.*I, 0.00008179618939951895 + 0.*I, 0.000029259067391151916 + 0.*I, 0.000054055930398533305 + 0.*I, 0.00003740262499718483 + 0.*I, 0.00008871671779431269 + 0.*I, 0.00010301903539122749 + 0.*I}
{0.22628889590399218 + 0.*I, 0.039209868475403864 + 0.*I, 0.05761030979039017 + 0.*I, 0.26223911759180046 + 0.*I, 0.0574860557559953 + 0.*I, 0.00504067831099686 + 0.*I, 0.0001375419879989792 + 0.*I, 0.00019469893000056973 + 0.*I, 0.00013148602759915917 + 0.*I, 0.00006876135860700573 + 0.*I, 0.00005058841279215187 + 0.*I, 0.00006306404398692678 + 0.*I, 0.00008074191459872537 + 0.*I, 0.00006103000678159277 + 0.*I, 0.0000229674095963972 + 0.*I, 0.00005644853520170302 + 0.*I, 0.00008767837520462507 + 0.*I, 0.00007043661200967222 + 0.*I}
{0.22638062907958112 + 0.*I, 0.030426781427594914 + 0.*I, 0.06938517873800176 + 0.*I, 0.2630559369398045 + 0.*I, 0.059603501779981194 + 0.*I, 0.005278504863381883 + 0.*I, 0.00004765991459265706 + 0.*I, 0.00017179051219340383 + 0.*I, 0.00005397278139973594 + 0.*I, 0.000010289802787610824 + 0.*I, 0.000017270796415225224 + 0.*I, 9.964576008769654*^-6 + 0.*I, 0.00005315056279542319 + 0.*I, 0.0000731650283913865 + 0.*I, 0.000012196540999376284 + 0.*I, 0.00006315728859895842 + 0.*I, 0.00006902577358580686 + 0.*I, 0.000023663212389557483 + 0.*I}
{0.22629885889760007 + 0.*I, 0.021922908048604972 + 0.*I, 0.08107618019599362 + 0.*I, 0.26373272119919466 + 0.*I, 0.06179995933639493 + 0.*I, 0.005492077934388107 + 0.*I, 0.00001915592400258959 + 0.*I, 0.00009116487060811809 + 0.*I, 0.00004526269439253384 + 0.*I, 0.00009126414639570869 + 0.*I, 0.00008422524000462062 + 0.*I, 0.000049775759403125626 + 0.*I, 6.902073801384746*^-6 + 0.*I, 0.00006206648559548 + 0.*I, 0.000041817204610161696 + 0.*I, 0.00005594940299946672 + 0.*I, 0.00003496282479087398 + 0.*I, 0.00002785408719230276 + 0.*I}
{0.22601837400340055 + 0.*I, 0.013656571130182817 + 0.*I, 0.09269644523199894 + 0.*I, 0.26417773203240014 + 0.*I, 0.06403071370639779 + 0.*I, 0.005710080077991898 + 0.*I, 0.00006473725340239156 + 0.*I, 0.000024233894979630577 + 0.*I, 0.0001368991983996537 + 0.*I, 0.00014970395458835387 + 0.*I, 0.0001299097633911117 + 0.*I, 0.00009821606619109247 + 0.*I, 0.000044525833997610675 + 0.*I, 0.000030736138811882086 + 0.*I, 0.00005779146519113709 + 0.*I, 0.000036710715600740684 + 0.*I, 8.420128416730678*^-6 + 0.*I, 0.0000733179098100223 + 0.*I}
{0.22552578103458565 + 0.*I, 0.005589819519807859 + 0.*I, 0.10422035346822067 + 0.*I, 0.26431584061878954 + 0.*I, 0.06624967489679001 + 0.*I, 0.005961548885613511 + 0.*I, 0.00017701694241534227 + 0.*I, 0.00014143520179477065 + 0.*I, 0.000193568147599521 + 0.*I, 0.00016756469360945658 + 0.*I, 0.00014005122619398236 + 0.*I, 0.0001205276053850568 + 0.*I, 0.00008592893419034908 + 0.*I, 0.000012006933003405608 + 0.*I, 0.00005576000898788181 + 0.*I, 0.000010279667206347654 + 0.*I, 0.00005216404159735788 + 0.*I, 0.00010285935858611596 + 0.*I}
{0.22482114803401568 + 0.*I, 0.002306668551804725 + 0.*I, 0.11558804819460368 + 0.*I, 0.26410687156821494 + 0.*I, 0.068420100274591 + 0.*I, 0.006268400907205596 + 0.*I, 0.0003308078028174677 + 0.*I, 0.00022681404860946944 + 0.*I, 0.00019793857819472296 + 0.*I, 0.00013872838799944279 + 0.*I, 0.0001108849515985 + 0.*I, 0.00010948455899661981 + 0.*I, 0.00010482547641021969 + 0.*I, 0.000053965904212027744 + 0.*I, 0.0000363246251966487 + 0.*I, 0.000016787904799642206 + 0.*I, 0.00008626989500548632 + 0.*I, 0.00010969045300956992 + 0.*I}
{0.2239176934631937 + 0.*I, 0.01004989573380466 + 0.*I, 0.1267170611245927 + 0.*I, 0.26355571505718434 + 0.*I, 0.07052276953598559 + 0.*I, 0.006640292581816532 + 0.*I, 0.000490268855601883 + 0.*I, 0.0002557536516123449 + 0.*I, 0.00014799522018993372 + 0.*I, 0.0000710937454018179 + 0.*I, 0.00005053322520431891 + 0.*I, 0.00006779645760346398 + 0.*I, 0.00009520610819713228 + 0.*I, 0.00008301488221285071 + 0.*I, 4.900773808991233*^-6 + 0.*I, 0.00003785800160027719 + 0.*I, 0.00010196569619758125 + 0.*I, 0.00009165479579742454 + 0.*I}
{0.2228396575665981 + 0.*I, 0.017642593196193216 + 0.*I, 0.13751867497759918 + 0.*I, 0.26271168681359924 + 0.*I, 0.07255969906660999 + 0.*I, 0.0070730620481906925 + 0.*I, 0.0006189264364131475 + 0.*I, 0.00021984173139699695 + 0.*I, 0.000057897012806229504 + 0.*I, 0.00001548952441865481 + 0.*I, 0.000023171445784342385 + 0.*I, 7.522184408692569*^-6 + 0.*I, 0.000059458499990228126 + 0.*I, 0.00009059861778570878 + 0.*I, 0.00002977565838335749 + 0.*I, 0.00004784850420325171 + 0.*I, 0.00009390105919493409 + 0.*I, 0.000051825222002754856 + 0.*I}
{0.2216187491180133 + 0.*I, 0.02507328262921216 + 0.*I, 0.14791566654879243 + 0.*I, 0.2616572288792085 + 0.*I, 0.07455259797279902 + 0.*I, 0.007550976299208757 + 0.*I, 0.000689795967390161 + 0.*I, 0.0001294665354034663 + 0.*I, 0.00004596283118551981 + 0.*I, 0.0000949761284063655 + 0.*I, 0.00008789871559500285 + 0.*I, 0.00005336480721762627 + 0.*I, 7.829885984023122*^-6 + 0.*I, 0.00007426984458547282 + 0.*I, 0.000058083380394258206 + 0.*I, 0.00004444867360842153 + 0.*I, 0.00006173567459466511 + 0.*I, 2.000714816041693*^-6 + 0.*I}
{0.2202897482656008 + 0.*I, 0.032318340084391835 + 0.*I, 0.15785779970960423 + 0.*I, 0.26048863590140137 + 0.*I, 0.0765365537394036 + 0.*I, 0.008051948963005984 + 0.*I, 0.0006927914065979479 + 0.*I, 0.00001096106598819091 + 0.*I, 0.00013265646958693367 + 0.*I, 0.0001429557674015314 + 0.*I, 0.0001235887134187763 + 0.*I, 0.00009632192099484628 + 0.*I, 0.00004449194579425608 + 0.*I, 0.000038493447385157253 + 0.*I, 0.00007220751720993236 + 0.*I, 0.000028638944593595284 + 0.*I, 0.000010688918195000952 + 0.*I, 0.00005882400819778866 + 0.*I}
{0.21888594146579618 + 0.*I, 0.03934576001460855 + 0.*I, 0.16733192123741247 + 0.*I, 0.2592934309944006 + 0.*I, 0.07855057774359686 + 0.*I, 0.008554099396995698 + 0.*I, 0.0006373656626035284 + 0.*I, 0.00010095747979832483 + 0.*I, 0.00017595805339443163 + 0.*I, 0.00014421089160610026 + 0.*I, 0.00011872524139366904 + 0.*I, 0.00010791409599253401 + 0.*I, 0.00008186013600308684 + 0.*I, 6.561416787675967*^-6 + 0.*I, 0.00006831944519003486 + 0.*I, 4.40218779207413*^-6 + 0.*I, 0.00004917384701652595 + 0.*I, 0.00010668795020762901 + 0.*I}
{0.21743505616800274 + 0.*I, 0.046120072108185584 + 0.*I, 0.17636463728860632 + 0.*I, 0.2581298399952026 + 0.*I, 0.08062737435561297 + 0.*I, 0.009041726753000743 + 0.*I, 0.00054967664560035 + 0.*I, 0.0001732769963957992 + 0.*I, 0.00016234031299244836 + 0.*I, 0.00009762266139912158 + 0.*I, 0.00007411458899930778 + 0.*I, 0.00008406246039260878 + 0.*I, 0.00009287721860484767 + 0.*I, 0.00004792000880549097 + 0.*I, 0.00004762268899227706 + 0.*I, 0.00002228313180641095 + 0.*I, 0.00010486524659736318 + 0.*I, 0.0001351888772038734 + 0.*I}
{0.2159562550585914 + 0.*I, 0.052607699325812884 + 0.*I, 0.1850170733963985 + 0.*I, 0.25701332870879945 + 0.*I, 0.0827848602994008 + 0.*I, 0.00950905262440127 + 0.*I, 0.00046512744980020676 + 0.*I, 0.0001843407507973183 + 0.*I, 0.00009525472219884534 + 0.*I, 0.00001679576759894275 + 0.*I, 2.8897621850987325*^-6 + 0.*I, 0.000031490268392886385 + 0.*I, 0.00007389013838565717 + 0.*I, 0.00007355382820595224 + 0.*I, 0.00001597672261155481 + 0.*I, 0.00004490920098021433 + 0.*I, 0.0001432656214106487 + 0.*I, 0.00013773323721544275 + 0.*I}
{0.21445856067581204 + 0.*I, 0.05878198867699247 + 0.*I, 0.1933728311322103 + 0.*I, 0.2559134854758005 + 0.*I, 0.0850215225788098 + 0.*I, 0.009960838630584945 + 0.*I, 0.00041842464000296786 + 0.*I, 0.00013020585820644473 + 0.*I, 5.681797787815413*^-6 + 0.*I, 0.0000738999524019235 + 0.*I, 0.00007335560059384961 + 0.*I, 0.00003415366058856507 + 0.*I, 0.00003018878858007668 + 0.*I, 0.00007588556600879315 + 0.*I, 0.000017775376992545944 + 0.*I, 0.00005800635920483188 + 0.*I, 0.00015419355638979226 + 0.*I, 0.0001130560316031648 + 0.*I}
{0.21294084290499615 + 0.*I, 0.06462720614900941 + 0.*I, 0.201521623131784 + 0.*I, 0.2547620417588048 + 0.*I, 0.08731676338340488 + 0.*I, 0.01040995977579229 + 0.*I, 0.00043396122999528336 + 0.*I, 0.000025842141404552876 + 0.*I, 0.00011041234879716201 + 0.*I, 0.00014670349739454025 + 0.*I, 0.0001311450493979294 + 0.*I, 0.0000929641373881296 + 0.*I, 0.000025471476994276546 + 0.*I, 0.00005402176819213622 + 0.*I, 0.00004428427660130298 + 0.*I, 0.00005844127040077751 + 0.*I, 0.00013304709440831175 + 0.*I, 0.00006565275181280585 + 0.*I}
{0.21139325576218226 + 0.*I, 0.0701409528852004 + 0.*I, 0.20954191953481696 + 0.*I, 0.25347011334699854 + 0.*I, 0.0896361488307962 + 0.*I, 0.010872900196590152 + 0.*I, 0.0005191900013912232 + 0.*I, 0.00009916528240783151 + 0.*I, 0.00018738346081459412 + 0.*I, 0.00017897852759851676 + 0.*I, 0.0001523641691925093 + 0.*I, 0.00012682235519534402 + 0.*I, 0.00007658905301077824 + 0.*I, 0.000014066793196931828 + 0.*I, 0.00005627586441292465 + 0.*I, 0.00004614610120690088 + 0.*I, 0.00008234096260384405 + 0.*I, 4.99374599449709*^-6 + 0.*I}
{0.20979979764559342 + 0.*I, 0.07533470186040225 + 0.*I, 0.2174861008550133 + 0.*I, 0.2519504713190069 + 0.*I, 0.09194023953498222 + 0.*I, 0.011364672972802303 + 0.*I, 0.0006627803175840442 + 0.*I, 0.00020915059140147463 + 0.*I, 0.00021302838519865472 + 0.*I, 0.0001602309728010454 + 0.*I, 0.00012991393780747984 + 0.*I, 0.0001249610021902825 + 0.*I, 0.00010777941861217499 + 0.*I, 0.000032572467589808696 + 0.*I, 0.00005052999259014257 + 0.*I, 0.000024114697216859327 + 0.*I, 0.000011672800592776866 + 0.*I, 0.00005635316859819994 + 0.*I}
{0.20814152536980932 + 0.*I, 0.08023243133840618 + 0.*I, 0.22537105573918748 + 0.*I, 0.2501393850501854 + 0.*I, 0.09419473780301059 + 0.*I, 0.011894713902194098 + 0.*I, 0.0008380138512009694 + 0.*I, 0.00027268282420944706 + 0.*I, 0.00017894953121544435 + 0.*I, 0.00009546474060151412 + 0.*I, 0.00007002462039107371 + 0.*I, 0.00008735168859352882 + 0.*I, 0.00010936103620462491 + 0.*I, 0.00007241524440093627 + 0.*I, 0.000028733295587279887 + 0.*I, 2.3290172013190617*^-6 + 0.*I, 0.00006400369838566178 + 0.*I, 0.00010532420000597399 + 0.*I}
{0.20639989567161623 + 0.*I, 0.08486759862280092 + 0.*I, 0.23317600761361135 + 0.*I, 0.24801265691840604 + 0.*I, 0.09637929274799449 + 0.*I, 0.012464882692198033 + 0.*I, 0.0010104397208055007 + 0.*I, 0.0002717184193867795 + 0.*I, 0.00009464041399454005 + 0.*I, 3.844572815658864*^-6 + 0.*I, 9.480422802354838*^-6 + 0.*I, 0.000024877691395808202 + 0.*I, 0.00008032748499697817 + 0.*I, 0.00009376787959425316 + 0.*I, 3.0066511946813534*^-6 + 0.*I, 0.000026817233611531325 + 0.*I, 0.00012751489399942528 + 0.*I, 0.00013114640580180748 + 0.*I}
{0.20455973835680205 + 0.*I, 0.08927891674581079 + 0.*I, 0.2408478502188061 + 0.*I, 0.24559189432158404 + 0.*I, 0.09849259404439704 + 0.*I, 0.013069981297397783 + 0.*I, 0.0011476487036032879 + 0.*I, 0.00020696921019247583 + 0.*I, 0.00001511040359503113 + 0.*I, 0.00008695278139736473 + 0.*I, 0.00008446337580458874 + 0.*I, 0.00004379044840074898 + 0.*I, 0.00002881884320071748 + 0.*I, 0.00009013398021284759 + 0.*I, 0.00003584568319947579 + 0.*I, 0.000043475199418274706 + 0.*I, 0.0001633615231977359 + 0.*I, 0.0001277131082000338 + 0.*I}
{0.2026114678037816 + 0.*I, 0.09350554189979655 + 0.*I, 0.24831273988661362 + 0.*I, 0.24293949493539027 + 0.*I, 0.10055231813559384 + 0.*I, 0.013700401959582111 + 0.*I, 0.0012284362863823617 + 0.*I, 0.00009789877719601493 + 0.*I, 0.00011744404260216613 + 0.*I, 0.00014904639979995696 + 0.*I, 0.00013174503881163704 + 0.*I, 0.00009773194860063228 + 0.*I, 0.000030104021409016468 + 0.*I, 0.00006219399679707749 + 0.*I, 0.000060634470000486835 + 0.*I, 0.000048341802605378355 + 0.*I, 0.00016148822099548712 + 0.*I, 0.00009502291440366407 + 0.*I}
{0.2005522882477795 + 0.*I, 0.09758233801819838 + 0.*I, 0.25549145413399366 + 0.*I, 0.2401436449938066 + 0.*I, 0.10258984850521902 + 0.*I, 0.014345887666999957 + 0.*I, 0.0012487705921992998 + 0.*I, 0.000022749916595010692 + 0.*I, 0.00018122504319428856 + 0.*I, 0.00016287421140681602 + 0.*I, 0.0001362318588160605 + 0.*I, 0.00012012031320729477 + 0.*I, 0.00007881380179597387 + 0.*I, 0.000017746210789759683 + 0.*I, 0.00007044709600112499 + 0.*I, 0.000040328633810204906 + 0.*I, 0.00012001393079330569 + 0.*I, 0.00003934476557887479 + 0.*I}
{0.19838631620641148 + 0.*I, 0.10153585568019041 + 0.*I, 0.2623153345716167 + 0.*I, 0.2372971273797875 + 0.*I, 0.10464112008521376 + 0.*I, 0.014999104500001971 + 0.*I, 0.001222852403781616 + 0.*I, 0.00011842084879365446 + 0.*I, 0.00018652815338970896 + 0.*I, 0.0001233767282116105 + 0.*I, 0.00009575429660291235 + 0.*I, 0.00010348696259931955 + 0.*I, 0.0001023833068103386 + 0.*I, 0.00003043804459590405 + 0.*I, 0.00006251938040602312 + 0.*I, 0.00002147941300378875 + 0.*I, 0.000046197785597001946 + 0.*I, 0.000027963851190193626 + 0.*I}
{0.1961237056935961 + 0.*I, 0.10538155198280276 + 0.*I, 0.26873961635178745 + 0.*I, 0.23447526886839493 + 0.*I, 0.10673604349338285 + 0.*I, 0.015657862346984963 + 0.*I, 0.0011789421509922349 + 0.*I, 0.00015950600080749666 + 0.*I, 0.0001309336952193263 + 0.*I, 0.00004189750140159987 + 0.*I, 0.000022073308580949913 + 0.*I, 0.00005226355939136341 + 0.*I, 0.00009320586380479057 + 0.*I, 0.00006828101921652063 + 0.*I, 0.000039051555789093584 + 0.*I, 3.5385279817390374*^-6 + 0.*I, 0.00004470898400388279 + 0.*I, 0.0000927710935849646 + 0.*I}
{0.19377899920640654 + 0.*I, 0.10912259927278735 + 0.*I, 0.274751589477007 + 0.*I, 0.23171853556500646 + 0.*I, 0.10888942543119118 + 0.*I, 0.016325323301802364 + 0.*I, 0.0011511519881990397 + 0.*I, 0.00013221502579430225 + 0.*I, 0.00003060548121602835 + 0.*I, 0.00005693590319211239 + 0.*I, 0.0000624077756139485 + 0.*I, 0.000018286374392495478 + 0.*I, 0.00005351683540766318 + 0.*I, 0.00008454018960435405 + 0.*I, 6.627182802532161*^-6 + 0.*I, 0.00002858682839335103 + 0.*I, 0.00013258806359495168 + 0.*I, 0.00014115113560198014 + 0.*I}
{0.19136902454399693 + 0.*I, 0.11275040410900218 + 0.*I, 0.28037218345959847 + 0.*I, 0.22902407247100687 + 0.*I, 0.11109596532319356 + 0.*I, 0.01700823950019359 + 0.*I, 0.001169602386985602 + 0.*I, 0.00004283327559306827 + 0.*I, 0.00008434028480053257 + 0.*I, 0.00014257572820142175 + 0.*I, 0.00013138637320331273 + 0.*I, 0.00008655663019663251 + 0.*I, 5.0585766020461165*^-6 + 0.*I, 0.00007418948719806195 + 0.*I, 0.000025616669385719604 + 0.*I, 0.00004756466418509576 + 0.*I, 0.0001969306530069659 + 0.*I, 0.00016240213180918064 + 0.*I}
{0.18891070314779326 + 0.*I, 0.1162467128710043 + 0.*I, 0.28565095931780693 + 0.*I, 0.22634819236400094 + 0.*I, 0.1133308425363966 + 0.*I, 0.017713933327190293 + 0.*I, 0.0012518345487988471 + 0.*I, 0.00008400830520116642 + 0.*I, 0.00017888938839139 + 0.*I, 0.00018800602838986438 + 0.*I, 0.00016286978961055354 + 0.*I, 0.00013121892599166074 + 0.*I, 0.00006489553461275221 + 0.*I, 0.000039997983414252765 + 0.*I, 0.00004856926441032528 + 0.*I, 0.0000558943502149134 + 0.*I, 0.00022166836999293338 + 0.*I, 0.00015144045959480934 + 0.*I}
{0.18641912293739796 + 0.*I, 0.11958695332300874 + 0.*I, 0.29065582982599203 + 0.*I, 0.22361903795380392 + 0.*I, 0.11555588757981018 + 0.*I, 0.018447150758404973 + 0.*I, 0.0013979821657850167 + 0.*I, 0.00021259701401543651 + 0.*I, 0.0002238708025847913 + 0.*I, 0.00017834037220332277 + 0.*I, 0.00014626632220959834 + 0.*I, 0.0001379332785989007 + 0.*I, 0.00010770655300973433 + 0.*I, 8.20183998495594*^-6 + 0.*I, 0.000055744766802590113 + 0.*I, 0.000051613782803272557 + 0.*I, 0.00019920877118995156 + 0.*I, 0.00011002357220846194 + 0.*I}
{0.18390615801999746 + 0.*I, 0.12274429041999048 + 0.*I, 0.29545982982859265 + 0.*I, 0.2207560791640084 + 0.*I, 0.11772976483719334 + 0.*I, 0.019207944674182187 + 0.*I, 0.0015910595081880532 + 0.*I, 0.0003067574251947036 + 0.*I, 0.00020503610320687926 + 0.*I, 0.00011576517779943175 + 0.*I, 0.00008600761520760614 + 0.*I, 0.0001039943303915436 + 0.*I, 0.00012017234078953722 + 0.*I, 0.00005635715720764268 + 0.*I, 0.0000451461483974569 + 0.*I, 0.000035812090803943875 + 0.*I, 0.00013265128839812235 + 0.*I, 0.000046499210992756446 + 0.*I}
{0.18137979961740935 + 0.*I, 0.1256937904762001 + 0.*I, 0.30012772478800187 + 0.*I, 0.2176914164268018 + 0.*I, 0.11981941827061694 + 0.*I, 0.01999137330439549 + 0.*I, 0.0018021893547937042 + 0.*I, 0.000340608025806155 + 0.*I, 0.00012760115681853534 + 0.*I, 0.00001913032938727355 + 0.*I, 4.1177998788555215*^-7 + 0.*I, 0.00003937193939762552 + 0.*I, 0.00009809360579371429 + 0.*I, 0.00009030481820104795 + 0.*I, 0.000019845199794588098 + 0.*I, 0.000012318303399538879 + 0.*I, 0.000035552668609106775 + 0.*I, 0.00002589433039101863 + 0.*I}
{0.1788442184432082 + 0.*I, 0.1284161041375909 + 0.*I, 0.304705105075187 + 0.*I, 0.21438746850321877 + 0.*I, 0.12180958472660654 + 0.*I, 0.02078915809320403 + 0.*I, 0.0019991575830102803 + 0.*I, 0.000306221088397507 + 0.*I, 0.00001479466040787969 + 0.*I, 0.0000817835472011197 + 0.*I, 0.0000839439995958813 + 0.*I, 0.00003624447981742663 + 0.*I, 0.000047759892396470605 + 0.*I, 0.00009992893119648018 + 0.*I, 0.000012897868595374009 + 0.*I, 0.000013257358211227201 + 0.*I, 0.00007081368460504223 + 0.*I, 0.00009182111380123814 + 0.*I}
{0.1763004376494015 + 0.*I, 0.13090018854721164 + 0.*I, 0.30921193096240535 + 0.*I, 0.21084662207380145 + 0.*I, 0.12370760991378128 + 0.*I, 0.021592753861998663 + 0.*I, 0.0021557651646020304 + 0.*I, 0.00021593246839479718 + 0.*I, 0.00009915114880243438 + 0.*I, 0.00015553395160683436 + 0.*I, 0.00014056472719126137 + 0.*I, 0.00009949347521409635 + 0.*I, 0.000015883518811321554 + 0.*I, 0.00008214805580220032 + 0.*I, 0.00004372321740220287 + 0.*I, 0.00003487660920065139 + 0.*I, 0.00016214592819530083 + 0.*I, 0.00013712612980665284 + 0.*I}
{0.173747387161205 + 0.*I, 0.13314476513359708 + 0.*I, 0.3136414509709917 + 0.*I, 0.20711054186639546 + 0.*I, 0.125542019987801 + 0.*I, 0.022396773835398065 + 0.*I, 0.002259288006389859 + 0.*I, 0.0000986755247955884 + 0.*I, 0.00017940353040923898 + 0.*I, 0.00017887037819797055 + 0.*I, 0.00015140820939230082 + 0.*I, 0.00013058495380580126 + 0.*I, 0.00007369902681464426 + 0.*I, 0.00004186992899057884 + 0.*I, 0.00006386262099145058 + 0.*I, 0.000047488772003667634 + 0.*I, 0.00021669773218047086 + 0.*I, 0.00015188337361138338 + 0.*I}
{0.17118305837160452 + 0.*I, 0.13515841378399784 + 0.*I, 0.31796426431758285 + 0.*I, 0.2032495258436074 + 0.*I, 0.12735499577840595 + 0.*I, 0.02320155143979985 + 0.*I, 0.002313952342380965 + 0.*I, 8.533565987178806*^-6 + 0.*I, 0.00020114210961263979 + 0.*I, 0.00014405004760131845 + 0.*I, 0.00011260896399800659 + 0.*I, 0.00011947897620157023 + 0.*I, 0.00010809969259728548 + 0.*I, 9.362023400960597*^-6 + 0.*I, 0.00006765260120999984 + 0.*I, 0.000048184733403289215 + 0.*I, 0.00022046203600467607 + 0.*I, 0.0001325549101816037 + 0.*I}
{0.16860549163180139 + 0.*I, 0.1369583979346001 + 0.*I, 0.3221362901316028 + 0.*I, 0.19934483977279707 + 0.*I, 0.12919061527438827 + 0.*I, 0.024013864226812846 + 0.*I, 0.002339491982006337 + 0.*I, 0.00007145620140036613 + 0.*I, 0.00015716795840337028 + 0.*I, 0.00006133535781494004 + 0.*I, 0.00003576660918547248 + 0.*I, 0.00006909087619799693 + 0.*I, 0.00010836594039886904 + 0.*I, 0.000056657910385560235 + 0.*I, 0.00005414350960908366 + 0.*I, 0.000036844028605820256 + 0.*I, 0.0001707224015934372 + 0.*I, 0.00008280347780775799 + 0.*I}
