{1.1044263947823652*^-6 + 0.*I, 0.9995855109061981 + 0.*I, 0.9995860399580004 + 0.*I, 1.9120797833949155*^-6 + 0.*I, 4.1134959882782596*^-7 + 0.*I, 2.361835838016191*^-7 + 0.*I, 1.6160379701091188*^-7 + 0.*I, 1.2018039896588562*^-7 + 0.*I, 9.392560063048451*^-8 + 0.*I, 7.58528129196634*^-8 + 0.*I, 6.266880347993721*^-8 + 0.*I, 5.261440172432686*^-8 + 0.*I, 4.466078618037273*^-8 + 0.*I, 3.815798788053826*^-8 + 0.*I, 3.265958614662168*^-8 + 0.*I, 2.781361807535632*^-8 + 0.*I, 2.3220803058165987*^-8 + 0.*I, 1.0466805200337603*^-8 + 0.*I}
{0.04289253701179607 + 0.*I, 0.8622428854556109 + 0.*I, 0.8609812298375985 + 0.*I, 0.04396272466520301 + 0.*I, 0.0014307474595964822 + 0.*I, 0.0003052070520093153 + 0.*I, 0.00008586161639456691 + 0.*I, 8.576614596300658*^-6 + 0.*I, 0.00001689882740407711 + 0.*I, 0.000022389806586531336 + 0.*I, 0.00001959469240198075 + 0.*I, 0.000012610451793904074 + 0.*I, 2.4714114088553174*^-6 + 0.*I, 0.000011022122992088157 + 0.*I, 0.00002806241059527537 + 0.*I, 0.00004645166060690542 + 0.*I, 0.00005405244380973784 + 0.*I, 0.000026643941808401912 + 0.*I}
{0.04620118517280059 + 0.*I, 0.8499518546585927 + 0.*I, 0.849182365271206 + 0.*I, 0.04809499540179286 + 0.*I, 0.0014345463005938086 + 0.*I, 0.00013681411039634386 + 0.*I, 0.000038466096796696554 + 0.*I, 0.00007497919640719886 + 0.*I, 0.00007437267559584626 + 0.*I, 0.0000648875200015553 + 0.*I, 0.00005418513340238462 + 0.*I, 0.00004353596618766886 + 0.*I, 0.000031977192005427924 + 0.*I, 0.000017497236015628918 + 0.*I, 2.4301838097429145*^-6 + 0.*I, 0.000029099627218975854 + 0.*I, 0.000055709454005459236 + 0.*I, 0.00003429060739801315 + 0.*I}
{0.04972266178140394 + 0.*I, 0.8373888915094109 + 0.*I, 0.8370976355702054 + 0.*I, 0.052337916112210614 + 0.*I, 0.001290363834183239 + 0.*I, 0.00005797022759601589 + 0.*I, 0.0001461033418026503 + 0.*I, 0.0001306031367942495 + 0.*I, 0.0001038760486071766 + 0.*I, 0.00008270871181270678 + 0.*I, 0.00006815250359615278 + 0.*I, 0.000058065345198699 + 0.*I, 0.00004964361739467904 + 0.*I, 0.0000394756232147131 + 0.*I, 0.000022994301795975506 + 0.*I, 5.173067196828641*^-6 + 0.*I, 0.0000468362872041439 + 0.*I, 0.00003638681400630617 + 0.*I}
{0.05349949334940707 + 0.*I, 0.8246171128370061 + 0.*I, 0.8246688930771963 + 0.*I, 0.0566355596071988 + 0.*I, 0.0010554466082002278 + 0.*I, 0.00022464706881386576 + 0.*I, 0.00020242027720662747 + 0.*I, 0.00013830355318766865 + 0.*I, 0.00009372108540350867 + 0.*I, 0.0000682298094023537 + 0.*I, 0.00005543336758506713 + 0.*I, 0.00005025878260234152 + 0.*I, 0.000048894198800830686 + 0.*I, 0.000047521637802638857 + 0.*I, 0.00004059156200053593 + 0.*I, 0.000019164138409522028 + 0.*I, 0.00002905141358588992 + 0.*I, 0.000032049948806012196 + 0.*I}
{0.05755278129679908 + 0.*I, 0.811677713888992 + 0.*I, 0.8118286423763887 + 0.*I, 0.06095043573859371 + 0.*I, 0.0008162754840057574 + 0.*I, 0.00031368179658208817 + 0.*I, 0.0001868392863979551 + 0.*I, 0.00009269736380712602 + 0.*I, 0.00004491576479637161 + 0.*I, 0.00002438448640784685 + 0.*I, 0.000018691978009854893 + 0.*I, 0.00002134727861147212 + 0.*I, 0.00002882827379036002 + 0.*I, 0.000038226514198491664 + 0.*I, 0.00004463345160132804 + 0.*I, 0.00003728743798170342 + 0.*I, 6.119105200319553*^-6 + 0.*I, 0.000021716572806695925 + 0.*I}
{0.061878441521190375 + 0.*I, 0.7985868812947995 + 0.*I, 0.7985163655643835 + 0.*I, 0.0652689255513872 + 0.*I, 0.0006681242995965065 + 0.*I, 0.0002952984352155852 + 0.*I, 0.00010017176899079773 + 0.*I, 5.555240800703133*^-6 + 0.*I, 0.00002853276159786589 + 0.*I, 0.00003578882679100559 + 0.*I, 0.00003111878419392866 + 0.*I, 0.000020287634594495785 + 0.*I, 5.163143601549792*^-6 + 0.*I, 0.000013480713212388197 + 0.*I, 0.00003312451699599706 + 0.*I, 0.00004392400279051856 + 0.*I, 0.000016863681606693607 + 0.*I, 7.150556591284386*^-6 + 0.*I}
{0.06644686858541249 + 0.*I, 0.785336288762606 + 0.*I, 0.7846934188721955 + 0.*I, 0.0696003207210083 + 0.*I, 0.0006914625037879319 + 0.*I, 0.00016916341660788703 + 0.*I, 0.000034537917392718505 + 0.*I, 0.00009722911020748628 + 0.*I, 0.00010366343761170072 + 0.*I, 0.00009302016421575131 + 0.*I, 0.00007799953878340204 + 0.*I, 0.00006151403140197687 + 0.*I, 0.00004280669019252059 + 0.*I, 0.00001981921160520983 + 0.*I, 8.625120995198188*^-6 + 0.*I, 0.000036697112593131465 + 0.*I, 0.0000346382774019105 + 0.*I, 8.842516208140694*^-6 + 0.*I}
{0.07120609152480029 + 0.*I, 0.7718970786887936 + 0.*I, 0.7703534872155915 + 0.*I, 0.0739702137960041 + 0.*I, 0.0009313182077974603 + 0.*I, 0.000034222670608485835 + 0.*I, 0.0001782404668082549 + 0.*I, 0.0001834559430147209 + 0.*I, 0.000155780218591417 + 0.*I, 0.0001279732046111093 + 0.*I, 0.0001060258886020904 + 0.*I, 0.00008857875339884913 + 0.*I, 0.00007204761038881459 + 0.*I, 0.000051686608593115586 + 0.*I, 0.000022270255994882863 + 0.*I, 0.00001693918720846455 + 0.*I, 0.00004303704459474034 + 0.*I, 0.000022955980205630055 + 0.*I}
{0.07608796497919902 + 0.*I, 0.7582266892399993 + 0.*I, 0.7555264971550013 + 0.*I, 0.07841042864078497 + 0.*I, 0.0013851596069924812 + 0.*I, 0.00026120246618965837 + 0.*I, 0.0002874595395940816 + 0.*I, 0.00022482376180743557 + 0.*I, 0.0001665901931957592 + 0.*I, 0.0001277742938121662 + 0.*I, 0.00010475702458823123 + 0.*I, 0.00009170456760632106 + 0.*I, 0.00008293098099354525 + 0.*I, 0.00007207001040399065 + 0.*I, 0.00005072689299723266 + 0.*I, 0.000010510314596423598 + 0.*I, 0.000040001051404559014 + 0.*I, 0.00003207211798361698 + 0.*I}
{0.08101648876059908 + 0.*I, 0.7442774547723963 + 0.*I, 0.7402752687318159 + 0.*I, 0.08294845792118366 + 0.*I, 0.002002699273595532 + 0.*I, 0.00044972227739581433 + 0.*I, 0.00032768549518280565 + 0.*I, 0.0002062581917927631 + 0.*I, 0.0001306005603884941 + 0.*I, 0.0000907279904094338 + 0.*I, 0.00007311236820406465 + 0.*I, 0.000068626858396037 + 0.*I, 0.0000710127791903048 + 0.*I, 0.00007406353979000357 + 0.*I, 0.00006824440279551426 + 0.*I, 0.000038514527811450705 + 0.*I, 0.00002609686080567997 + 0.*I, 0.00003395159799968183 + 0.*I}
