{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.3262782042340096 + 0.*I, 0.2961798467387977 + 0.*I, 0.28823348929141185 + 0.*I, 0.16874985482298047 + 0.*I, 0.12555606444959455 + 0.*I, 0.022044221721806426 + 0.*I, 0.001881464536390709 + 0.*I, 0.00009679972818865679 + 0.*I, 3.3217700146082048*^-6 + 0.*I, 2.838518087244779*^-7 + 0.*I, 2.339457405575729*^-6 + 0.*I, 5.395332403068665*^-6 + 0.*I, 4.699591604762077*^-6 + 0.*I, 3.7395226026859522*^-6 + 0.*I, 3.2040423869617034*^-6 + 0.*I, 2.6399652020003828*^-6 + 0.*I, 7.781062016931628*^-7 + 0.*I, 8.185638833424491*^-8 + 0.*I, 4.680011933544392*^-9 + 0.*I, 1.7219559111936178*^-10 + 0.*I, 5.995204332975846*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.3228374865275941 + 0.*I, 0.2952695453212195 + 0.*I, 0.2880058603246028 + 0.*I, 0.16284813956140012 + 0.*I, 0.12762663434680022 + 0.*I, 0.022985107965411977 + 0.*I, 0.0020048298869923546 + 0.*I, 0.0001052705267845511 + 0.*I, 3.684521998614798*^-6 + 0.*I, 3.037970097707899*^-7 + 0.*I, 2.4760265837642237*^-6 + 0.*I, 5.511814404890458*^-6 + 0.*I, 5.071125008804245*^-6 + 0.*I, 3.510691404251532*^-6 + 0.*I, 3.4598566012178367*^-6 + 0.*I, 2.697897993897414*^-6 + 0.*I, 8.23375789771319*^-7 + 0.*I, 8.868561440777968*^-8 + 0.*I, 5.178191209154193*^-9 + 0.*I, 1.9397816686250735*^-10 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3191946935140022 + 0.*I, 0.2938930879047952 + 0.*I, 0.28736489041860663 + 0.*I, 0.15681171564878582 + 0.*I, 0.12965109088820537 + 0.*I, 0.02395045645158245 + 0.*I, 0.002134622234994943 + 0.*I, 0.00011437692639670872 + 0.*I, 4.082487592427243*^-6 + 0.*I, 3.246177993077026*^-7 + 0.*I, 2.618200389825631*^-6 + 0.*I, 5.623558196887757*^-6 + 0.*I, 5.452367402014602*^-6 + 0.*I, 3.2691262141781867*^-6 + 0.*I, 3.722323804744576*^-6 + 0.*I, 2.753639205543834*^-6 + 0.*I, 8.704979848062067*^-7 + 0.*I, 9.599101513657617*^-8 + 0.*I, 5.723199691942682*^-9 + 0.*I, 2.1858070908820085*^-10 + 0.*I, 7.01660951563099*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.31535239078601673 + 0.*I, 0.2920563501799922 + 0.*I, 0.2863177376116077 + 0.*I, 0.1506472032716033 + 0.*I, 0.1316264429928049 + 0.*I, 0.024940209037005445 + 0.*I, 0.0022710760881894387 + 0.*I, 0.00012415824419687027 + 0.*I, 4.518650009721625*^-6 + 0.*I, 3.462957920419285*^-7 + 0.*I, 2.766060402947801*^-6 + 0.*I, 5.730041796603302*^-6 + 0.*I, 5.842938599620595*^-6 + 0.*I, 3.0150038021758978*^-6 + 0.*I, 3.991178409989971*^-6 + 0.*I, 2.8069430113575322*^-6 + 0.*I, 9.195008088269674*^-7 + 0.*I, 1.0379799242343778*^-7 + 0.*I, 6.319011980338019*^-9 + 0.*I, 2.462030579408747*^-10 + 0.*I, 7.993605777301129*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.31131333018661334 + 0.*I, 0.28976566049621066 + 0.*I, 0.2848719807678091 + 0.*I, 0.14436138901658957 + 0.*I, 0.13354971513359626 + 0.*I, 0.025954274591799557 + 0.*I, 0.0024144293157890573 + 0.*I, 0.00013465565080750252 + 0.*I, 4.996206004470594*^-6 + 0.*I, 3.6880338782907534*^-7 + 0.*I, 2.9196814077536715*^-6 + 0.*I, 5.830730587241817*^-6 + 0.*I, 6.2424247992964865*^-6 + 0.*I, 2.748536220842368*^-6 + 0.*I, 4.266130404495527*^-6 + 0.*I, 2.85755838991264*^-6 + 0.*I, 9.70408819966906*^-7 + 0.*I, 1.1213321382541609*^-7 + 0.*I, 6.968603472046198*^-9 + 0.*I, 2.762012840662465*^-10 + 0.*I, 8.615330671091216*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.30708044648961597 + 0.*I, 0.2870277905876018 + 0.*I, 0.28303560784279647 + 0.*I, 0.13796121658600227 + 0.*I, 0.13541795177138827 + 0.*I, 0.02699252821480869 + 0.*I, 0.00256492294061772 + 0.*I, 0.00014591222339266352 + 0.*I, 5.518578216623382*^-6 + 0.*I, 3.921041935583958*^-7 + 0.*I, 3.0791289962195383*^-6 + 0.*I, 5.9250772066477*^-6 + 0.*I, 6.650377404326946*^-6 + 0.*I, 2.4699708056630243*^-6 + 0.*I, 4.546866194665711*^-6 + 0.*I, 2.9052294125975213*^-6 + 0.*I, 1.0232453995229207*^-6 + 0.*I, 1.2102499002963896*^-7 + 0.*I, 7.67781394017675*^-9 + 0.*I, 3.1039615322470127*^-10 + 0.*I, 9.992007221626409*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I}
{0.3026568538953889 + 0.*I, 0.28384994583898765 + 0.*I, 0.280817003698397 + 0.*I, 0.13145377730858776 + 0.*I, 0.13722822179560445 + 0.*I, 0.028054810483801877 + 0.*I, 0.0027228009218172033 + 0.*I, 0.00015797300041420217 + 0.*I, 6.089429405164993*^-6 + 0.*I, 4.1614958146141134*^-7 + 0.*I, 3.24445861288325*^-6 + 0.*I, 6.012522191234383*^-6 + 0.*I, 7.066315399484324*^-6 + 0.*I, 2.1795911964161974*^-6 + 0.*I, 4.833050404329242*^-6 + 0.*I, 2.9496930009642597*^-6 + 0.*I, 1.0780303982826922*^-6 + 0.*I, 1.3050100999834058*^-7 + 0.*I, 8.449596577975173*^-9 + 0.*I, 3.4798830483850907*^-10 + 0.*I, 1.1013412404281553*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.29804584235078035 + 0.*I, 0.2802397551066038 + 0.*I, 0.27822493749301014 + 0.*I, 0.12484630045579426 + 0.*I, 0.13897762296721794 + 0.*I, 0.02914092674299873 + 0.*I, 0.0028883099177923204 + 0.*I, 0.0001708850309922738 + 0.*I, 6.712675193476515*^-6 + 0.*I, 4.408799991750812*^-7 + 0.*I, 3.415716398613711*^-6 + 0.*I, 6.092494797549364*^-6 + 0.*I, 7.489723397036131*^-6 + 0.*I, 1.8777165822214672*^-6 + 0.*I, 5.124323410043985*^-6 + 0.*I, 2.9906830123493933*^-6 + 0.*I, 1.1347807804540366*^-6 + 0.*I, 1.4059118313980437*^-7 + 0.*I, 9.28999099869543*^-9 + 0.*I, 3.8979930394589246*^-10 + 0.*I, 1.2412293415309252*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2932508736919859 + 0.*I, 0.2762052601132048 + 0.*I, 0.2752685496565821 + 0.*I, 0.11814614338179208 + 0.*I, 0.14066328635959913 + 0.*I, 0.030250646433405137 + 0.*I, 0.0030616990416065804 + 0.*I, 0.00018469742879556605 + 0.*I, 7.392497414215882*^-6 + 0.*I, 4.662215946638071*^-7 + 0.*I, 3.592936392848856*^-6 + 0.*I, 6.164414600995373*^-6 + 0.*I, 7.920052991217119*^-6 + 0.*I, 1.5647026119225418*^-6 + 0.*I, 5.420302806591337*^-6 + 0.*I, 3.027927997223401*^-6 + 0.*I, 1.1935096022597236*^-6 + 0.*I, 1.5132581854260252*^-7 + 0.*I, 1.0203993205948338*^-8 + 0.*I, 4.3660630666408906*^-10 + 0.*I, 1.4210854715202005*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.2882755776190127 + 0.*I, 0.27175490442199474 + 0.*I, 0.2719573384720065 + 0.*I, 0.11136078149660557 + 0.*I, 0.14228238078719535 + 0.*I, 0.031383702463005925 + 0.*I, 0.003243219600390646 + 0.*I, 0.00019946142280069529 + 0.*I, 8.133360407391878*^-6 + 0.*I, 4.920851948142514*^-7 + 0.*I, 3.7761413995696107*^-6 + 0.*I, 6.227690985127765*^-6 + 0.*I, 8.35672340215865*^-6 + 0.*I, 1.2409417937675473*^-6 + 0.*I, 5.720584406176953*^-6 + 0.*I, 3.061151798711137*^-6 + 0.*I, 1.2542265892534488*^-6 + 0.*I, 1.6273580261128018*^-7 + 0.*I, 1.1195999682911406*^-8 + 0.*I, 4.878097925598014*^-10 + 0.*I, 1.580957587066223*^-11 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2831237475077853 + 0.*I, 0.2668975220101899 + 0.*I, 0.26830114628280116 + 0.*I, 0.10449779809160731 + 0.*I, 0.14383211721580305 + 0.*I, 0.03253979061839107 + 0.*I, 0.0034331248195851316 + 0.*I, 0.0002152304046099118 + 0.*I, 8.940022588888041*^-6 + 0.*I, 5.183674156583606*^-7 + 0.*I, 3.965342210143774*^-6 + 0.*I, 6.281726605550375*^-6 + 0.*I, 8.799120410074579*^-6 + 0.*I, 9.068614081897408*^-7 + 0.*I, 6.0247405953006705*^-6 + 0.*I, 3.0900768166475245*^-6 + 0.*I, 1.3169390022937932*^-6 + 0.*I, 1.7485379810722182*^-7 + 0.*I, 1.227300483463978*^-8 + 0.*I, 5.452083229329219*^-10 + 0.*I, 1.820765760385257*^-11 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.2777993360584042 + 0.*I, 0.2616423254611977 + 0.*I, 0.2643101453407848 + 0.*I, 0.09756487402781124 + 0.*I, 0.1453097531503911 + 0.*I, 0.033718569028806655 + 0.*I, 0.00363166955898997 + 0.*I, 0.000232059982385735 + 0.*I, 9.817556989588638*^-6 + 0.*I, 5.449440010352191*^-7 + 0.*I, 4.160534605723854*^-6 + 0.*I, 6.3259143923133365*^-6 + 0.*I, 9.246598797751915*^-6 + 0.*I, 5.629267940676641*^-7 + 0.*I, 6.332323199131906*^-6 + 0.*I, 3.1144200107746656*^-6 + 0.*I, 1.3816479960127026*^-6 + 0.*I, 1.87711979293681*^-7 + 0.*I, 1.3440182300428205*^-8 + 0.*I, 6.080025372057207*^-10 + 0.*I, 2.0383694732117877*^-11 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2723064507965889 + 0.*I, 0.2559988937758107 + 0.*I, 0.2599948233212191 + 0.*I, 0.09056977730219629 + 0.*I, 0.1467125969860206 + 0.*I, 0.03491965766819761 + 0.*I, 0.003839110009984381 + 0.*I, 0.0002500080248157843 + 0.*I, 0.00001077136220217767 + 0.*I, 5.716723983084648*^-7 + 0.*I, 4.361702199418006*^-6 + 0.*I, 6.359643189846054*^-6 + 0.*I, 9.698481195918873*^-6 + 0.*I, 2.0963679681074157*^-7 + 0.*I, 6.642861394290379*^-6 + 0.*I, 3.133896986362572*^-6 + 0.*I, 1.448352393573771*^-6 + 0.*I, 2.0134460765319775*^-7 + 0.*I, 1.4704615303173797*^-8 + 0.*I, 6.77613520849718*^-10 + 0.*I, 2.3003821070233247*^-11 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.266649349421999 + 0.*I, 0.24997715983958727 + 0.*I, 0.25536596851660764 + 0.*I, 0.08352035251180112 + 0.*I, 0.14803801232499136 + 0.*I, 0.03614263791440475 + 0.*I, 0.004055703381800058 + 0.*I, 0.0002691347106065223 + 0.*I, 0.000011807183786238797 + 0.*I, 5.983882056526113*^-7 + 0.*I, 4.568812217442542*^-6 + 0.*I, 6.382294803763955*^-6 + 0.*I, 0.000010154060992029203 + 0.*I, 1.5247259010919836*^-7 + 0.*I, 6.955864395585821*^-6 + 0.*I, 3.1482213946887327*^-6 + 0.*I, 1.5170452005719428*^-6 + 0.*I, 2.1578561160140455*^-7 + 0.*I, 1.6072587705195932*^-8 + 0.*I, 7.537970247994964*^-10 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
