{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.267609826350981, 0.533366146084774, 0.26007644065328, 0.005626271926872, 0.00005332353207, 2.82663073*^-7, 9.56246*^-10, 2.242*^-12, 3.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 0., 1.*^-15}
{0.281724675020638, 0.561363012978696, 0.273235103538607, 0.006338514983057, 0.00006435283192, 3.65278198*^-7, 1.322951*^-9, 3.322*^-12, 7.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15, 1.*^-15}
{0.295745667910192, 0.589154844401157, 0.286226685789287, 0.007104918349182, 0.000077102936614, 4.67601946*^-7, 1.809068*^-9, 4.85*^-12, 8.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15}
{0.309628873179296, 0.616653673101415, 0.299006425040888, 0.007926028250673, 0.000091750883057, 5.9329363*^-7, 2.44686*^-9, 6.993*^-12, 1.4*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15}
{0.323330865569091, 0.643772648666248, 0.311530462588192, 0.008802090619537, 0.000108480113847, 7.46490059*^-7, 3.275528*^-9, 9.958*^-12, 2.*^-14, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 2.*^-15}
{0.336808865534741, 0.670426319988177, 0.323756001511533, 0.009733037369438, 0.000127479380191, 9.31835885*^-7, 4.342331*^-9, 1.4019*^-11, 3.2*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 2.*^-15}
{0.35002087590878, 0.696530912149771, 0.335641460090893, 0.010718474417246, 0.000148941498125, 1.154511375*^-6, 5.703771*^-9, 1.9521*^-11, 4.7*^-14, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 2.*^-15}
{0.36292581563984, 0.722004596778829, 0.347146619914865, 0.011757671552368, 0.000173061960883, 1.420256991*^-6, 7.426906*^-9, 2.6902*^-11, 7.1*^-14, 0., 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15}
{0.375483650162565, 0.746767754955817, 0.358232768114874, 0.012849554245314, 0.000200037411623, 1.735393901*^-6, 9.590731*^-9, 3.6712*^-11, 1.04*^-13, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15}
{0.387655517967453, 0.770743231784525, 0.36886283318069, 0.01399269747683, 0.000230063982395, 2.106839731*^-6, 1.2287656*^-8, 4.9631*^-11, 1.48*^-13, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15}
{0.399403852953698, 0.793856581769831, 0.37900151384101, 0.015185321658021, 0.000263335506671, 2.542118677*^-6, 1.5625056*^-8, 6.65*^-11, 2.09*^-13, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15, 0., 2.*^-15}
