{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{5.839773109528325*^-11 + 0.*I, 0.9999833330938124 + 0.*I, 0.9999833330354092 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I, 0. + 0.*I, 5.839773109528325*^-11 + 0.*I, 5.839773109528325*^-11 + 0.*I}
{6.101785743339862*^-11 + 0.*I, 0.9999833330782026 + 0.*I, 0.9999833330171904 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I, 0. + 0.*I, 6.101785743339862*^-11 + 0.*I, 6.101785743339862*^-11 + 0.*I}
{6.37934149949615*^-11 + 0.*I, 0.9999833330627983 + 0.*I, 0.9999833329989993 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I, 0. + 0.*I, 6.37934149949615*^-11 + 0.*I, 6.37934149949615*^-11 + 0.*I}
{6.65911770170169*^-11 + 0.*I, 0.9999833330471887 + 0.*I, 0.9999833329807972 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I, 0. + 0.*I, 6.65911770170169*^-11 + 0.*I, 6.65911770170169*^-11 + 0.*I}
{6.898925875020723*^-11 + 0.*I, 0.9999833330317953 + 0.*I, 0.9999833329628061 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I, 0. + 0.*I, 6.898925875020723*^-11 + 0.*I, 6.898925875020723*^-11 + 0.*I}
{7.180922523275514*^-11 + 0.*I, 0.9999833330163854 + 0.*I, 0.9999833329447984 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I, 0. + 0.*I, 7.180922523275514*^-11 + 0.*I, 7.180922523275514*^-11 + 0.*I}
{7.460698725481053*^-11 + 0.*I, 0.9999833330010034 + 0.*I, 0.9999833329263909 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I, 0. + 0.*I, 7.460698725481053*^-11 + 0.*I, 7.460698725481053*^-11 + 0.*I}
{7.760458942129844*^-11 + 0.*I, 0.9999833329858044 + 0.*I, 0.9999833329081999 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I, 0. + 0.*I, 7.760458942129844*^-11 + 0.*I, 7.760458942129844*^-11 + 0.*I}
{8.038014698286135*^-11 + 0.*I, 0.9999833329704001 + 0.*I, 0.9999833328899865 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I, 0. + 0.*I, 8.038014698286135*^-11 + 0.*I, 8.038014698286135*^-11 + 0.*I}
{8.300027332097672*^-11 + 0.*I, 0.9999833329549958 + 0.*I, 0.9999833328719954 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I, 0. + 0.*I, 8.300027332097672*^-11 + 0.*I, 8.300027332097672*^-11 + 0.*I}
