{0.002524993717335, 0.049544865485648, 0.014437322028074, 0.020159132083013, 0.00971435624135, 0.002338305926055, 0.000336287996947, 0.000032156412232, 2.194150431*^-6, 1.12308037*^-7, 4.475142*^-9, 1.43005*^-10, 3.886*^-12, 1.23*^-13, 7.*^-15, 0., 1.*^-15, 2.*^-15, 2.*^-15, 1.*^-15}
{0.002816191552908, 0.055628374012849, 0.016552929886923, 0.022600624589057, 0.010717843386591, 0.002543391909236, 0.000360909291501, 0.00003406725554, 2.295383424*^-6, 1.1604179*^-7, 4.567675*^-9, 1.44195*^-10, 3.864*^-12, 1.2*^-13, 6.*^-15, 0., 1.*^-15, 2.*^-15, 3.*^-15, 1.*^-15}
{0.003126402640224, 0.062219333396968, 0.018899091417587, 0.025236596381884, 0.01177773933926, 0.002755297288355, 0.000385749025606, 0.000035941943534, 2.391182139*^-6, 1.19387724*^-7, 4.641922*^-9, 1.44756*^-10, 3.826*^-12, 1.15*^-13, 5.*^-15, 1.*^-15, 2.*^-15, 2.*^-15, 3.*^-15, 2.*^-15}
{0.00345430292274, 0.069317290833948, 0.021485448760763, 0.028064667139201, 0.0128894319625, 0.002972504373634, 0.000410569718826, 0.000037758581644, 2.480236849*^-6, 1.22292765*^-7, 4.696438*^-9, 1.44665*^-10, 3.771*^-12, 1.11*^-13, 4.*^-15, 1.*^-15, 3.*^-15, 2.*^-15, 4.*^-15, 3.*^-15}
{0.003798395528462, 0.076920113418771, 0.024321131936882, 0.031081617534593, 0.014048108967156, 0.003193521256062, 0.000435149305489, 0.00003949781922, 2.561474292*^-6, 1.24718425*^-7, 4.730427*^-9, 1.43922*^-10, 3.701*^-12, 1.07*^-13, 4.*^-15, 1.*^-15, 2.*^-15, 2.*^-15, 3.*^-15, 2.*^-15}
{0.004157023925785, 0.085023980954256, 0.027414696929154, 0.034283396626306, 0.015248784451819, 0.003416889076484, 0.000459281599193, 0.000041142775427, 2.63404096*^-6, 1.2663921*^-7, 4.743636*^-9, 1.42543*^-10, 3.616*^-12, 1.03*^-13, 4.*^-15, 0., 1.*^-15, 2.*^-15, 3.*^-15, 1.*^-15}
{0.004528387863248, 0.093623387975364, 0.03077406577863, 0.037665133678916, 0.016486326008058, 0.003641188854249, 0.000482776631062, 0.000042678953359, 2.697286258*^-6, 1.28041115*^-7, 4.736279*^-9, 1.40555*^-10, 3.517*^-12, 9.9*^-14, 4.*^-15, 0., 1.*^-15, 3.*^-15, 3.*^-15, 1.*^-15}
{0.004910562025951, 0.102711155107586, 0.034406469131757, 0.04122115435411, 0.017755482222242, 0.003865047847315, 0.000505460866021, 0.000044094143825, 2.75074571*^-6, 1.28920182*^-7, 4.708953*^-9, 1.38*^-10, 3.406*^-12, 9.3*^-14, 3.*^-15, 0., 1.*^-15, 3.*^-15, 4.*^-15, 1.*^-15}
{0.005301517304435, 0.112278449804919, 0.038318391667302, 0.044945001179374, 0.0190509104055, 0.004087145419779, 0.000527177301944, 0.000045378320234, 2.794124318*^-6, 1.29281146*^-7, 4.662562*^-9, 1.34927*^-10, 3.284*^-12, 8.8*^-14, 3.*^-15, 0., 1.*^-15, 3.*^-15, 4.*^-15, 2.*^-15}
{0.005699144535133, 0.122314816438218, 0.042515520812376, 0.048829458176688, 0.020367204384702, 0.004306218396842, 0.000547785457182, 0.000046523526011, 2.827280207*^-6, 1.29136166*^-7, 4.598261*^-9, 1.31388*^-10, 3.154*^-12, 8.2*^-14, 2.*^-15, 0., 1.*^-15, 2.*^-15, 4.*^-15, 1.*^-15}
