{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000013176907187606448 + 0.*I, 0.9964030248641954 + 0.*I, 0.9964071223667993 + 0.*I, 0.000017258327589253497 + 0.*I, 1.978417429882029*^-11 + 0.*I, 4.39648317751562*^-12 + 0.*I, 4.618527782440651*^-12 + 0.*I, 4.196643033083092*^-12 + 0.*I, 7.59392548843607*^-12 + 0.*I, 3.0099349445983057*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.7992770156185691*^-12 + 0.*I, 1.810430458333654*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.000041428832386891656 + 0.*I, 0.9936423539411987 + 0.*I, 0.9936551483352043 + 0.*I, 0.00005416156081405889 + 0.*I, 1.6040502259784264*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 6.994405055138486*^-12 + 0.*I, 5.3978093542337366*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9988167187747737*^-12 + 0.*I, 2.9987733334437935*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
{0.0001004687218086886 + 0.*I, 0.990123291276396 + 0.*I, 0.9901540444145873 + 0.*I, 0.00013103772280587123 + 0.*I, 9.370060283231396*^-10 + 0.*I, 5.59552404411079*^-12 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 6.1950444774083735*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 8.396669458329544*^-12 + 0.*I, 4.198378114943376*^-12 + 0.*I, 4.409330081760997*^-12 + 0.*I, 4.598145142364634*^-12 + 0.*I}
