{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{3.1017854951187473*^-9 + 0.*I, 0.9983847121477986 + 0.*I, 0.9983847367495969 + 0.*I, 7.590039707849884*^-8 + 0.*I, 7.251119704676513*^-8 + 0.*I, 4.0543990387220674*^-8 + 0.*I, 1.9097812220536525*^-8 + 0.*I, 1.1131984223311522*^-9 + 0.*I, 3.4416025584960157*^-9 + 0.*I, 6.74380276014714*^-9 + 0.*I, 7.518193034277311*^-9 + 0.*I, 6.022035843186796*^-10 + 0.*I, 1.54520419897459*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
{1.4659806701899925*^-8 + 0.*I, 0.9963888543684075 + 0.*I, 0.9963889789886105 + 0.*I, 3.8486418496574975*^-7 + 0.*I, 3.666935866064592*^-7 + 0.*I, 2.052013892139826*^-7 + 0.*I, 9.669480771634653*^-8 + 0.*I, 5.739986264075015*^-9 + 0.*I, 1.7335999302758868*^-8 + 0.*I, 3.4063198355721626*^-8 + 0.*I, 3.80011899985696*^-8 + 0.*I, 3.0472034617831984*^-9 + 0.*I, 7.805800233615104*^-9 + 0.*I}
