{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0422845758736079 + 0.*I, 0.8724957613626128 + 0.*I, 0.8725990241950089 + 0.*I, 0.04170939782159877 + 0.*I, 0.0004695858498049433 + 0.*I, 2.322918191133283*^-6 + 0.*I, 6.436806643250748*^-9 + 0.*I, 1.0813572259849026*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 2.3119284264794262*^-10 + 0.*I, 2.2047408343439656*^-8 + 0.*I, 6.196959195792257*^-8 + 0.*I, 3.8643199751220436*^-8 + 0.*I, 1.037814278959104*^-9 + 0.*I, 7.993605777301129*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.046216918316210887 + 0.*I, 0.860561514903413 + 0.*I, 0.8606852052424064 + 0.*I, 0.045526449800004094 + 0.*I, 0.000563705582212748 + 0.*I, 3.0632528069673985*^-6 + 0.*I, 9.32121047014789*^-9 + 0.*I, 1.758593271006248*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.020605904817785*^-12 + 0.*I, 3.04600789036158*^-10 + 0.*I, 2.6329405322655933*^-8 + 0.*I, 7.4151797202493*^-8 + 0.*I, 4.613798232355748*^-8 + 0.*I, 1.3661960451827326*^-9 + 0.*I, 1.2212453270876724*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.050296616005196526 + 0.*I, 0.8481647616428001 + 0.*I, 0.8483116598223983 + 0.*I, 0.04947470795759745 + 0.*I, 0.0006710073027882403 + 0.*I, 3.989257990610895*^-6 + 0.*I, 1.3274803478680043*^-8 + 0.*I, 2.7600144392181395*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 2.797762022055395*^-12 + 0.*I, 3.9621639302822587*^-10 + 0.*I, 3.11705994349154*^-8 + 0.*I, 8.796879474859438*^-8 + 0.*I, 5.460798480072526*^-8 + 0.*I, 1.7758017278879379*^-9 + 0.*I, 1.7386092565629955*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.05451902292199495 + 0.*I, 0.8353176027603882 + 0.*I, 0.8354907003679913 + 0.*I, 0.053548186252783125 + 0.*I, 0.0007925844450085152 + 0.*I, 5.135950198464911*^-6 + 0.*I, 1.8620394115487215*^-8 + 0.*I, 4.261035968511351*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 5.095923683029469*^-10 + 0.*I, 3.660778347125415*^-8 + 0.*I, 1.0354059831740871*^-7 + 0.*I, 6.411740027800761*^-8 + 0.*I, 2.2817969735910992*^-9 + 0.*I, 2.4802382370126*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.05887933029999904 + 0.*I, 0.8220325635712067 + 0.*I, 0.8222350646456046 + 0.*I, 0.05774070450359492 + 0.*I, 0.0009295559836086653 + 0.*I, 6.542916208829296*^-6 + 0.*I, 2.575502033863586*^-8 + 0.*I, 6.441513988875158*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 4.596323321948148*^-12 + 0.*I, 6.47992770552719*^-10 + 0.*I, 4.2676617795223144*^-8 + 0.*I, 1.2098519963643642*^-7 + 0.*I, 7.472700236377251*^-8 + 0.*I, 2.901012763345534*^-9 + 0.*I, 3.441691376337985*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.06337257205499826 + 0.*I, 0.8083225794280003 + 0.*I, 0.8085579006883892 + 0.*I, 0.06204589721798826 + 0.*I, 0.0010830636528069704 + 0.*I, 8.254657601902695*^-6 + 0.*I, 3.516640312284381*^-8 + 0.*I, 9.49906819869284*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 6.3948846218409025*^-12 + 0.*I, 8.15791878494565*^-10 + 0.*I, 4.9411785774111656*^-8 + 0.*I, 1.4042039198081126*^-7 + 0.*I, 8.649621019429786*^-8 + 0.*I, 3.65178998151805*^-9 + 0.*I, 4.67847982577041*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.06799363038858532 + 0.*I, 0.7942009811747974 + 0.*I, 0.7944727512583906 + 0.*I, 0.06645722268598943 + 0.*I, 0.001254269095407601 + 0.*I, 0.000010320931398410949 + 0.*I, 4.7447601403405315*^-8 + 0.*I, 1.3820056210533949*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 8.79296635503124*^-12 + 0.*I, 1.0178080600553587*^-9 + 0.*I, 5.684659409865844*^-8 + 0.*I, 1.6196178842520263*^-7 + 0.*I, 9.948180057506306*^-8 + 0.*I, 4.555400501260465*^-9 + 0.*I, 6.299405441723138*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.07273724156218186 + 0.*I, 0.7796814801731999 + 0.*I, 0.7799935378608015 + 0.*I, 0.07096797231738174 + 0.*I, 0.0014443509416040001 + 0.*I, 0.000012797096604622027 + 0.*I, 6.331279944760128*^-8 + 0.*I, 1.9879653478938056*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.2592149545298525*^-9 + 0.*I, 6.501281735182829*^-8 + 0.*I, 1.8572359483659542*^-7 + 0.*I, 1.1373719743801304*^-7 + 0.*I, 5.6350035748664595*^-9 + 0.*I, 8.419931418757187*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.0775980018296041 + 0.*I, 0.7647781529148024 + 0.*I, 0.7651345443282055 + 0.*I, 0.0755712802182007 + 0.*I, 0.0016545018294067404 + 0.*I, 0.000015744459602728966 + 0.*I, 8.361700221115598*^-8 + 0.*I, 2.8179680811035723*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.4988010832439613*^-11 + 0.*I, 1.5456080859621581*^-9 + 0.*I, 7.3939210309959*^-8 + 0.*I, 2.118162034658867*^-7 + 0.*I, 1.2931118398284982*^-7 + 0.*I, 6.91540158470616*^-9 + 0.*I, 1.1119993814645569*^-10 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.08257037352181751 + 0.*I, 0.7495054252414146 + 0.*I, 0.7499104000006086 + 0.*I, 0.08026013298778613 + 0.*I, 0.0018859253704039958 + 0.*I, 0.00001923062178388335 + 0.*I, 1.0937721839354708*^-7 + 0.*I, 3.951949878455707*^-10 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.9184653865522708*^-11 + 0.*I, 1.883804223723473*^-9 + 0.*I, 8.36534175263637*^-8 + 0.*I, 2.403466037304015*^-7 + 0.*I, 1.4624919053574104*^-7 + 0.*I, 8.42519387589391*^-9 + 0.*I, 1.4559464744934303*^-10 + 0.*I, 0. + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
