{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.26809570611119327 + 0.*I, 0.14562457244280402 + 0.*I, 0.1506673983362017 + 0.*I, 0.23303895473860695 + 0.*I, 0.028597439257604943 + 0.*I, 0.0013798995344149745 + 0.*I, 0.00003598991180631117 + 0.*I, 5.900556043769711*^-7 + 0.*I, 6.610401115381138*^-9 + 0.*I, 8.78808137372289*^-10 + 0.*I, 5.5962123823860566*^-9 + 0.*I, 1.1877741012966682*^-7 + 0.*I, 7.787857914109965*^-7 + 0.*I, 2.7777333988510122*^-6 + 0.*I, 1.3175139867982466*^-6 + 0.*I, 5.22380982914683*^-7 + 0.*I, 4.50302017895865*^-8 + 0.*I, 1.765609880521879*^-9 + 0.*I, 3.859135233597044*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.27306490193521604 + 0.*I, 0.12769903065319446 + 0.*I, 0.1329607967007984 + 0.*I, 0.23611843112258946 + 0.*I, 0.030138050360206673 + 0.*I, 0.0015053728578129368 + 0.*I, 0.00004058603939594008 + 0.*I, 6.874234070863849*^-7 + 0.*I, 7.953993019782502*^-9 + 0.*I, 1.0182077403442238*^-9 + 0.*I, 6.29658547524059*^-9 + 0.*I, 1.2884520117495415*^-7 + 0.*I, 7.997049911168119*^-7 + 0.*I, 2.889607420009099*^-6 + 0.*I, 1.3496226136666678*^-6 + 0.*I, 5.661339841367409*^-7 + 0.*I, 5.062359420549001*^-8 + 0.*I, 2.053579528649152*^-9 + 0.*I, 4.7006842862629134*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.277921534176806 + 0.*I, 0.10998966111699372 + 0.*I, 0.11547161639580139 + 0.*I, 0.23902866579499363 + 0.*I, 0.03172478143460556 + 0.*I, 0.0016396476330005074 + 0.*I, 0.00004567549320988463 + 0.*I, 7.988440131612152*^-7 + 0.*I, 9.541611944996477*^-9 + 0.*I, 1.176791997181681*^-9 + 0.*I, 7.0701888787994*^-9 + 0.*I, 1.395286108873961*^-7 + 0.*I, 8.193486111807148*^-7 + 0.*I, 3.0013677987383858*^-6 + 0.*I, 1.3791597863743732*^-6 + 0.*I, 6.12483397333108*^-7 + 0.*I, 5.6791216174190147*^-8 + 0.*I, 2.3822055439381984*^-9 + 0.*I, 5.659916979539048*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2826599272675923 + 0.*I, 0.09251140107200406 + 0.*I, 0.0982142512417905 + 0.*I, 0.24176445661800994 + 0.*I, 0.03335723912238908 + 0.*I, 0.001783142637989954 + 0.*I, 0.00005130106039974436 + 0.*I, 9.260584077352974*^-7 + 0.*I, 1.141300387530464*^-8 + 0.*I, 1.3562040379611062*^-9 + 0.*I, 7.92221843681773*^-9 + 0.*I, 1.5084720139668661*^-7 + 0.*I, 8.375635962565298*^-7 + 0.*I, 3.1127106003836502*^-6 + 0.*I, 1.4058409991690726*^-6 + 0.*I, 6.615018088851344*^-7 + 0.*I, 6.358000792516806*^-8 + 0.*I, 2.756594952302294*^-9 + 0.*I, 6.779021788361206*^-11 + 0.*I, 0. + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.28727453010701787 + 0.*I, 0.07527887436500347 + 0.*I, 0.08120275174978707 + 0.*I, 0.24432083059000576 + 0.*I, 0.03503494453940271 + 0.*I, 0.001936284452197512 + 0.*I, 0.00005750831260087353 + 0.*I, 1.0709874098679961*^-6 + 0.*I, 1.3612799776296928*^-8 + 0.*I, 1.5595968960724351*^-9 + 0.*I, 8.860001621258107*^-9 + 0.*I, 1.628196022451789*^-7 + 0.*I, 8.541934048977852*^-7 + 0.*I, 3.2233213875798587*^-6 + 0.*I, 1.429373996941763*^-6 + 0.*I, 7.13257786166821*^-7 + 0.*I, 7.103759802618016*^-8 + 0.*I, 3.1815883261288036*^-9 + 0.*I, 8.100187187665142*^-11 + 0.*I, 0. + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.29175992188319455 + 0.*I, 0.05830637680679374 + 0.*I, 0.06445081064079261 + 0.*I, 0.24669305069879854 + 0.*I, 0.036757332447412416 + 0.*I, 0.0020995069691887025 + 0.*I, 0.00006434572139557561 + 0.*I, 1.2357468159862606*^-6 + 0.*I, 1.6192203133869043*^-8 + 0.*I, 1.7883916569871874*^-9 + 0.*I, 9.888800889257256*^-9 + 0.*I, 1.754657974473162*^-7 + 0.*I, 8.69079808119011*^-7 + 0.*I, 3.332874598527269*^-6 + 0.*I, 1.4494638156392625*^-6 + 0.*I, 7.678159885671222*^-7 + 0.*I, 7.921661104859368*^-8 + 0.*I, 3.663980230328434*^-9 + 0.*I, 9.618972285352358*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2961108177313987 + 0.*I, 0.041607861963588455 + 0.*I, 0.04797174885760036 + 0.*I, 0.2488766224328032 + 0.*I, 0.03852375056840885 + 0.*I, 0.002273250869810895 + 0.*I, 0.00007186476640441697 + 0.*I, 1.422663009620351*^-6 + 0.*I, 1.9209211998827417*^-8 + 0.*I, 2.045186242582986*^-9 + 0.*I, 1.1016410006448042*^-8 + 0.*I, 1.8880279561983573*^-7 + 0.*I, 8.820610020165988*^-7 + 0.*I, 3.4410356120062606*^-6 + 0.*I, 1.4658088076657807*^-6 + 0.*I, 8.252363903338278*^-7 + 0.*I, 8.816998242622277*^-8 + 0.*I, 4.209810278155147*^-9 + 0.*I, 1.1439738045737613*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.30032207422798773 + 0.*I, 0.025196927386206273 + 0.*I, 0.03177850208802013 + 0.*I, 0.2508672999452122 + 0.*I, 0.040333459051389305 + 0.*I, 0.002457963067392655 + 0.*I, 0.00008012005061619477 + 0.*I, 1.6342891928644576*^-6 + 0.*I, 2.272941834746689*^-8 + 0.*I, 2.3334001397756765*^-9 + 0.*I, 1.2250001013569545*^-8 + 0.*I, 2.0284778301515874*^-7 + 0.*I, 8.929732064899554*^-7 + 0.*I, 3.5474614135111437*^-6 + 0.*I, 1.4781047941170302*^-6 + 0.*I, 8.855737920754336*^-7 + 0.*I, 9.795479982699362*^-8 + 0.*I, 4.826183896966541*^-9 + 0.*I, 1.352029599388516*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3043886947089902 + 0.*I, 0.009086801307400806 + 0.*I, 0.01588360781681342 + 0.*I, 0.25266109185719815 + 0.*I, 0.04218563009021903 + 0.*I, 0.002654096119214522 + 0.*I, 0.00008916941061087869 + 0.*I, 1.8734229945138736*^-6 + 0.*I, 2.6826807442148493*^-8 + 0.*I, 2.6559865418107624*^-9 + 0.*I, 1.3597389880715127*^-8 + 0.*I, 2.1761681345822129*^-7 + 0.*I, 9.016515978288453*^-7 + 0.*I, 3.651800217774337*^-6 + 0.*I, 1.4860439989661245*^-6 + 0.*I, 9.488771990362467*^-7 + 0.*I, 1.0862979404890895*^-7 + 0.*I, 5.520606194409084*^-9 + 0.*I, 1.5958345755962*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3083058344113932 + 0.*I, 0.006709670191407114 + 0.*I, 0.00029919291260060987 + 0.*I, 0.2542542666997827 + 0.*I, 0.04407934769439237 + 0.*I, 0.0028621076071821965 + 0.*I, 0.00009907403020203986 + 0.*I, 2.1431269869864877*^-6 + 0.*I, 3.1586200321953584*^-8 + 0.*I, 3.0154101438029106*^-9 + 0.*I, 1.5066392577978153*^-8 + 0.*I, 2.3312600738734093*^-7 + 0.*I, 9.079307972115204*^-7 + 0.*I, 3.7536922015135588*^-6 + 0.*I, 1.4893176025765342*^-6 + 0.*I, 1.0151905982525022*^-6 + 0.*I, 1.2025780371516248*^-7 + 0.*I, 6.302203203745194*^-9 + 0.*I, 1.88005166990024*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3120688054295995 + 0.*I, 0.022180035520191772 + 0.*I, 0.014963038226012415 + 0.*I, 0.25564335797700904 + 0.*I, 0.046013607612005465 + 0.*I, 0.0030824594817957514 + 0.*I, 0.00010989854779541731 + 0.*I, 2.4467441850362097*^-6 + 0.*I, 3.710098894771364*^-8 + 0.*I, 3.4158009754037266*^-9 + 0.*I, 1.666540239142478*^-8 + 0.*I, 2.493889983412601*^-7 + 0.*I, 9.116434052103275*^-7 + 0.*I, 3.852773211576732*^-6 + 0.*I, 1.4876144094344568*^-6 + 0.*I, 1.0845505826750923*^-6 + 0.*I, 1.3290299971657762*^-7 + 0.*I, 7.179412619962023*^-9 + 0.*I, 2.2060131499301863*^-10 + 0.*I, 3.1974423109204512*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.31567308148339196 + 0.*I, 0.03731224942080669 + 0.*I, 0.02989181495798299 + 0.*I, 0.2568251688565893 + 0.*I, 0.04798731741120221 + 0.*I, 0.0033156173828041706 + 0.*I, 0.00012171116958725749 + 0.*I, 2.787922404046128*^-6 + 0.*I, 4.347779913871364*^-8 + 0.*I, 3.860201047700685*^-9 + 0.*I, 1.8403190082949553*^-8 + 0.*I, 2.664187981338273*^-7 + 0.*I, 9.126229993938751*^-7 + 0.*I, 3.948671190023845*^-6 + 0.*I, 1.480623601501918*^-6 + 0.*I, 1.1569875946193522*^-6 + 0.*I, 1.4663321667995888*^-7 + 0.*I, 8.162204245820703*^-9 + 0.*I, 2.5839330675125893*^-10 + 0.*I, 4.196643033083092*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.31911430248900974 + 0.*I, 0.05209468429141496 + 0.*I, 0.04447631110799933 + 0.*I, 0.257796776470598 + 0.*I, 0.049999296716785054 + 0.*I, 0.003562049923799826 + 0.*I, 0.00013458377381425635 + 0.*I, 3.170633799953748*^-6 + 0.*I, 5.083580223441686*^-8 + 0.*I, 4.352007643149136*^-9 + 0.*I, 2.028879286797292*^-8 + 0.*I, 2.8422799669414195*^-7 + 0.*I, 9.107038012601266*^-7 + 0.*I, 4.041010415178903*^-6 + 0.*I, 1.4680351823059825*^-6 + 0.*I, 1.2325240161814577*^-6 + 0.*I, 1.6151879833614657*^-7 + 0.*I, 9.261991174014383*^-9 + 0.*I, 3.020028671585351*^-10 + 0.*I, 5.2180482157382365*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.32238827893480426 + 0.*I, 0.06651614098518444 + 0.*I, 0.05870615508301036 + 0.*I, 0.2585555358258107 + 0.*I, 0.05204827760261212 + 0.*I, 0.003822227949612511 + 0.*I, 0.00014859201939998457 + 0.*I, 3.599198006298821*^-6 + 0.*I, 5.9308602473606704*^-8 + 0.*I, 4.895617244926599*^-9 + 0.*I, 2.2332002913572065*^-8 + 0.*I, 3.0282698570971434*^-7 + 0.*I, 9.05720809463162*^-7 + 0.*I, 4.12941099092734*^-6 + 0.*I, 1.4495403988235012*^-6 + 0.*I, 1.3111741914428878*^-6 + 0.*I, 1.7763241988433265*^-7 + 0.*I, 1.0489387136658479*^-8 + 0.*I, 3.5160763189878713*^-10 + 0.*I, 6.217248937900877*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3254909960489938 + 0.*I, 0.0805658590717906 + 0.*I, 0.07257143938619315 + 0.*I, 0.2590990833214013 + 0.*I, 0.05413290514220127 + 0.*I, 0.004096623764593411 + 0.*I, 0.0001638154486061083 + 0.*I, 4.078306381494201*^-6 + 0.*I, 6.90456136709372*^-8 + 0.*I, 5.494804611316795*^-9 + 0.*I, 2.4542390342219278*^-8 + 0.*I, 3.222250022361095*^-7 + 0.*I, 8.975095999730343*^-7 + 0.*I, 4.213490600868398*^-6 + 0.*I, 1.4248332069755065*^-6 + 0.*I, 1.392945603306828*^-6 + 0.*I, 1.950501982150854*^-7 + 0.*I, 1.1858003468034896*^-8 + 0.*I, 4.090061622719077*^-10 + 0.*I, 8.01581023779363*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3284186177630044 + 0.*I, 0.09423352654880368 + 0.*I, 0.0860627295193872 + 0.*I, 0.25942533986058613 + 0.*I, 0.05625173811620865 + 0.*I, 0.004385710332610593 + 0.*I, 0.00018033758821811574 + 0.*I, 4.613045012646922*^-6 + 0.*I, 8.021301400873426*^-8 + 0.*I, 6.1536109541293635*^-9 + 0.*I, 2.6930191410201587*^-8 + 0.*I, 3.4242981783449977*^-7 + 0.*I, 8.859092126556334*^-7 + 0.*I, 4.2928645971329615*^-6 + 0.*I, 1.3936112042145512*^-6 + 0.*I, 1.4778349877175856*^-6 + 0.*I, 2.1385060389178534*^-7 + 0.*I, 1.3380807573071252*^-8 + 0.*I, 4.743982984223294*^-10 + 0.*I, 9.592326932761354*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.6209256159527285*^-12 + 0.*I}
{0.33116749045920546 + 0.*I, 0.10750928899920799 + 0.*I, 0.09917107226440347 + 0.*I, 0.2595325135666071 + 0.*I, 0.05840324987618218 + 0.*I, 0.004689960451598196 + 0.*I, 0.00019824604879925545 + 0.*I, 5.208922804200711*^-6 + 0.*I, 9.299698788822752*^-8 + 0.*I, 6.875988667331967*^-9 + 0.*I, 2.9505997645173924*^-8 + 0.*I, 3.634480050251909*^-7 + 0.*I, 8.707603971203071*^-7 + 0.*I, 4.367147998785015*^-6 + 0.*I, 1.3555766065209698*^-6 + 0.*I, 1.5658303986754165*^-6 + 0.*I, 2.3411499405767702*^-7 + 0.*I, 1.5072387782311125*^-8 + 0.*I, 5.49404965966005*^-10 + 0.*I, 1.1612932837579136*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3337341465066146 + 0.*I, 0.12038375818019809 + 0.*I, 0.11188800333499228 + 0.*I, 0.2594191020832026 + 0.*I, 0.06058582936581125 + 0.*I, 0.0050098459005942795 + 0.*I, 0.00021763261879304 + 0.*I, 5.871897990061826*^-6 + 0.*I, 1.0760439206336515*^-7 + 0.*I, 7.666201007339168*^-9 + 0.*I, 3.22804005747912*^-8 + 0.*I, 3.852844043805703*^-7 + 0.*I, 8.519073890767005*^-7 + 0.*I, 4.4359554030037884*^-6 + 0.*I, 1.310437203194681*^-6 + 0.*I, 1.6569112082365225*^-6 + 0.*I, 2.559268130752912*^-7 + 0.*I, 1.6948797920690595*^-8 + 0.*I, 6.34803321020172*^-10 + 0.*I, 1.4011014570769477*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3361153075752022 + 0.*I, 0.13284802003619145 + 0.*I, 0.12420555439240923 + 0.*I, 0.25908389447140134 + 0.*I, 0.06279778229700829 + 0.*I, 0.005345836562598017 + 0.*I, 0.0002385933572046639 + 0.*I, 6.6084046013159545*^-6 + 0.*I, 1.2426519813146797*^-7 + 0.*I, 8.528600048407498*^-9 + 0.*I, 3.526499092743052*^-8 + 0.*I, 4.07941991298344*^-7 + 0.*I, 8.291981989927422*^-7 + 0.*I, 4.498903405369958*^-6 + 0.*I, 1.2579079999852638*^-6 + 0.*I, 1.7510448202529007*^-6 + 0.*I, 2.7937281377177214*^-7 + 0.*I, 1.9026602515737068*^-8 + 0.*I, 7.320144490563508*^-10 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.338307887727396 + 0.*I, 0.14489364213199352 + 0.*I, 0.13611625941878372 + 0.*I, 0.25852597269400146 + 0.*I, 0.06503733247957834 + 0.*I, 0.005698399524600718 + 0.*I, 0.0002612286811976006 + 0.*I, 7.425383996562119*^-6 + 0.*I, 1.4323380259639864*^-7 + 0.*I, 9.467604478174962*^-9 + 0.*I, 3.847080431995664*^-8 + 0.*I, 4.31421987023839*^-7 + 0.*I, 8.024853892507622*^-7 + 0.*I, 4.555611199386078*^-6 + 0.*I, 1.197711396727641*^-6 + 0.*I, 1.8481894015209834*^-6 + 0.*I, 3.045419916247738*^-7 + 0.*I, 2.132420906519883*^-8 + 0.*I, 8.424150266250763*^-10 + 0.*I, 2.0006218903745324*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.34030899628660904 + 0.*I, 0.15651268049781122 + 0.*I, 0.14761316044180628 + 0.*I, 0.25774471268438237 + 0.*I, 0.06730262330660874 + 0.*I, 0.006067998153613808 + 0.*I, 0.00028564344760617644 + 0.*I, 8.33031441604959*^-6 + 0.*I, 1.647927794223847*^-7 + 0.*I, 1.0486789214780858*^-8 + 0.*I, 4.190958691197011*^-8 + 0.*I, 4.5572379203662194*^-7 + 0.*I, 7.716264072143986*^-7 + 0.*I, 4.605700398840895*^-6 + 0.*I, 1.1295786084275505*^-6 + 0.*I, 1.9482911950419184*^-6 + 0.*I, 3.315253849223154*^-7 + 0.*I, 2.3860602382796973*^-8 + 0.*I, 9.675815704213164*^-10 + 0.*I, 2.4003021792395888*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.34211594047601773 + 0.*I, 0.16769768587518996 + 0.*I, 0.15868981260600548 + 0.*I, 0.2567397850061992 + 0.*I, 0.06959171938920594 + 0.*I, 0.00645509115380083 + 0.*I, 0.0003119470352030973 + 0.*I, 9.331242400989481*^-6 + 0.*I, 1.8925419009718783*^-7 + 0.*I, 1.159059515032368*^-8 + 0.*I, 4.559359556566279*^-8 + 0.*I, 4.808449860504993*^-7 + 0.*I, 7.364837850687423*^-7 + 0.*I, 4.64879859052303*^-6 + 0.*I, 1.053250997529176*^-6 + 0.*I, 2.051285385995527*^-6 + 0.*I, 3.6041658546537297*^-7 + 0.*I, 2.6656810092617892*^-8 + 0.*I, 1.1093792551264416*^-9 + 0.*I, 2.819966482547898*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.34372622782801177 + 0.*I, 0.1784417093684043 + 0.*I, 0.1693402885865947 + 0.*I, 0.25551115509598876 + 0.*I, 0.07190260834200046 + 0.*I, 0.0068601316038030555 + 0.*I, 0.0003402534145990899 + 0.*I, 0.000010436815989223192 + 0.*I, 2.1696320295916394*^-7 + 0.*I, 1.2782597202942725*^-8 + 0.*I, 4.953459864509569*^-8 + 0.*I, 5.067817943071873*^-7 + 0.*I, 6.969270049950184*^-7 + 0.*I, 4.6845386014737755*^-6 + 0.*I, 9.684814061827751*^-7 + 0.*I, 2.157095613242177*^-6 + 0.*I, 3.9131200502140473*^-7 + 0.*I, 2.9734992246233105*^-8 + 0.*I, 1.270006322329209*^-9 + 0.*I, 3.3595348725157243*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.3451375683611868 + 0.*I, 0.1887383074888005 + 0.*I, 0.17955918234719984 + 0.*I, 0.2540590830943934 + 0.*I, 0.07423320271520152 + 0.*I, 0.007283565971416551 + 0.*I, 0.0003706812179871122 + 0.*I, 0.000011656318399388967 + 0.*I, 2.4830020262101016*^-7 + 0.*I, 1.4066592335382211*^-8 + 0.*I, 5.374580780426186*^-8 + 0.*I, 5.335270003570259*^-7 + 0.*I, 6.528316109921661*^-7 + 0.*I, 4.712560608410855*^-6 + 0.*I, 8.750340008134572*^-7 + 0.*I, 2.26563181549011*^-6 + 0.*I, 4.243090101496705*^-7 + 0.*I, 3.311819707363384*^-8 + 0.*I, 1.4505951995147372*^-9 + 0.*I, 3.959055305813309*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.34634787652261245 + 0.*I, 0.19858154659100347 + 0.*I, 0.18934161223000956 + 0.*I, 0.2523841232660029 + 0.*I, 0.07658134207519929 + 0.*I, 0.007725833120009185 + 0.*I, 0.00040335380240286156 + 0.*I, 0.000012999704201988038 + 0.*I, 2.8368400961653606*^-7 + 0.*I, 1.544540051412469*^-8 + 0.*I, 5.823921345182727*^-8 + 0.*I, 5.610731879102104*^-7 + 0.*I, 6.040806077578509*^-7 + 0.*I, 4.732512803862221*^-6 + 0.*I, 7.726868034296787*^-7 + 0.*I, 2.3767931844886903*^-6 + 0.*I, 4.5950798721605684*^-7 + 0.*I, 3.683220395345189*^-8 + 0.*I, 1.6543877379149308*^-9 + 0.*I, 4.6584958113271575*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I}
{0.347355272897798 + 0.*I, 0.20796600669978907 + 0.*I, 0.19868322338958413 + 0.*I, 0.25048712300759224 + 0.*I, 0.07894479522239096 + 0.*I, 0.008187363290979023 + 0.*I, 0.000438399303792636 + 0.*I, 0.000014477634002751928 + 0.*I, 3.2357518886527714*^-7 + 0.*I, 1.692179729673171*^-8 + 0.*I, 6.302780519717999*^-8 + 0.*I, 5.894087884428246*^-7 + 0.*I, 5.505649935955148*^-7 + 0.*I, 4.744052994887227*^-6 + 0.*I, 6.612318026455455*^-7 + 0.*I, 2.4904647899504084*^-6 + 0.*I, 4.97010388400554*^-7 + 0.*I, 4.090359162489676*^-8 + 0.*I, 1.8836043835790406*^-9 + 0.*I, 5.4600768351065205*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.34815808568000595 + 0.*I, 0.21688678472420178 + 0.*I, 0.2075801895583984 + 0.*I, 0.24836922144881873 + 0.*I, 0.08132126255460116 + 0.*I, 0.008668577079196106 + 0.*I, 0.0004759506881946153 + 0.*I, 0.000016101512989585842 + 0.*I, 3.6848040174675134*^-7 + 0.*I, 1.8497781084647616*^-8 + 0.*I, 6.812439501402424*^-8 + 0.*I, 6.185221890220306*^-7 + 0.*I, 4.921846041838763*^-7 + 0.*I, 4.7468492025970485*^-6 + 0.*I, 5.40476796651035*^-7 + 0.*I, 2.606519200476498*^-6 + 0.*I, 5.369193978310705*^-7 + 0.*I, 4.5360604161714946*^-8 + 0.*I, 2.1409984896081373*^-9 + 0.*I, 6.359357485052897*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.34875485190402067 + 0.*I, 0.2253394970562095 + 0.*I, 0.21602921415340148 + 0.*I, 0.24603184764959707 + 0.*I, 0.08370837856261915 + 0.*I, 0.009169884392212781 + 0.*I, 0.0005161457929947488 + 0.*I, 0.000017883529390694264 + 0.*I, 4.189546043420478*^-7 + 0.*I, 2.0174995007948837*^-8 + 0.*I, 7.354219455635304*^-8 + 0.*I, 6.483977799121021*^-7 + 0.*I, 4.288472021940493*^-7 + 0.*I, 4.7405813941026045*^-6 + 0.*I, 4.102451933718499*^-7 + 0.*I, 2.72481441854211*^-6 + 0.*I, 5.793403978771039*^-7 + 0.*I, 5.023319538111082*^-8 + 0.*I, 2.429390022484768*^-9 + 0.*I, 7.400746682151293*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.3491443184430177 + 0.*I, 0.23332028155680362 + 0.*I, 0.224027530721016 + 0.*I, 0.2434767183929987 + 0.*I, 0.08610371446280407 + 0.*I, 0.009691683402412998 + 0.*I, 0.0005591273629867999 + 0.*I, 0.00001983669459804105 + 0.*I, 4.7560639870880555*^-7 + 0.*I, 2.1953594497858834*^-8 + 0.*I, 7.929399359341006*^-8 + 0.*I, 6.790189965855121*^-7 + 0.*I, 3.6047160811847334*^-7 + 0.*I, 4.724942592737591*^-6 + 0.*I, 2.703785861868369*^-7 + 0.*I, 2.8451959899200574*^-6 + 0.*I, 6.243793926330454*^-7 + 0.*I, 5.555398363554787*^-8 + 0.*I, 2.752398309269211*^-9 + 0.*I, 8.619771563189717*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-12 + 0.*I}
{0.3493254427656023 + 0.*I, 0.24082579892659164 + 0.*I, 0.23157290272219913 + 0.*I, 0.24070583558359895 + 0.*I, 0.08850478095581149 + 0.*I, 0.010234359488792146 + 0.*I, 0.0006050430773951732 + 0.*I, 0.00002197488300215156 + 0.*I, 5.391014079592082*^-7 + 0.*I, 2.3832980033944295*^-8 + 0.*I, 8.539280393904393*^-8 + 0.*I, 7.103667876151576*^-7 + 0.*I, 2.869857906873108*^-7 + 0.*I, 4.699639410965517*^-6 + 0.*I, 1.2073719801719562*^-7 + 0.*I, 2.967494383554481*^-6 + 0.*I, 6.721432077583246*^-7 + 0.*I, 6.135620900238338*^-8 + 0.*I, 3.1135982681007594*^-9 + 0.*I, 9.998668559774161*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 2.020605904817785*^-12 + 0.*I}
{0.3492973934539956 + 0.*I, 0.24785323346321333 + 0.*I, 0.238663622665003 + 0.*I, 0.23772148324998632 + 0.*I, 0.0909090311151939 + 0.*I, 0.010798284173385575 + 0.*I, 0.0006540455695924764 + 0.*I, 0.000024312875201992767 + 0.*I, 6.101672056502139*^-7 + 0.*I, 2.581099778353746*^-8 + 0.*I, 9.185159299818224*^-8 + 0.*I, 7.424194148342168*^-7 + 0.*I, 2.0832859881636526*^-7 + 0.*I, 4.664394204212385*^-6 + 0.*I, 3.8799785606613575*^-8 + 0.*I, 3.091526812326606*^-6 + 0.*I, 7.227406007004334*^-7 + 0.*I, 6.767619797898305*^-8 + 0.*I, 3.5169867018680634*^-9 + 0.*I, 1.1599610161283636*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.998401444325282*^-12 + 0.*I}
{0.3490595504874072 + 0.*I, 0.2544002932084011 + 0.*I, 0.24529851058501256 + 0.*I, 0.23452622416240132 + 0.*I, 0.09331386339379577 + 0.*I, 0.011383814050414111 + 0.*I, 0.0007062924378020697 + 0.*I, 0.000026866399593927784 + 0.*I, 6.895980009247183*^-7 + 0.*I, 2.7885183051523658*^-8 + 0.*I, 9.868341699359463*^-8 + 0.*I, 7.751528086075155*^-7 + 0.*I, 1.2445000585614707*^-7 + 0.*I, 4.618945803613883*^-6 + 0.*I, 2.0833301750400326*^-7 + 0.*I, 3.21709479056409*^-6 + 0.*I, 7.76279818204273*^-7 + 0.*I, 7.4550787765304*^-8 + 0.*I, 3.966404982236328*^-9 + 0.*I, 1.3418155475619645*^-10 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I}
