{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.34181996109559076 + 0.*I, 0.29100212223718286 + 0.*I, 0.2809366295414062 + 0.*I, 0.20124323620638318 + 0.*I, 0.11229167675579356 + 0.*I, 0.016898053188607598 + 0.*I, 0.0012624113606030107 + 0.*I, 0.000057292481003834446 + 0.*I, 1.7388531947659658*^-6 + 0.*I, 1.9925681105092965*^-7 + 0.*I, 1.699271390265267*^-6 + 0.*I, 4.637051809197602*^-6 + 0.*I, 2.702440404789286*^-6 + 0.*I, 4.561840993844157*^-6 + 0.*I, 1.6829198035139827*^-6 + 0.*I, 1.8865591977501597*^-6 + 0.*I, 4.2766479246836303*^-7 + 0.*I, 3.612838916922101*^-8 + 0.*I, 1.6497914145929826*^-9 + 0.*I, 4.618527782440652*^-11 + 0.*I, 0. + 0.*I, 7.993605777301128*^-13 + 0.*I, 8.215650382226159*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.33965616436300033 + 0.*I, 0.293051310356196 + 0.*I, 0.2833688872039941 + 0.*I, 0.196289405962391 + 0.*I, 0.11457593957040492 + 0.*I, 0.017691885989390425 + 0.*I, 0.0013518274646129316 + 0.*I, 0.00006267275218796443 + 0.*I, 1.942028005075258*^-6 + 0.*I, 2.1544739325918272*^-7 + 0.*I, 1.8086346198487038*^-6 + 0.*I, 4.77129300513468*^-6 + 0.*I, 3.004660387162516*^-6 + 0.*I, 4.422242994017722*^-6 + 0.*I, 1.8737249973810324*^-6 + 0.*I, 1.941434213392768*^-6 + 0.*I, 4.5507739798722474*^-7 + 0.*I, 3.9387004768798306*^-8 + 0.*I, 1.8387957823051695*^-9 + 0.*I, 5.260236690673992*^-11 + 0.*I, 0. + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.33728152154741675 + 0.*I, 0.29461381430899714 + 0.*I, 0.28535650927619116 + 0.*I, 0.19116504072818064 + 0.*I, 0.11683225215579629 + 0.*I, 0.01850985603539801 + 0.*I, 0.001446336813004656 + 0.*I, 0.00006848815099491647 + 0.*I, 2.1663463911636427*^-6 + 0.*I, 2.326077996883669*^-7 + 0.*I, 1.923171200068907*^-6 + 0.*I, 4.903500405717409*^-6 + 0.*I, 3.317955199477751*^-6 + 0.*I, 4.270433784370198*^-6 + 0.*I, 2.071507410050799*^-6 + 0.*I, 1.995530984899574*^-6 + 0.*I, 4.837791944822811*^-7 + 0.*I, 4.289320010286701*^-8 + 0.*I, 2.0465851235940136*^-9 + 0.*I, 5.979661210631094*^-11 + 0.*I, 0. + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3346974963253979 + 0.*I, 0.29569271466840524 + 0.*I, 0.286903888539003 + 0.*I, 0.1858755382093902 + 0.*I, 0.11905762948880574 + 0.*I, 0.019352084889412424 + 0.*I, 0.0015461497500091073 + 0.*I, 0.00007476794121608066 + 0.*I, 2.413734190298556*^-6 + 0.*I, 2.507622109959584*^-7 + 0.*I, 2.0430043878860715*^-6 + 0.*I, 5.0332365830740855*^-6 + 0.*I, 3.6421480054116273*^-6 + 0.*I, 4.106391804370446*^-6 + 0.*I, 2.2761512008528935*^-6 + 0.*I, 2.048676583932263*^-6 + 0.*I, 5.138012015848404*^-7 + 0.*I, 4.6662607111613865*^-8 + 0.*I, 2.2754020889692583*^-9 + 0.*I, 6.818989817247711*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.33190575288579716 + 0.*I, 0.29629158459278937 + 0.*I, 0.2880158927611953 + 0.*I, 0.18042651104139829 + 0.*I, 0.12124907607020675 + 0.*I, 0.020218666572602295 + 0.*I, 0.0016514809349832407 + 0.*I, 0.00008154291959439064 + 0.*I, 2.6862673863092823*^-6 + 0.*I, 2.699293899510735*^-7 + 0.*I, 2.168251600487281*^-6 + 0.*I, 5.160046590013678*^-6 + 0.*I, 3.977030615942568*^-6 + 0.*I, 3.9301260024160464*^-6 + 0.*I, 2.487521388871983*^-6 + 0.*I, 2.1006917982901996*^-6 + 0.*I, 5.451725959559894*^-7 + 0.*I, 5.0710013965726837*^-8 + 0.*I, 2.5268009906653788*^-9 + 0.*I, 7.740474927686593*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3289081536482108 + 0.*I, 0.2964144832446003 + 0.*I, 0.28869785582219537 + 0.*I, 0.1748237790250018 + 0.*I, 0.12340359012019687 + 0.*I, 0.02110966660939795 + 0.*I, 0.0017625492122030906 + 0.*I, 0.00008884546720544506 + 0.*I, 2.986181213415762*^-6 + 0.*I, 2.901255902187927*^-7 + 0.*I, 2.299026391483494*^-6 + 0.*I, 5.283460580152166*^-6 + 0.*I, 4.3223618018117804*^-6 + 0.*I, 3.741673815227387*^-6 + 0.*I, 2.7054625872935394*^-6 + 0.*I, 2.1513911985238114*^-6 + 0.*I, 5.779215994650145*^-7 + 0.*I, 5.505240707748271*^-8 + 0.*I, 2.80260259444276*^-9 + 0.*I, 8.78186412478499*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.3257067567719929 + 0.*I, 0.29606594869300285 + 0.*I, 0.28895556829979796 + 0.*I, 0.1690733610929973 + 0.*I, 0.125518167831995 + 0.*I, 0.022025121097812853 + 0.*I, 0.0018795774737956352 + 0.*I, 0.00009670960419150278 + 0.*I, 3.315880192644727*^-6 + 0.*I, 3.113600044457599*^-7 + 0.*I, 2.435435009218168*^-6 + 0.*I, 5.402990588265766*^-6 + 0.*I, 4.677869602787155*^-6 + 0.*I, 3.5411062082602034*^-6 + 0.*I, 2.9297990034038435*^-6 + 0.*I, 2.20058240518739*^-6 + 0.*I, 6.120742135351521*^-7 + 0.*I, 5.970639538332989*^-8 + 0.*I, 3.1048053017457278*^-9 + 0.*I, 9.9209529480504*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.3223038134669842 + 0.*I, 0.29525099029861224 + 0.*I, 0.28879526754621576 + 0.*I, 0.1631814670021825 + 0.*I, 0.12758980765639194 + 0.*I, 0.02296503580059284 + 0.*I, 0.0020027925007992664 + 0.*I, 0.00010517104058749281 + 0.*I, 3.6779476131343362*^-6 + 0.*I, 3.3363880547199187*^-7 + 0.*I, 2.5775779954884115*^-6 + 0.*I, 5.518135992588214*^-6 + 0.*I, 5.043248196834328*^-6 + 0.*I, 3.328523390244698*^-6 + 0.*I, 3.160334594021208*^-6 + 0.*I, 2.2480687977832763*^-6 + 0.*I, 6.476562175450341*^-7 + 0.*I, 6.468920954461056*^-8 + 0.*I, 3.43578498984698*^-9 + 0.*I, 1.1222134332911084*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.318701765102003 + 0.*I, 0.29397508060717836 + 0.*I, 0.28822362726099726 + 0.*I, 0.1571544887877918 + 0.*I, 0.1296155146323974 + 0.*I, 0.02392938527180366 + 0.*I, 0.002132424799405897 + 0.*I, 0.00011426722998919558 + 0.*I, 4.07515801104097*^-6 + 0.*I, 3.5695941758007166*^-7 + 0.*I, 2.725548586823834*^-6 + 0.*I, 5.628378385580391*^-6 + 0.*I, 5.418159587655681*^-6 + 0.*I, 3.1040591874642587*^-6 + 0.*I, 3.3968516000015825*^-6 + 0.*I, 2.2936464061373844*^-6 + 0.*I, 6.846906153157307*^-7 + 0.*I, 7.001961233044086*^-8 + 0.*I, 3.798006353861183*^-9 + 0.*I, 1.2680967387268538*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.31490324011940185 + 0.*I, 0.2922441467476 + 0.*I, 0.28724774658059893 + 0.*I, 0.15099899196620026 + 0.*I, 0.13159230474080186 + 0.*I, 0.024918112006599994 + 0.*I, 0.002268708421193644 + 0.*I, 0.0001240374245981002 + 0.*I, 4.5104868062750825*^-6 + 0.*I, 3.813134030750121*^-7 + 0.*I, 2.879431382218911*^-6 + 0.*I, 5.733187191658828*^-6 + 0.*I, 5.80223260548962*^-6 + 0.*I, 2.8678790009450954*^-6 + 0.*I, 3.6391121893686314*^-6 + 0.*I, 2.337106996819216*^-6 + 0.*I, 7.23199189422985*^-7 + 0.*I, 7.571618887425302*^-8 + 0.*I, 4.193800862140052*^-9 + 0.*I, 1.4279688542728766*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.3109110507595992 + 0.*I, 0.29006456135900477 + 0.*I, 0.2858751386974001 + 0.*I, 0.14472170652140015 + 0.*I, 0.1335172092806092 + 0.*I, 0.02593112562698785 + 0.*I, 0.002411880767794195 + 0.*I, 0.0001345227262028459 + 0.*I, 4.987124202493477*^-6 + 0.*I, 4.066829983884191*^-7 + 0.*I, 3.039302787222198*^-6 + 0.*I, 5.832017602180884*^-6 + 0.*I, 6.195063195768569*^-6 + 0.*I, 2.6201823821736525*^-6 + 0.*I, 3.886857191659488*^-6 + 0.*I, 2.3782368074876108*^-6 + 0.*I, 7.632013909741886*^-7 + 0.*I, 8.179859012358294*^-8 + 0.*I, 4.626010685626625*^-9 + 0.*I, 1.6080470288670767*^-10 + 0.*I, 2.62012633811537*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.3067281895978047 + 0.*I, 0.28744313305462127 + 0.*I, 0.284113719026613 + 0.*I, 0.13832951767378535 + 0.*I, 0.13538727926438732 + 0.*I, 0.02696830210040524 + 0.*I, 0.002562182387988443 + 0.*I, 0.000145766139603154 + 0.*I, 5.50848540115112*^-6 + 0.*I, 4.3304120289633374*^-7 + 0.*I, 3.2052295928508556*^-6 + 0.*I, 5.924310997329486*^-6 + 0.*I, 6.596213797394057*^-6 + 0.*I, 2.3612017896468274*^-6 + 0.*I, 4.139807385783456*^-6 + 0.*I, 2.416816791139809*^-6 + 0.*I, 8.047146060619071*^-7 + 0.*I, 8.828680009287383*^-8 + 0.*I, 5.097011701593602*^-9 + 0.*I, 1.8101076193488555*^-10 + 0.*I, 2.997602166487923*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.2212453270876722*^-12 + 0.*I}
{0.3023578259023996 + 0.*I, 0.2843870964355899 + 0.*I, 0.2819717929389843 + 0.*I, 0.1318294564487843 + 0.*I, 0.13719958981661673 + 0.*I, 0.028029482992408816 + 0.*I, 0.002719856755417638 + 0.*I, 0.00015781262521219475 + 0.*I, 6.078224590311265*^-6 + 0.*I, 4.6035100176311516*^-7 + 0.*I, 3.377269419679863*^-6 + 0.*I, 6.009497810488541*^-6 + 0.*I, 7.005214586186525*^-6 + 0.*I, 2.09120278871211*^-6 + 0.*I, 4.397661612642878*^-6 + 0.*I, 2.452624592308439*^-6 + 0.*I, 8.477540003326568*^-7 + 0.*I, 9.520220167757998*^-8 + 0.*I, 5.610401032640767*^-9 + 0.*I, 2.0341506257182118*^-10 + 0.*I, 3.996802888650564*^-12 + 0.*I, 1.021405182655144*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.29780330181219394 + 0.*I, 0.28090410166980995 + 0.*I, 0.2794580430720118 + 0.*I, 0.1252286900644162 + 0.*I, 0.13895124458040972 + 0.*I, 0.029114474760616467 + 0.*I, 0.002885150037990059 + 0.*I, 0.00017070915179218105 + 0.*I, 6.700249000068937*^-6 + 0.*I, 4.885623905437343*^-7 + 0.*I, 3.555467786853228*^-6 + 0.*I, 6.086996218179763*^-6 + 0.*I, 7.4215622092310696*^-6 + 0.*I, 1.8104861831957917*^-6 + 0.*I, 4.660099395259465*^-6 + 0.*I, 2.4854316160727308*^-6 + 0.*I, 8.923314087638803*^-7 + 0.*I, 1.0256540061703846*^-7 + 0.*I, 6.168821009566727*^-9 + 0.*I, 2.2799540033702217*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2930681283449977 + 0.*I, 0.2770022036484132 + 0.*I, 0.2765815162452112 + 0.*I, 0.11853451214078882 + 0.*I, 0.14063938011341648 + 0.*I, 0.030223048086397423 + 0.*I, 0.0030583108496129445 + 0.*I, 0.00018450474619235988 + 0.*I, 7.378730582097149*^-6 + 0.*I, 5.176135964291007*^-7 + 0.*I, 3.739859200102558*^-6 + 0.*I, 6.156214582553332*^-6 + 0.*I, 7.844721605643203*^-6 + 0.*I, 1.5193855951167732*^-6 + 0.*I, 4.9267781854212*^-6 + 0.*I, 2.5150078020175215*^-6 + 0.*I, 9.384578003590605*^-7 + 0.*I, 1.1039960057246391*^-7 + 0.*I, 6.776201821878659*^-9 + 0.*I, 2.5539570458477106*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.2212453270876722*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.28815598123839165 + 0.*I, 0.27268985073900526 + 0.*I, 0.27335160999260033 + 0.*I, 0.1117543327580073 + 0.*I, 0.14226117027418275 + 0.*I, 0.03135493724719663 + 0.*I, 0.0032395899921988654 + 0.*I, 0.00019925054599578829 + 0.*I, 8.11812319589933*^-6 + 0.*I, 5.474273923056217*^-7 + 0.*I, 3.930466019319568*^-6 + 0.*I, 6.216550807458533*^-6 + 0.*I, 8.274124208007551*^-6 + 0.*I, 1.2182694186790854*^-6 + 0.*I, 5.197336205853276*^-6 + 0.*I, 2.5411182047463403*^-6 + 0.*I, 9.86139392367136*^-7 + 0.*I, 1.1872640648391553*^-7 + 0.*I, 7.435585480664031*^-9 + 0.*I, 2.858158154595003*^-10 + 0.*I, 6.217248937900877*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.28307069663140455 + 0.*I, 0.2679758731437998 + 0.*I, 0.2697780587306076 + 0.*I, 0.10489566836640041 + 0.*I, 0.14381383059058894 + 0.*I, 0.03250983953440035 + 0.*I, 0.0034292401819957514 + 0.*I, 0.0002149998478140347 + 0.*I, 8.923174998898276*^-6 + 0.*I, 5.779112077775039*^-7 + 0.*I, 4.127296993061691*^-6 + 0.*I, 6.26739520281916*^-6 + 0.*I, 8.709170584708659*^-6 + 0.*I, 9.075391993462745*^-7 + 0.*I, 5.471391606448606*^-6 + 0.*I, 2.5635251921229955*^-6 + 0.*I, 1.0353808033158884*^-6 + 0.*I, 1.2756999900886967*^-7 + 0.*I, 8.15179035384972*^-9 + 0.*I, 3.1941116418465754*^-10 + 0.*I, 7.394085344003543*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2778162665858064 + 0.*I, 0.26286947088580703 + 0.*I, 0.26587091958578674 + 0.*I, 0.09796613157040393 + 0.*I, 0.14529462259980086 + 0.*I, 0.033687414715410924 + 0.*I, 0.003627515763993117 + 0.*I, 0.0002318081584018472 + 0.*I, 9.798946409844689*^-6 + 0.*I, 6.089539983378245*^-7 + 0.*I, 4.3303471919387*^-6 + 0.*I, 6.308129796295248*^-6 + 0.*I, 9.149229995841779*^-6 + 0.*I, 5.876311881536367*^-7 + 0.*I, 5.748542797334722*^-6 + 0.*I, 2.5819886007028003*^-6 + 0.*I, 1.0861830102015804*^-6 + 0.*I, 1.3695440337357923*^-7 + 0.*I, 8.927814043602211*^-9 + 0.*I, 3.5640379536516775*^-10 + 0.*I, 8.415490526658687*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.4210854715202006*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.2723968344642058 + 0.*I, 0.2573802014331994 + 0.*I, 0.2616405578986125 + 0.*I, 0.09097342079580352 + 0.*I, 0.14670085815700065 + 0.*I, 0.03488728454199564 + 0.*I, 0.0038346724120064124 + 0.*I, 0.00024973324059818225 + 0.*I, 0.00001075082420864959 + 0.*I, 6.404258012793207*^-7 + 0.*I, 4.539596809571834*^-6 + 0.*I, 6.338131397498614*^-6 + 0.*I, 9.593640593053012*^-6 + 0.*I, 2.590147873959836*^-7 + 0.*I, 6.028368582100541*^-6 + 0.*I, 2.5962660021860984*^-6 + 0.*I, 1.1385434151023333*^-6 + 0.*I, 1.4690419991580939*^-7 + 0.*I, 9.768807984755767*^-9 + 0.*I, 3.977929097231936*^-10 + 0.*I, 9.792167077193882*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
