{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.27776078841679214 + 0.*I, 0.11021755609699203 + 0.*I, 0.11553786171121239 + 0.*I, 0.239030379595806 + 0.*I, 0.03172397831281426 + 0.*I, 0.0016396391935957768 + 0.*I, 0.00004567709721570168 + 0.*I, 7.989093830929052*^-7 + 0.*I, 9.560796598862*^-9 + 0.*I, 3.9879211044535623*^-10 + 0.*I, 1.325040077659878*^-8 + 0.*I, 3.8444381011970563*^-7 + 0.*I, 1.4476909893090806*^-6 + 0.*I, 4.824489807653265*^-6 + 0.*I, 2.0248202003969595*^-6 + 0.*I, 8.722305988584367*^-7 + 0.*I, 7.920919475878918*^-8 + 0.*I, 3.2883917810977437*^-9 + 0.*I, 7.920331057675867*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.28249226209320355 + 0.*I, 0.09274756965080844 + 0.*I, 0.09828138059220226 + 0.*I, 0.24176668786262126 + 0.*I, 0.03335638903161353 + 0.*I, 0.0017831336017959387 + 0.*I, 0.00005130292120014702 + 0.*I, 9.261362121648632*^-7 + 0.*I, 1.1435608016086009*^-8 + 0.*I, 4.5641268542340185*^-10 + 0.*I, 1.4830803252152691*^-8 + 0.*I, 4.1536121209162507*^-7 + 0.*I, 1.4770715983658538*^-6 + 0.*I, 5.004130199104395*^-6 + 0.*I, 2.062910797739903*^-6 + 0.*I, 9.419901969565103*^-7 + 0.*I, 8.867460099537539*^-8 + 0.*I, 3.8046010786274564*^-9 + 0.*I, 9.441336601412333*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.2870998846796091 + 0.*I, 0.0755232411403961 + 0.*I, 0.0812705826197968 + 0.*I, 0.244323625992382 + 0.*I, 0.03503404699780611 + 0.*I, 0.0019362748248097363 + 0.*I, 0.000057510467210697414 + 0.*I, 1.0710800024682499*^-6 + 0.*I, 1.3639600560111377*^-8 + 0.*I, 5.206057807072285*^-10 + 0.*I, 1.656661474669363*^-8 + 0.*I, 4.4802679344257973*^-7 + 0.*I, 1.503312985207117*^-6 + 0.*I, 5.182670403947043*^-6 + 0.*I, 2.096252793570841*^-6 + 0.*I, 1.0156391949678323*^-6 + 0.*I, 9.907279441279117*^-8 + 0.*I, 4.391198515918404*^-9 + 0.*I, 1.1239897901305085*^-10 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.29157824909800123 + 0.*I, 0.058558838635791595 + 0.*I, 0.06451914475180676 + 0.*I, 0.24669645848098834 + 0.*I, 0.036756387206993146 + 0.*I, 0.002099496763996456 + 0.*I, 0.0000643482101825299 + 0.*I, 1.2358569945192246*^-6 + 0.*I, 1.6223999921294308*^-8 + 0.*I, 5.913936007573285*^-10 + 0.*I, 1.8470003304571495*^-8 + 0.*I, 4.824847854578707*^-7 + 0.*I, 1.5261141905753561*^-6 + 0.*I, 5.359591592757341*^-6 + 0.*I, 2.124404008263525*^-6 + 0.*I, 1.0932696081766837*^-6 + 0.*I, 1.1047578407641369*^-7 + 0.*I, 5.056399743352813*^-9 + 0.*I, 1.3380407892782387*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.2959220849495958 + 0.*I, 0.041868286858592896 + 0.*I, 0.04804037187700061 + 0.*I, 0.2488806922160025 + 0.*I, 0.03852275764000269 + 0.*I, 0.0022732401111946743 + 0.*I, 0.00007186763439914756 + 0.*I, 1.4227930167365346*^-6 + 0.*I, 1.924680415044122*^-8 + 0.*I, 6.702194355057145*^-10 + 0.*I, 2.0553203583517646*^-8 + 0.*I, 5.187763996161721*^-7 + 0.*I, 1.5451690149603792*^-6 + 0.*I, 5.534360414394258*^-6 + 0.*I, 2.1469150013331273*^-6 + 0.*I, 1.174964792127753*^-6 + 0.*I, 1.2295799933781382*^-7 + 0.*I, 5.8090199317462066*^-9 + 0.*I, 1.5840662115351734*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.30012626399760217 + 0.*I, 0.02546515344259426 + 0.*I, 0.03184718337501114 + 0.*I, 0.2508720826277955 + 0.*I, 0.04033241873080407 + 0.*I, 0.0024579517925893413 + 0.*I, 0.0000801233486003028 + 0.*I, 1.6344426034820003*^-6 + 0.*I, 2.2773805063991404*^-8 + 0.*I, 7.564171511376117*^-10 + 0.*I, 2.282940503306463*^-8 + 0.*I, 5.569408045857926*^-7 + 0.*I, 1.5601678171606181*^-6 + 0.*I, 5.706428995999602*^-6 + 0.*I, 2.163331802584878*^-6 + 0.*I, 1.2608020183435542*^-6 + 0.*I, 1.365987989387918*^-7 + 0.*I, 6.659184315083167*^-9 + 0.*I, 1.8718360195180142*^-10 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.3041858054785962 + 0.*I, 0.0093626356612031 + 0.*I, 0.01595210020020055 + 0.*I, 0.2526666394790045 + 0.*I, 0.042184542983192415 + 0.*I, 0.002654084379183353 + 0.*I, 0.0000891731956054187 + 0.*I, 1.873604382751637*^-6 + 0.*I, 2.687938760459474*^-8 + 0.*I, 8.514078331245402*^-10 + 0.*I, 2.5311996942889436*^-8 + 0.*I, 5.970133942767575*^-7 + 0.*I, 1.5707982026214042*^-6 + 0.*I, 5.875236208652268*^-6 + 0.*I, 2.1731952015713323*^-6 + 0.*I, 1.3508507867854291*^-6 + 0.*I, 1.5148038379209083*^-7 + 0.*I, 7.617195763032214*^-9 + 0.*I, 2.2080115513745116*^-10 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.30809588123379417 + 0.*I, 0.0064264523671919704 + 0.*I, 0.00036723251120029943 + 0.*I, 0.25426063229039286 + 0.*I, 0.04407821474199381 + 0.*I, 0.002862095468203485 + 0.*I, 0.00009907836420186557 + 0.*I, 2.143339794535848*^-6 + 0.*I, 3.1647595655215355*^-8 + 0.*I, 9.551914814664997*^-10 + 0.*I, 2.8016011732745483*^-8 + 0.*I, 6.390268092459905*^-7 + 0.*I, 1.576744801390362*^-6 + 0.*I, 6.040209199476011*^-6 + 0.*I, 2.176043789603455*^-6 + 0.*I, 1.4451714047680753*^-6 + 0.*I, 1.676892180668688*^-7 + 0.*I, 8.694800435193883*^-9 + 0.*I, 2.5979218776228663*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.31185182065160966 + 0.*I, 0.021889691981602514 + 0.*I, 0.01489573214461526 + 0.*I, 0.2556505953954069 + 0.*I, 0.046012430119390935 + 0.*I, 0.0030824470294010813 + 0.*I, 0.00010990350161055319 + 0.*I, 2.4469940074212104*^-6 + 0.*I, 3.7173397693379684*^-8 + 0.*I, 1.0678125050844756*^-9 + 0.*I, 3.09561931643998*^-8 + 0.*I, 6.830092047493964*^-7 + 0.*I, 1.5776925987864843*^-6 + 0.*I, 6.200764191000019*^-6 + 0.*I, 2.1714136044792554*^-6 + 0.*I, 1.5438155864799796*^-6 + 0.*I, 1.85315807144093*^-7 + 0.*I, 9.904388420522992*^-9 + 0.*I, 3.04778424720098*^-10 + 0.*I, 5.395683899678261*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.31544911542160664 + 0.*I, 0.03701507177780173 + 0.*I, 0.029825540078198823 + 0.*I, 0.2568333326105954 + 0.*I, 0.04798609707359347 + 0.*I, 0.0033156047227977936 + 0.*I, 0.00012171682000072792 + 0.*I, 2.788214792381894*^-6 + 0.*I, 4.356279781347894*^-8 + 0.*I, 1.189803811030288*^-9 + 0.*I, 3.4148195382499586*^-8 + 0.*I, 7.289858050540944*^-7 + 0.*I, 1.5733249814076091*^-6 + 0.*I, 6.356308990262961*^-6 + 0.*I, 2.158840795019046*^-6 + 0.*I, 1.6468241881284487*^-6 + 0.*I, 2.0445340975783213*^-7 + 0.*I, 1.125979309790637*^-8 + 0.*I, 3.568034756540328*^-10 + 0.*I, 6.59472476627343*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.31888342409238657 + 0.*I, 0.051790998885414836 + 0.*I, 0.04441138212221141 + 0.*I, 0.2578059215256001 + 0.*I, 0.049998035646581236 + 0.*I, 0.003562037184789979 + 0.*I, 0.00013459020700157254 + 0.*I, 3.1709757930542537*^-6 + 0.*I, 5.093541144418623*^-8 + 0.*I, 1.3211876037644288*^-9 + 0.*I, 3.7608605119032745*^-8 + 0.*I, 7.769767940146722*^-7 + 0.*I, 1.5633268013459656*^-6 + 0.*I, 6.506243388493261*^-6 + 0.*I, 2.137862797901846*^-6 + 0.*I, 1.7542285846161576*^-6 + 0.*I, 2.2520061371267275*^-7 + 0.*I, 1.2776002478176453*^-8 + 0.*I, 4.1660008776034374*^-10 + 0.*I, 8.393286066166183*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.322150576425817 + 0.*I, 0.0662063097205845 + 0.*I, 0.05864290370301007 + 0.*I, 0.2585657173983958 + 0.*I, 0.052046978357389584 + 0.*I, 0.003822215285809172 + 0.*I, 0.00014859932999655712 + 0.*I, 3.5995965985691214*^-6 + 0.*I, 5.9424998255508405*^-8 + 0.*I, 1.4620082922078836*^-9 + 0.*I, 4.135378706138227*^-8 + 0.*I, 8.269977813668561*^-7 + 0.*I, 1.5473841985524928*^-6 + 0.*I, 6.649961004079331*^-6 + 0.*I, 2.108018004598478*^-6 + 0.*I, 1.8660478051657492*^-6 + 0.*I, 2.476585825306188*^-7 + 0.*I, 1.4468581888138488*^-8 + 0.*I, 4.853895063661185*^-10 + 0.*I, 9.992007221626409*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.3252465775495983 + 0.*I, 0.08025028019380544 + 0.*I, 0.0725102143086076 + 0.*I, 0.2591103566575992 + 0.*I, 0.05413157075180309 + 0.*I, 0.004096611359005742 + 0.*I, 0.00016382374139478628 + 0.*I, 4.07876978858468*^-6 + 0.*I, 6.918119410670444*^-8 + 0.*I, 1.61179958269031*^-9 + 0.*I, 4.540199327607297*^-8 + 0.*I, 8.790604022479443*^-7 + 0.*I, 1.5251863993981374*^-6 + 0.*I, 6.786850392792588*^-6 + 0.*I, 2.068851001624239*^-6 + 0.*I, 1.9822893992937907*^-6 + 0.*I, 2.7193340912390346*^-7 + 0.*I, 1.6355383714028452*^-8 + 0.*I, 5.641931366540122*^-10 + 0.*I, 1.2212453270876724*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.3281676118985999 + 0.*I, 0.09391263537039675 + 0.*I, 0.0860038963416132 + 0.*I, 0.25943776000181273 + 0.*I, 0.05625037210978956 + 0.*I, 0.004385698399800297 + 0.*I, 0.00018034697839564018 + 0.*I, 4.613583004520194*^-6 + 0.*I, 8.037059906484957*^-8 + 0.*I, 1.7704060439882598*^-9 + 0.*I, 4.9771209376103804*^-8 + 0.*I, 9.331706074533486*^-7 + 0.*I, 1.4964253836069474*^-6 + 0.*I, 6.916298600501136*^-6 + 0.*I, 2.0199091954609116*^-6 + 0.*I, 2.1029481933609873*^-6 + 0.*I, 2.9813338464634853*^-7 + 0.*I, 1.8454593408989698*^-8 + 0.*I, 6.543876551745598*^-10 + 0.*I, 1.461053500406706*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.3309100469400139 + 0.*I, 0.10718355856798034 + 0.*I, 0.0991150133532015 + 0.*I, 0.2595461350989981 + 0.*I, 0.05840185631040829 + 0.*I, 0.0046899492415875 + 0.*I, 0.0001982566631975047 + 0.*I, 5.209546194429038*^-6 + 0.*I, 9.317999705160675*^-8 + 0.*I, 1.9370061110635106*^-9 + 0.*I, 5.4480997491168643*^-8 + 0.*I, 9.893291963436468*^-7 + 0.*I, 1.4607998144455794*^-6 + 0.*I, 7.0376890093371*^-6 + 0.*I, 1.960749007601237*^-6 + 0.*I, 2.2280060019141956*^-6 + 0.*I, 3.263726178204252*^-7 + 0.*I, 2.078679450789878*^-8 + 0.*I, 7.576161920042069*^-10 + 0.*I, 1.758593271006248*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.3334704366867891 + 0.*I, 0.12005369988639104 + 0.*I, 0.11183511764381038 + 0.*I, 0.2594339788738021 + 0.*I, 0.060584412849995495 + 0.*I, 0.005009835700997556 + 0.*I, 0.0002176445971890928 + 0.*I, 5.872618413782504*^-6 + 0.*I, 1.0781660009229199*^-7 + 0.*I, 2.1106005831939*^-9 + 0.*I, 5.9550187003765145*^-8 + 0.*I, 1.047531394959833*^-6 + 0.*I, 1.4180123963924986*^-6 + 0.*I, 7.150407199674191*^-6 + 0.*I, 1.8909344090545233*^-6 + 0.*I, 2.3574296070805185*^-6 + 0.*I, 3.5676659404515476*^-7 + 0.*I, 2.337339211067047*^-8 + 0.*I, 8.75188810312011*^-10 + 0.*I, 2.1183055309847987*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.33584552498520104 + 0.*I, 0.13251418415960448 + 0.*I, 0.12415625722661527 + 0.*I, 0.25910007939158325 + 0.*I, 0.06279634801960032 + 0.*I, 0.00534582770341796 + 0.*I, 0.00023860685200993717 + 0.*I, 6.6092360029301744*^-6 + 0.*I, 1.2451020214854225*^-7 + 0.*I, 2.2896129436844603*^-9 + 0.*I, 6.49992060175464*^-8 + 0.*I, 1.1077662120939635*^-6 + 0.*I, 1.3677731836025944*^-6 + 0.*I, 7.253839817700225*^-6 + 0.*I, 1.8100393850417618*^-6 + 0.*I, 2.4911722018572395*^-6 + 0.*I, 3.894364164480635*^-7 + 0.*I, 2.6237390038374997*^-8 + 0.*I, 1.008992889239835*^-9 + 0.*I, 2.5002222514558525*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.3380322485819987 + 0.*I, 0.14455661832279978 + 0.*I, 0.13607098214900581 + 0.*I, 0.25854351732519376 + 0.*I, 0.06503588623418821 + 0.*I, 0.005698392381803253 + 0.*I, 0.0002612438601889977 + 0.*I, 7.426341386285175*^-6 + 0.*I, 1.4351639876508673*^-7 + 0.*I, 2.472599902603179*^-9 + 0.*I, 7.084939301904569*^-8 + 0.*I, 1.1700171942408133*^-6 + 0.*I, 1.3098010009926497*^-6 + 0.*I, 7.347377795063893*^-6 + 0.*I, 1.7176498001703069*^-6 + 0.*I, 2.6291714139148326*^-6 + 0.*I, 4.245052087625823*^-7 + 0.*I, 2.9403790513526932*^-8 + 0.*I, 1.1608047856270789*^-9 + 0.*I, 2.9598545836506673*^-11 + 0.*I, 0. + 0.*I}
{0.34002773996240077 + 0.*I, 0.15617309818860559 + 0.*I, 0.14757235016160664 + 0.*I, 0.25776366701479875 + 0.*I, 0.06730117151558801 + 0.*I, 0.006067993153391348 + 0.*I, 0.0002856604943923813 + 0.*I, 8.331414802498216*^-6 + 0.*I, 1.651179859507579*^-7 + 0.*I, 2.6572077871378497*^-9 + 0.*I, 7.712159799666551*^-8 + 0.*I, 1.2342610045124047*^-6 + 0.*I, 1.2438233998324224*^-6 + 0.*I, 7.43041779216469*^-6 + 0.*I, 1.6133643976345981*^-6 + 0.*I, 2.77134881709884*^-6 + 0.*I, 4.6209998050272816*^-7 + 0.*I, 3.2899594160085144*^-8 + 0.*I, 1.333200216890873*^-9 + 0.*I, 3.479438959175241*^-11 + 0.*I, 0. + 0.*I}
{0.3418293299606079 + 0.*I, 0.1673562146256025 + 0.*I, 0.158653931737196 + 0.*I, 0.25676019711060594 + 0.*I, 0.06959026912760624 + 0.*I, 0.00645508877739065 + 0.*I, 0.00031196614980188997 + 0.*I, 9.332504791181863*^-6 + 0.*I, 1.8962820202972352*^-7 + 0.*I, 2.839994905912136*^-9 + 0.*I, 8.38388025670156*^-8 + 0.*I, 1.300468199794125*^-6 + 0.*I, 1.1695779900122716*^-6 + 0.*I, 7.502362997513502*^-6 + 0.*I, 1.4967975969781835*^-6 + 0.*I, 2.9176099980432473*^-6 + 0.*I, 5.023512050783552*^-7 + 0.*I, 3.675300064287512*^-8 + 0.*I, 1.5281997889360355*^-9 + 0.*I, 4.121147867408581*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.34343455013901014 + 0.*I, 0.17809905913561686 + 0.*I, 0.16930981442779824 + 0.*I, 0.25553307080341536 + 0.*I, 0.07190116735840135 + 0.*I, 0.006860132389796547 + 0.*I, 0.00034027481539133936 + 0.*I, 0.000010438261610623558 + 0.*I, 2.1739199329573466*^-7 + 0.*I, 3.0179858612200405*^-9 + 0.*I, 9.102278930583907*^-8 + 0.*I, 1.3686015876146485*^-6 + 0.*I, 1.0868135946751067*^-6 + 0.*I, 7.562627191148864*^-6 + 0.*I, 1.3675791832312711*^-6 + 0.*I, 3.0678428020181055*^-6 + 0.*I, 5.453917983899715*^-7 + 0.*I, 4.09944078683111*^-8 + 0.*I, 1.748401423640189*^-9 + 0.*I, 4.838351941316433*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.3448411349312064 + 0.*I, 0.18839522882361237 + 0.*I, 0.17953460656658926 + 0.*I, 0.25408254564540655 + 0.*I, 0.0742317794544034 + 0.*I, 0.007283570524396765 + 0.*I, 0.0003707051439816311 + 0.*I, 0.000011657971410450331 + 0.*I, 2.487916095361698*^-7 + 0.*I, 3.1866065342001093*^-9 + 0.*I, 9.869720596356048*^-8 + 0.*I, 1.4386186020232117*^-6 + 0.*I, 9.952923818445925*^-7 + 0.*I, 7.610634789045889*^-6 + 0.*I, 1.2253581926913173*^-6 + 0.*I, 3.221918198903495*^-6 + 0.*I, 5.913581846428428*^-7 + 0.*I, 4.565658962008001*^-8 + 0.*I, 1.997202403458687*^-9 + 0.*I, 5.679900993982301*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.3460470235534086 + 0.*I, 0.19823883075840157 + 0.*I, 0.18932344030240245 + 0.*I, 0.25240917295319415 + 0.*I, 0.07657994569481019 + 0.*I, 0.0077258421115944395 + 0.*I, 0.00040338051259247726 + 0.*I, 0.000013001590803973785 + 0.*I, 2.8424600451160137*^-7 + 0.*I, 3.3405944677156185*^-9 + 0.*I, 1.068860111530512*^-7 + 0.*I, 1.5104671957644202*^-6 + 0.*I, 8.947885987709016*^-7 + 0.*I, 7.645822819313253*^-6 + 0.*I, 1.0698022023802878*^-6 + 0.*I, 3.3796889953308096*^-6 + 0.*I, 6.403891861239686*^-7 + 0.*I, 5.07737851762613*^-8 + 0.*I, 2.277400490413584*^-9 + 0.*I, 6.621370118864434*^-11 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.3470503616759935 + 0.*I, 0.2076244857204035 + 0.*I, 0.1986719739742071 + 0.*I, 0.25051379680958163 + 0.*I, 0.07894343561161143 + 0.*I, 0.00818737746739462 + 0.*I, 0.00043842908019620097 + 0.*I, 0.000014479783594367747 + 0.*I, 3.242166091155241*^-7 + 0.*I, 3.4735991860657123*^-9 + 0.*I, 1.1561338553178757*^-7 + 0.*I, 1.5840901923525055*^-6 + 0.*I, 7.850927907782079*^-7 + 0.*I, 7.667644008613196*^-6 + 0.*I, 9.006007939404981*^-7 + 0.*I, 3.540989013117724*^-6 + 0.*I, 6.926260009976205*^-7 + 0.*I, 5.6382987168035477*^-8 + 0.*I, 2.592392966960233*^-9 + 0.*I, 7.738254481637342*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.34784950285939864 + 0.*I, 0.2165473313355815 + 0.*I, 0.20757639382240622 + 0.*I, 0.2483975526491822 + 0.*I, 0.08131995034881269 + 0.*I, 0.008668597266003886 + 0.*I, 0.00047598383681179973 + 0.*I, 0.000016103958411228806 + 0.*I, 3.6921179447091395*^-7 + 0.*I, 3.5782043994458945*^-9 + 0.*I, 1.249045977758101*^-7 + 0.*I, 1.6594214002907395*^-6 + 0.*I, 6.660101803390718*^-7 + 0.*I, 7.675566804365987*^-6 + 0.*I, 7.174663974041096*^-7 + 0.*I, 3.7056339996510705*^-6 + 0.*I, 7.482125807811713*^-7 + 0.*I, 6.252318662802737*^-8 + 0.*I, 2.9461988404477783*^-9 + 0.*I, 9.021672298104023*^-11 + 0.*I, 1.3988810110276974*^-12 + 0.*I}
{0.34844300975178655 + 0.*I, 0.22500302459138588 + 0.*I, 0.21603341503659834 + 0.*I, 0.2460618654460012 + 0.*I, 0.08370712515619605 + 0.*I, 0.009169911499617989 + 0.*I, 0.0005161826457822372 + 0.*I, 0.000017886307013270653 + 0.*I, 4.197868053168463*^-7 + 0.*I, 3.6461944574739395*^-9 + 0.*I, 1.347846056987123*^-7 + 0.*I, 1.7363870119524451*^-6 + 0.*I, 5.373630207472502*^-7 + 0.*I, 7.669080392957994*^-6 + 0.*I, 5.201358010964441*^-7 + 0.*I, 3.8734190077605035*^-6 + 0.*I, 8.072940094194792*^-7 + 0.*I, 6.923581707951598*^-8 + 0.*I, 3.342592869159944*^-9 + 0.*I, 1.0480505352461479*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.34882965504419167 + 0.*I, 0.23298774374100886 + 0.*I, 0.22404028214157992 + 0.*I, 0.24350844749840841 + 0.*I, 0.08610253201919438 + 0.*I, 0.009691718431792395 + 0.*I, 0.0005591682798122832 + 0.*I, 0.0000198398445894199 + 0.*I, 4.765521977034837*^-7 + 0.*I, 3.6662006763776853*^-9 + 0.*I, 1.452796105638754*^-7 + 0.*I, 1.8149060032612852*^-6 + 0.*I, 3.989919949987098*^-7 + 0.*I, 7.647691990797513*^-6 + 0.*I, 3.0837159492591587*^-7 + 0.*I, 4.0441213933206654*^-6 + 0.*I, 8.700182130283453*^-7 + 0.*I, 7.656499878549995*^-8 + 0.*I, 3.786593261168036*^-9 + 0.*I, 1.2139178551251464*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I}
{0.34900842219081074 + 0.*I, 0.24049818958740146 + 0.*I, 0.23159476872840482 + 0.*I, 0.24073929581498454 + 0.*I, 0.08850368241621888 + 0.*I, 0.010234403537801029 + 0.*I, 0.0006050884469921414 + 0.*I, 0.000021978449793458313 + 0.*I, 5.401746161481924*^-7 + 0.*I, 3.627009803608417*^-9 + 0.*I, 1.564155915900756*^-7 + 0.*I, 1.8948885793790282*^-6 + 0.*I, 2.507559937470205*^-7 + 0.*I, 7.610933394630593*^-6 + 0.*I, 8.196439083008046*^-8 + 0.*I, 4.2174965964036915*^-6 + 0.*I, 9.365337838573852*^-7 + 0.*I, 8.455680600150117*^-8 + 0.*I, 4.282596499649571*^-9 + 0.*I, 1.403988036940973*^-10 + 0.*I, 2.797762022055395*^-12 + 0.*I}
{0.34897850588719864 + 0.*I, 0.24753158615600238 + 0.*I, 0.2386951765270151 + 0.*I, 0.23775668911159012 + 0.*I, 0.09090803020219697 + 0.*I, 0.010798338442419288 + 0.*I, 0.0006540958128020692 + 0.*I, 0.00002431690779847174 + 0.*I, 6.113832107246253*^-7 + 0.*I, 3.5143887799904405*^-9 + 0.*I, 1.682195938101927*^-7 + 0.*I, 1.9762377956311643*^-6 + 0.*I, 9.253440236278722*^-8 + 0.*I, 7.558359382819902*^-6 + 0.*I, 1.5926640006824758*^-7 + 0.*I, 4.3932810056546145*^-6 + 0.*I, 1.0069910016952122*^-6 + 0.*I, 9.326122096808831*^-8 + 0.*I, 4.836797629081957*^-9 + 0.*I, 1.6260326418660045*^-10 + 0.*I, 3.6193270602780107*^-12 + 0.*I}
{0.3487393123106086 + 0.*I, 0.2540856807528025 + 0.*I, 0.245340333831412 + 0.*I, 0.23456318441898993 + 0.*I, 0.09331297461359078 + 0.*I, 0.01138387984940259 + 0.*I, 0.0007063480081948016 + 0.*I, 0.000026870952396507167 + 0.*I, 6.909739891369782*^-7 + 0.*I, 3.3130165277839296*^-9 + 0.*I, 1.8071841800804123*^-7 + 0.*I, 2.058846981789486*^-6 + 0.*I, 7.577360960908663*^-8 + 0.*I, 7.4895516011253*^-6 + 0.*I, 4.154714128290493*^-7 + 0.*I, 4.5711891827338044*^-6 + 0.*I, 1.0815404127839658*^-6 + 0.*I, 1.027293805577756*^-7 + 0.*I, 5.4541926530760065*^-9 + 0.*I, 1.8758328224066647*^-10 + 0.*I, 4.39648317751562*^-12 + 0.*I}
{0.34829045912061485 + 0.*I, 0.2601587434156061 + 0.*I, 0.25152959327638946 + 0.*I, 0.23116161331198093 + 0.*I, 0.09571586339278683 + 0.*I, 0.011991368472008546 + 0.*I, 0.0007620076340142391 + 0.*I, 0.00002965731020765361 + 0.*I, 7.7981479051914*^-7 + 0.*I, 3.0035973708208985*^-9 + 0.*I, 1.939395977146319*^-7 + 0.*I, 2.1426031837634696*^-6 + 0.*I, 2.54245002828668*^-7 + 0.*I, 7.404118984588593*^-6 + 0.*I, 6.867684199107771*^-7 + 0.*I, 4.7509162159897755*^-6 + 0.*I, 1.1603338068155724*^-6 + 0.*I, 1.1301619640136097*^-7 + 0.*I, 6.141398500858486*^-9 + 0.*I, 2.161826273550105*^-10 + 0.*I, 5.2180482157382365*^-12 + 0.*I}
{0.3476317752244107 + 0.*I, 0.2657495657558018 + 0.*I, 0.2572628289779999 + 0.*I, 0.22755507776059947 + 0.*I, 0.09811399602239756 + 0.*I, 0.012621127957790357 + 0.*I, 0.0008212422526021613 + 0.*I, 0.00003269374659886637 + 0.*I, 8.788501926204618*^-7 + 0.*I, 2.566213908039572*^-9 + 0.*I, 2.0791099952788272*^-7 + 0.*I, 2.2273836108865908*^-6 + 0.*I, 4.4293599898992403*^-7 + 0.*I, 7.301701399065054*^-6 + 0.*I, 9.732435968246023*^-7 + 0.*I, 4.932135810875594*^-6 + 0.*I, 1.2435221963258416*^-6 + 0.*I, 1.2417920025598053*^-7 + 0.*I, 6.9055872131684745*^-9 + 0.*I, 2.4860113967406505*^-10 + 0.*I, 6.1950444774083735*^-12 + 0.*I}
{0.34676330030480873 + 0.*I, 0.2708574592005908 + 0.*I, 0.26254043303901575 + 0.*I, 0.22374694561559938 + 0.*I, 0.10050462706960861 + 0.*I, 0.013273463819785114 + 0.*I, 0.000884224372610376 + 0.*I, 0.00003599911100327091 + 0.*I, 9.891091945490873*^-7 + 0.*I, 1.975997143688346*^-9 + 0.*I, 2.2266100074830322*^-7 + 0.*I, 2.3130575899088517*^-6 + 0.*I, 6.418776177241625*^-7 + 0.*I, 7.181968197933487*^-6 + 0.*I, 1.274946814788791*^-6 + 0.*I, 5.114501000491601*^-6 + 0.*I, 1.3312567936907271*^-6 + 0.*I, 1.362791879344627*^-7 + 0.*I, 7.75359776383766*^-9 + 0.*I, 2.8519409056571026*^-10 + 0.*I, 7.394085344003543*^-12 + 0.*I}
