t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14,C_1_15
0.13,0.07250953795110403,0.0,0.9719549617097192,0.11749899933487752,0.0037423354089807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.06803155952004443,0.0,0.9681662431907554,0.12911579013771227,0.005095315087528282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.06261179743381175,0.0,0.9642504240273484,0.13261375561003128,0.005068958032299994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.05778342106938445,0.0,0.9617934072771497,0.14209381744544827,0.007710668925462156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0468401566237873,0.0,0.9584887517647934,0.1472288546568928,0.009041369310823036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.04190968962361894,0.0,0.9576306294414313,0.15377126336911243,0.008161701046788181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.02661033069742293,0.0,0.955720301637564,0.15820047082603653,0.011569914696777586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.020072751755838482,0.0,0.9561727714849779,0.16449325998862127,0.012798826629610007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.004172402459076146,0.0,0.9562834832078657,0.16718023014104638,0.011173728553005668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.000518762033390922,0.0,0.957691864701119,0.17045888107625323,0.014935244766151169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.009841993720065008,0.0,0.9596742136214097,0.17610239958591184,0.015933791391300394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.020811613369264136,0.0,0.9615326321818851,0.17404474062129646,0.013769881192852797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.03268921048322475,0.0,0.9647044104524669,0.17957694054691312,0.01749353433701476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.03934993815505347,0.0,0.9665275676065967,0.17760033448574067,0.018078383307572204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.05200354783412661,0.0,0.9698873973716865,0.1776875413758435,0.01577469348645783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.05378881211817706,0.0,0.9715257793898332,0.17913072856163095,0.019056260511825778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.06479005023729165,0.0,0.9742173953218236,0.17598294100143946,0.019106555530258557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.06325379114198412,0.0,0.9757578381106372,0.1758227376105625,0.017201950251549122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
