t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.1,-0.005725978986588165,0.984382061495092,-0.9689742106291002,-0.009505308888806477,-2.4166157655616805e-05,-1.4471005931146474e-05,9.591439926889822e-06,1.0424841611261781e-05,8.044622867547924e-06,3.9092268010326725e-06,-2.9158088993147535e-06,-4.860572042034161e-06,-2.8850099929089712e-05,5.246859139371174e-05,-2.5438374418401688e-05,-6.682878254948843e-07
0.11,-0.0060224637095804,0.9792175821945168,-0.9617665825027719,-0.011399948479680566,-6.175506210814863e-05,-8.366022314520993e-06,-1.4179798420360656e-05,-2.7999918208732044e-06,-2.4115871211927153e-06,-6.376189287976564e-06,-1.4179310618978036e-06,1.2276479585959787e-06,-3.908416025016903e-05,7.392018836854808e-05,-3.788118726189005e-05,-2.0953418215230446e-06
0.12,-0.005999558317438425,0.9734938629918823,-0.9540765665311677,-0.01326633845380118,-3.088547074922565e-05,8.469887875311999e-06,-8.632278305636953e-06,-1.4547400123021692e-05,-1.096725331822812e-05,-2.9688620285239775e-06,1.0398230987640478e-06,1.9698369447540554e-06,-4.743708399396196e-05,0.00010046602721824893,-4.71403145105298e-05,2.4156183573431633e-06
0.13,-0.005761291695399073,0.9675094749099954,-0.9463749658227829,-0.015251926964135631,-9.06996499523971e-05,-1.1190715716813404e-05,1.4138686298348357e-05,5.315537028621753e-06,4.521920528993695e-06,6.2680244844459665e-06,-9.280256293431322e-07,-9.144645368136528e-06,-6.935167616611837e-05,0.0001321533434198996,-7.193709380559632e-05,-5.243497751522552e-06
0.14,-0.0052458229720853955,0.9615390959074321,-0.93889761866501,-0.017282636147521957,-0.00010096710737933501,-7.897650570881654e-06,-3.707820911663662e-06,1.1202502853718821e-05,8.378722681334771e-06,-1.9588504295009468e-06,-8.432678282876971e-07,7.208930931784652e-06,-7.706487324685152e-05,0.00016923810864932776,-8.174658469553564e-05,4.983568021449392e-06
0.15,-0.004524205444300017,0.9559472259707161,-0.9319704374891641,-0.019241398113394814,-8.577875614662611e-05,1.788134085911608e-06,-1.8166641564759667e-05,-1.3425548479328864e-05,-1.0461312385801058e-05,-6.9289254927829e-06,-1.6727779585112845e-06,-4.782162019961733e-06,-0.00010271232595548963,0.0002113933111428934,-0.00011702120656295611,-6.801098844544384e-06
0.16,-0.003675685815656915,0.9510904961809371,-0.9260200461059652,-0.02126813021854676,-0.000173189021630743,-1.0942371183070287e-05,7.703750585480451e-06,-1.0256858291146642e-05,-7.137563361542254e-06,4.01488201715039e-06,9.61171259472593e-07,-5.436907504124955e-06,-0.00012037488955499165,0.00025859769722869075,-0.00013084819623060406,5.348387121628662e-06
0.17,-0.002721373445172509,0.9472691424175633,-0.9211388460957801,-0.023139020687818368,-0.00016030746991146927,-2.0032580533291267e-06,9.209847657065673e-06,1.6284766221258407e-05,1.2830152030879338e-05,3.720505527660123e-06,2.039276705612103e-06,5.904466631928562e-06,-0.0001400650288923555,0.00031010048646126775,-0.00017005972928682556,-5.311274917874087e-06
0.18,-0.0018467949444252452,0.9448078310244733,-0.9177824418597836,-0.02499289788362291,-0.00018869891260642202,-3.6065311221911145e-06,-1.658391721184871e-05,3.0795891345081206e-06,1.8758409202068727e-06,-5.991208855443686e-06,-4.909775141503925e-06,-8.292658517788931e-06,-0.00017356520777339624,0.00036580671559466316,-0.0001920052099827485,2.7491964749992714e-06
0.19,-0.0010197230239843424,0.9438250998305908,-0.9158125964709755,-0.02667464688694332,-0.00025034975700577444,-1.6040968624536633e-05,-4.326008200522535e-06,-2.0238470751471338e-05,-1.5056251880446458e-05,-5.68882582652197e-07,1.4825395809048292e-06,-5.767716897697728e-07,-0.00018912837384929548,0.0004245141895833082,-0.00022611604850228395,-7.270297930905834e-07
