t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14,mx_15
0.23,-0.9998017291247957,0.21189578456217847,-0.23858766778487153,-0.9737206985335062,-0.9996553413886656,-0.9999590429519588,-0.9999495926297837,-0.9999533648249241,-0.9999464462137253,-0.9999561012555577,-0.9999542774926475,-0.9992823075517605,-0.9409973622046764,0.9151558730862221,-0.9747008318995329,-0.9999171266241743
0.24,-0.999430657408656,0.19814128605396933,-0.22615444562581208,-0.9727410209529598,-0.9996108199869204,-0.9999578972680833,-0.9999587214461185,-0.999939303200672,-0.9999424806450024,-0.9999647387753524,-0.9999818955485508,-0.9992616873386826,-0.9391414981381122,0.9148645106985718,-0.9763755530142448,-0.9999414897417118
0.25,-0.9988996526084578,0.18206240244134195,-0.21152126574006122,-0.9719589885532012,-0.999594727749289,-0.9999506498346455,-0.9999704172282905,-0.9999757165554556,-0.9999818275743111,-0.9999594902847081,-0.9999251013120571,-0.9991789961059513,-0.9376163013211539,0.9151616292762544,-0.97828372647068,-0.9999441260299733
0.26,-0.9982014693270401,0.16417538352935787,-0.1949915556272579,-0.9712102353515564,-0.9995649348952503,-0.999959987864566,-0.999959671545973,-0.9999793329619521,-0.9999734479957563,-0.9999586245689511,-0.9999415629656124,-0.9990814585434276,-0.9363902946007051,0.9160166383060907,-0.9803551184055277,-0.9999080546909511
0.27,-0.9975041373552104,0.14491807935028664,-0.1771097716702061,-0.9706735331090557,-0.9995301940583797,-0.999951150102469,-0.9999512036505781,-0.9999445471639367,-0.9999393646870562,-0.9999605314721344,-0.999984194523593,-0.9991002756022975,-0.9356190084692261,0.9173824564513332,-0.9826655911307257,-0.9999672840765639
0.28,-0.9967229320556759,0.12498649685223172,-0.15831050642888767,-0.9702501532578681,-0.9994917023511606,-0.999949010192673,-0.9999631672188866,-0.9999499195618881,-0.9999574513044273,-0.9999569692878775,-0.9999300164498307,-0.9989714016818012,-0.9351244677050945,0.9192122373722093,-0.9849174602015889,-0.9998865121982319
0.29,-0.9960917589991112,0.10480582460735835,-0.1391084171479593,-0.9700072770412812,-0.9995004977580669,-0.9999660447914691,-0.9999679917811228,-0.9999806675166941,-0.9999833144933548,-0.9999615836882815,-0.9999297919473877,-0.9989516014013758,-0.9350806929061306,0.921445245847234,-0.9873606968794155,-0.9999789181173758
0.3,-0.9954882240067437,0.08511572616250829,-0.12005386067432927,-0.969938417227212,-0.9994469321862924,-0.9999461252117158,-0.9999550999452684,-0.9999681856142281,-0.9999587769353752,-0.9999639081675017,-0.9999784394778891,-0.9989393274996228,-0.93539443765283,0.9240207241724233,-0.989572806091837,-0.9998864186782341
0.31,-0.9951190622366719,0.06632387096364298,-0.10157114709276331,-0.970042144861877,-0.9994310212946981,-0.9999405015723589,-0.9999544882086094,-0.9999428998521687,-0.9999425365281224,-0.9999533185406775,-0.9999369640509232,-0.9988462504228302,-0.9360494180982467,0.9268734823943823,-0.9918581121551814,-0.9999749625076488
0.32,-0.9948830872590386,0.04907050017328926,-0.08425539235867834,-0.9703758104288203,-0.9994458378999983,-0.9999719365437533,-0.9999668945174144,-0.9999602538532678,-0.9999697522642413,-0.9999571786503761,-0.9999230039919302,-0.9988706707425663,-0.9371511720415164,0.929933892111652,-0.9938200539507746,-0.9999076727973581
