t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.41000000000000003,-0.13946094764470013,0.8672574640363422,-0.5771997941799888,-0.1420849323654193,-0.0070771962266305,-0.00043656159342514433,-4.5916842947968384e-05,4.5920860260340035e-05,3.709284730446516e-05,-1.619305413091965e-05,-6.87298358796884e-05,-0.00012662718471523338,-0.0005318395806983567,0.0006248828775920479,-8.314899606665094e-05,-2.9349585453031235e-05
0.42,-0.14283567174700224,0.8572455009894321,-0.5581381474893341,-0.147273241230591,-0.007573789765038752,-0.0003632975154710394,5.3202853493417024e-05,4.351948485986634e-05,3.5843583911676635e-05,2.9714423805227153e-05,-4.266950207565401e-05,-0.00010788455290744459,-0.0005229126782247406,0.0006679197416595284,-0.00013081545775361914,-6.357743502383162e-05
0.43,-0.14597645018164496,0.8469616270407712,-0.539236733486574,-0.1527402308448781,-0.008231084785163711,-0.00025754917596126914,1.2079610273718622e-06,-7.07207678599664e-05,-5.280828250464609e-05,5.4507622220256735e-06,-1.207679186737698e-05,-6.86382473246705e-05,-0.0005285686935259659,0.0007113911270259232,-0.00016833227929380357,-8.553814723921693e-05
0.44,-0.14890158624941707,0.836375503591056,-0.5203226645083759,-0.15817660689229807,-0.009071781101299359,-0.00024370662930628395,-0.00014939608876124444,-0.00017849804029185234,-0.00013673505099881522,-6.406447515699965e-05,-7.5402411280345305e-06,-4.7413552086317257e-05,-0.0005668702289085559,0.0007587513549746072,-0.0001840982454556217,-8.663280582565935e-05
0.45,-0.1515757383061906,0.8254194343104005,-0.5012419612986174,-0.16323269411896296,-0.01000514319655732,-0.00035309973196989697,-0.0002483138479902336,-0.00016834084986389053,-0.00012860131123770824,-0.0001080935734839028,-3.245464326528946e-05,-7.125987602624173e-05,-0.0006321900632971222,0.00081257841391566,-0.00017611620981206055,-6.718038426545281e-05
0.46,-0.1539118165955944,0.8140251966889158,-0.4819629384066116,-0.16777022861074908,-0.01088463979761406,-0.0005037250056963427,-0.0001999309979717756,-5.187615841745208e-05,-3.754956215284988e-05,-8.296151322034762e-05,-6.178959310609855e-05,-0.00013021237764399007,-0.0006997825292275328,0.0008727380741377078,-0.00015295289069555684,-3.606069548672819e-05
0.47000000000000003,-0.15580173880852954,0.8021642594484286,-0.46260144999597747,-0.17196194083603877,-0.011620930488769055,-0.000586731077318825,-5.757455253824206e-05,4.8463166830547966e-05,4.031276428695385e-05,-1.59181968967248e-05,-6.81181977402745e-05,-0.0001826527818030721,-0.0007438179069894635,0.0009361275596649898,-0.0001307248357116375,-7.265886466933935e-06
0.48,-0.15716202796675405,0.7898702532073711,-0.4433600346368962,-0.17616352452368889,-0.012262109387662035,-0.0005697734393436682,3.273603745046483e-05,2.709435721509612e-05,2.2658905848738087e-05,2.378459974516911e-05,-4.809278886946933e-05,-0.00018958903978005814,-0.0007557404717437599,0.0009982816906109748,-0.00012671067666508717,5.705057640914557e-06
0.49,-0.157970081342103,0.7772320464247846,-0.4244267040980007,-0.18065162535008084,-0.012967636916938197,-0.0005188483966775959,-2.0073235997175587e-05,-9.469184321320157e-05,-7.270614054150082e-05,-4.0181818736217956e-06,-2.3952369826607534e-05,-0.0001495242377373418,-0.0007498126520142367,0.0010560840290630147,-0.0001516693191612739,-4.204885516889689e-06
0.5,-0.15827098013641183,0.7643598418570656,-0.40589778118507847,-0.18541974223149293,-0.013885538118976803,-0.0005261756761067438,-0.00016264567636586902,-0.00019126906801114618,-0.00014679069064138517,-7.027503886125608e-05,-2.0245562890597313e-05,-0.00010217170168103085,-0.000751857285883839,0.0011099651357299734,-0.00020442972209527843,-3.4084465721395674e-05
0.51,-0.15814973370581004,0.7513412483755302,-0.3877674024175955,-0.1901800815202926,-0.01502877419972859,-0.0006222791535512306,-0.00025402999237850166,-0.00016367606609446472,-0.000123166236539074,-0.00010771269223652791,-3.99999434989029e-05,-9.548608507631284e-05,-0.0007797901598451396,0.0011640042075618529,-0.00027194259538443344,-7.210248356842586e-05
0.52,-0.15768235795661917,0.7382097401339904,-0.3699786277603404,-0.1945682361645456,-0.01625668578743089,-0.0007565819601542678,-0.00020784491569791896,-4.171343071801559e-05,-2.7043561746098455e-05,-7.950035713333303e-05,-6.339955415612941e-05,-0.0001440813339934066,-0.000830832991107644,0.0012235506693671905,-0.0003351060132597006,-0.00010281963780045533
0.53,-0.1568913635422441,0.7249420656243517,-0.3524928405461484,-0.19839987721885088,-0.01738339655797072,-0.000855556544130387,-7.586079078003571e-05,4.7939353045145516e-05,4.171573456501765e-05,-1.5389184005565326e-05,-6.851082529302222e-05,-0.0002158288546812992,-0.0008847588355911373,0.0012917908317737203,-0.00037746346313005663,-0.00011403404792587057
0.54,-0.15572997358060425,0.7114851820079529,-0.33532787889409066,-0.20179328925207846,-0.0183271734037993,-0.0008936048790021411,7.137961088976574e-06,1.2546027818860495e-05,1.1825843748813902e-05,1.9465443792388015e-05,-5.260538034390638e-05,-0.0002587955754888016,-0.0009198797022557659,0.0013675494081779316,-0.0003925730468020694,-0.00010190959178479897
0.55,-0.15410436039420278,0.6977985081379403,-0.31854558991231924,-0.20507327000787784,-0.019177991062697797,-0.0009091731838417605,-4.197952346973732e-05,-0.00011199112873738759,-8.63748712198742e-05,-9.763851470223628e-06,-3.3666045402225286e-05,-0.0002455294624784665,-0.0009291392100558848,0.0014458732343509972,-0.00038690146049752405,-7.2403229996576e-05
0.56,-0.15192322716992646,0.6838889607166446,-0.30220853307765144,-0.20853256658658215,-0.020126898182523556,-0.000959207427692288,-0.00017480665525426708,-0.00019843915778172683,-0.00015205829787434677,-7.301494293854294e-05,-3.1695607128234826e-05,-0.00019651676974163923,-0.0009243383816370798,0.0015210654159260872,-0.0003771582619123137,-3.872387598968796e-05
0.5700000000000001,-0.14914795328662744,0.6698227602014962,-0.28634843041622515,-0.21222751710438953,-0.02131362102652412,-0.0010635591367866848,-0.0002624395180240713,-0.00015849946685142502,-0.00011738150024886984,-0.00010621281723488529,-4.893698197716567e-05,-0.00016224853596391586,-0.0009259176696326255,0.001590196641231209,-0.0003832149286091546,-1.5924986113469153e-05
0.58,-0.14581676268606658,0.6557096527115772,-0.2709737883748255,-0.21595111148922952,-0.0227149411569757,-0.0011930192388149852,-0.00022360399050846969,-3.294335052772546e-05,-1.7579291107350237e-05,-7.63689100288234e-05,-6.859377736256889e-05,-0.00017951382762337875,-0.0009467216997547379,0.0016547981458299305,-0.00041954162974261466,-1.4693418047939666e-05
0.59,-0.14202987963536284,0.6416696088066538,-0.25610850736808843,-0.21939280247701987,-0.024163172188908733,-0.0013057255189856676,-0.00010265927639829808,5.002063687498115e-05,4.4810054784960585e-05,-1.4611091556315792e-05,-7.247342461103035e-05,-0.00024048801126919095,-0.0009823495952938632,0.001719652929093013,-0.0004888804008669756,-3.680373503989198e-05
