t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15
0.5,0.26373110880701406,,1.7603292143823341,0.3241859849139769,0.18058270432402548,0.16760579660264052,0.16568823816120223,0.16493859670745073,0.1647967331149407,0.1648008264389326,0.16478785867297643,0.16477682971775623,0.16414346295687032,0.16041946093398515,0.1611128480829318,0.16479038711977273
0.51,0.3032009847233328,,2.046584561946839,0.31798583271527364,0.18662071902283567,0.181937563579439,0.18197130695589495,0.18152825129812705,0.1813683964148162,0.1813866359036139,0.1813731177469655,0.18130547489250404,0.1808047440784827,0.176432553492338,0.17702454195803186,0.1813692429695945
0.52,0.3380166529640478,,2.3031262868654836,0.30503249670762433,0.20187989141964202,0.1979874104824115,0.19649232687727364,0.19642332873125692,0.19625795331559825,0.1962324178223495,0.19623987106130206,0.1962151151909018,0.1958886379006148,0.1908422177395037,0.19122042192858207,0.19620187655991986
0.53,0.3658655984826618,,2.5229127991553186,0.2879584243078697,0.22409386051810903,0.2128845909404372,0.20921050905535304,0.20916254167965254,0.2090471803150743,0.2090110875975693,0.20900644201888594,0.20896669845637242,0.20884585682864812,0.20326319579010352,0.2035041098265007,0.20904933313985788
0.54,0.3851629511380024,,2.7000061946394855,0.26942230553755,0.24191887836004256,0.2249628754123196,0.22001021063825832,0.2194759388706201,0.21943260884858182,0.21943318722038407,0.2194264007418291,0.21936998258110466,0.21939168912416812,0.21333698514035954,0.21338004102927807,0.21938285165985408
0.55,0.3945980334047057,,2.8294497771391733,0.2520334465719279,0.2545678543961613,0.23381679942867717,0.22818451750260554,0.2272123997521783,0.22722093497416213,0.22720055036985548,0.22719444074221812,0.22714572327858093,0.22727944939057668,0.22089052470936885,0.22086248816886986,0.22718368830856397
0.56,0.39393284508671456,,2.9077669119342993,0.2422145471299131,0.2611436867088612,0.23893582733463223,0.2332660428007163,0.23207228345971007,0.23202390825940106,0.23196586215058257,0.2319601833815822,0.23190507390497683,0.2321111632511362,0.22559409530491745,0.22549873625416283,0.23197342840760551
0.5700000000000001,0.38330286701475014,,2.9325404735639733,0.23960070996584726,0.2617894856366856,0.24037414327258785,0.23523593204691706,0.23398703478674743,0.23387920740002652,0.23386340423213928,0.2338707688647316,0.23383290932488748,0.23398519147377134,0.2274492198780126,0.22740122942715166,0.23385413746435588
0.58,0.36395419768959947,,2.9031119090288118,0.24162138402560832,0.25625017043342924,0.2378869260727657,0.23388500490900924,0.23274506535741799,0.2325633554681672,0.23257856920655023,0.2325651997338655,0.23247631840942687,0.23250684123036225,0.22621294179442528,0.22629734205427085,0.23254469026790653
0.59,0.33735085413822014,,2.8199247187390957,0.23032629060448723,0.24527581499828452,0.23175957212452533,0.2293451126901297,0.2284747849775768,0.22821193385915703,0.2281909622277592,0.2281691934502119,0.2281243552569636,0.22796662233585419,0.22202369017395893,0.22229667000069364,0.22817110344880168
0.6,0.3057806371010207,,2.6852859164476732,0.23347347748656705,0.22951524620322822,0.22220034568639146,0.22151386988844313,0.22102177987215588,0.22075812963216637,0.2207309111393186,0.22074539424564515,0.22069738363211472,0.2202266305552267,0.21481683355438205,0.21541716413370915,0.22076526104915567
0.61,0.27140457507388566,,2.502577905504381,0.2439033771643799,0.2112436994520387,0.21131058340222583,0.2107478054666122,0.21069218074874624,0.21048447336044934,0.21049173526947584,0.21048488762015588,0.21038977412351315,0.2095619665838797,0.2048139314664508,0.20572450415512258,0.21043087676044442
0.62,0.23672627974133337,,2.276957067274898,0.2559455021991002,0.2074662479754669,0.2004719889619687,0.19775285051508917,0.197728994969574,0.19757433169923766,0.1975451095603419,0.1975096662598811,0.19746839462348073,0.19626344703092366,0.19219839997032928,0.19356717560323333,0.19754983787515615
0.63,0.20376540537896953,,2.0145085635324156,0.2670148728052619,0.20038096955154822,0.1869655466160551,0.18297753702648592,0.18238238880693458,0.18230384229321497,0.1822280364588385,0.1822401959479808,0.18217726796466213,0.1805341971746005,0.1772737042968439,0.1789974095958336,0.18222046335334532
0.64,0.17623265800697696,,1.7227332397522441,0.274646104955165,0.1897351296973261,0.1709991145352344,0.16621561165824908,0.16509277417656032,0.16514295781999355,0.16510129935851253,0.1651125976864477,0.165056017443532,0.16301216952539302,0.16048977718395313,0.16264511187488026,0.16511498674516817
0.65,0.1498942366977873,,1.4097899219231467,0.2762097958917021,0.175277784433053,0.15274604220714386,0.1478035956622467,0.14650519545126348,0.14645588953147556,0.14643249102244815,0.14640083001548898,0.14634156641390145,0.14396390865815406,0.14215773221843453,0.14462354617379894,0.14638729160613784
0.66,0.13962154458325904,,1.0846204742730559,0.26945615891038155,0.15726626813022962,0.13295098553282272,0.12836108918717992,0.1270864041219464,0.12690029537302672,0.12684419042483516,0.12684444215211566,0.12680296645491404,0.12411916593157801,0.12295892538038203,0.12571904922825738,0.12685937208212497
0.67,0.1179565775963834,,1.2307515578033,0.2527245566560761,0.13620134018613037,0.11199927749368974,0.10820496364851634,0.10711908645963333,0.10683292873985899,0.10679861564076552,0.10681615530999941,0.10680379774071586,0.10393308294520687,0.10326423692468727,0.10618836848656742,0.10680797395309782
0.68,0.11045331892114225,,1.5489673324677722,0.22504654065513982,0.11275634016932042,0.09071809457440382,0.088132985361681,0.08736097694689254,0.08703514163982158,0.08706183698370334,0.08703779815096006,0.08697530820822318,0.08404921497083669,0.08383827133637639,0.08680603803640823,0.08702569527683385
0.6900000000000001,0.10789263352276926,,1.8514330351488975,0.1862514489820173,0.08794259875490297,0.06979976917393313,0.06861303202998399,0.06826938646552655,0.06796216377678867,0.06795010259868807,0.0679345789131139,0.06794134322544651,0.06503247714139193,0.06508101824291694,0.06801055298009769,0.06794946247006375
0.7000000000000001,0.10926062964039354,,2.1296586173770957,0.13732057187932373,0.06296632941383953,0.05030059070419091,0.050366584285202486,0.050506777745141486,0.05024854895272358,0.050188740659421374,0.050196389098086144,0.05020623489114474,0.047446804586482254,0.047680281586760256,0.05040608807192401,0.05017887969482929
0.71,0.11358200770004614,,2.376216095396847,0.07988852321944197,0.03890700552245255,0.03615796764510217,0.03465203859192996,0.03446719769411503,0.034328633679093626,0.03427912930781559,0.03426985330311222,0.034249276378443064,0.0317575807060945,0.032092478379403926,0.034593650445349976,0.0342952559178147
0.72,0.11959865480895712,,2.584511249667341,0.05221439894697749,0.024719894003117925,0.023990677722983092,0.021490801257689388,0.02068953739272354,0.02070556398744425,0.020654225450063787,0.020644074983817148,0.0206784254807311,0.018482740449709635,0.018781974795721045,0.02089839048206101,0.020604553259342823
0.73,0.12638792140574767,,2.749161806332923,0.09972233048069079,0.021523575243576433,0.014085954733710746,0.010954082810031183,0.009801850577330837,0.009801398462543924,0.009717807701177856,0.00971658212133167,0.00973829803265731,0.007893669520390369,0.008191931413141151,0.009993059025013039,0.009755360992649448
0.74,0.1328344418736613,,2.866119577325796,0.15181944014398818,0.02018616571091454,0.006547334377088621,0.003196903632667527,0.0019981764780658616,0.0018364712037150046,0.0017637460637112453,0.0017650193461786622,0.001806258296041634,0.0003336022365193794,0.0005129204824175337,0.001900290911313185,0.0017487794899664609
0.75,0.13834260491749586,,2.93241570899414,0.20515850812192865,0.025889853421593938,0.007419379720658531,0.00425678839782514,0.0031765824825203065,0.0028988136673103993,0.002846590441065809,0.002832123232146666,0.002810856824776,0.004002884539281086,0.003910037291995801,0.002776288226788908,0.0028290920174169443
0.76,0.1421682778682057,,2.9468376826745164,0.2556820211282105,0.030502619667699016,0.008047767731905056,0.005397093047897642,0.004596640731389724,0.004209155203776055,0.004201460130832926,0.004197953854778109,0.004156959099446002,0.005139500012252288,0.005133225639376827,0.004254491156549512,0.004207314569931689
0.77,0.14417199883343393,,2.9089239133490956,0.29990756739454805,0.029725857918328033,0.004742433478577531,0.002838161359027738,0.002428364236710813,0.0020461487427268703,0.002050297045686616,0.002050278733283251,0.001980593078866031,0.0028536642328081596,0.0029769303616295185,0.0021633346717820673,0.0020179085305252055
0.78,0.14409560753448275,,2.8202657367083317,0.3343682201924286,0.031072143732579886,0.004782382426994402,0.0037430943360030914,0.0037783891135070562,0.0034484480244935797,0.0034162062884665143,0.0034255146200656626,0.003422088281157415,0.0024533332087315813,0.002272716135971102,0.0031592729696305597,0.0034055356737224406
0.79,0.14230311909336046,,2.6828885264234135,0.35649228845974484,0.03778748595280197,0.01219481759183751,0.012281854631278694,0.012345231529138585,0.01216827693479672,0.012104213903229931,0.012096607712608228,0.012148552112114543,0.010917827774435044,0.010582102782482854,0.01171603591113795,0.01207724225098184
0.8,0.13907091366459406,,2.5009089108989153,0.3643969771200341,0.04603879198349752,0.02493090479744901,0.02436495381169029,0.02376942799232864,0.023756664679330467,0.023662210095122885,0.023626036595693505,0.023667980071373693,0.022011530525930228,0.021547270089901933,0.023173018741272946,0.023679508792865372
0.81,0.13524844674011238,,2.278736907083613,0.3570876985460451,0.056032948758107645,0.0400651036214206,0.038973779751451935,0.0378966140701009,0.0379420364211826,0.03784674783054925,0.037856034031740905,0.03785858314493472,0.03554084644569778,0.03487728226364522,0.03711366481332757,0.03781399914586018
0.8200000000000001,0.13160232369761238,,2.0225609627499996,0.3350145727323548,0.067660998426493,0.05690995775515404,0.0555669655156393,0.05443442611590343,0.0543089996511665,0.05421309405659257,0.05422957727000721,0.05425585529882824,0.05111733864466913,0.05015477956316402,0.05328026717025328,0.05424038625417083
0.8300000000000001,0.12931921660167536,,1.73890477835318,0.29900525195975514,0.08073550244428876,0.07496024883176766,0.0736226344216005,0.07259188648365707,0.07231836094838247,0.07223287553473935,0.07220515951062789,0.07220741842637761,0.06813891400744476,0.06687501383723124,0.07090641028497377,0.07220676567762822
0.84,0.1294395792273003,,1.4354339884408,0.251728359372584,0.0951478796698763,0.09383874004473071,0.09275211460923814,0.09196193983710177,0.09153428592980578,0.0915070405029507,0.09150349057924394,0.09152484949424412,0.08637621105964122,0.08463607984017023,0.08980172944548308,0.09152818812759322
0.85,0.1331393207650403,,1.1202243044255091,0.19590915165596082,0.11248866891690672,0.11284116237623791,0.11221587602777229,0.11181920531564579,0.11129350156709668,0.11131499705104224,0.11132741320561847,0.11129270227567599,0.1050270303954869,0.10279227460720194,0.10903750844512874,0.11127525394883213
0.86,0.14388238266602985,,1.137065293748798,0.18737848747070204,0.13659899504039458,0.13174645436213062,0.1316255841489776,0.1316952075929721,0.13127643739591138,0.13123025906847316,0.13119657962264783,0.13118556009906165,0.12383751806880962,0.12100814751308665,0.1284124073179982,0.13123359210118848
0.87,0.1546287982546931,,1.4508209124669456,0.2871243543687387,0.15971361006478257,0.15106507608935946,0.1506537551811933,0.15089055027768702,0.1506377699570061,0.15055987845512742,0.1505333048761974,0.15053898989285086,0.14212575540477196,0.13862913840756472,0.14708003897937003,0.15053681901410595
