t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.2,0.5836794643716507,,1.5570843296600458,0.485640164827318,0.29176135662638114,0.253327174644034,0.252620853371095,0.252503578585451,0.252300623841359,0.2335967081555217,0.2151449922422969,0.23438388454618211,0.2523317633228057,0.2524906141876542,0.2524958212580945
0.21,0.6054075415858446,,1.7159433286968564,0.4695255037755044,0.31254346908409825,0.2710567053478988,0.26978740770630055,0.26966035101827834,0.2694011483880981,0.24752593605295617,0.22599345635989085,0.2485565781283839,0.2694396771486688,0.26964564817537995,0.26965411478898343
0.22,0.6223534381810657,,1.8665409950865781,0.44631962258316965,0.3318070442682045,0.2882767075924102,0.28633270765359115,0.2862051555369789,0.2858817677677294,0.2605790409183928,0.2357293591983499,0.2619086448395806,0.2859405919505164,0.2861901920209661,0.28619767594346457
0.23,0.6343087855708248,,2.007603082421607,0.41646335354569664,0.3491441593859436,0.3048093169013543,0.30208911808483263,0.3019735603062767,0.3015734413444129,0.27260677501094355,0.24423022895722296,0.27429877551447795,0.30166659818011793,0.3019619122255676,0.3019653787302401
0.24,0.6411555788380361,,2.1379028477948374,0.3806244094069145,0.36419441154725557,0.32048533536662765,0.316909739953834,0.31682073439879893,0.31632668068021536,0.28348384698428203,0.2514020312095649,0.28560505943536346,0.3164606420907565,0.3168156251729346,0.31681679174706906
0.25,0.6429006571393693,,2.2562964198918545,0.4020966743687745,0.3766675675037971,0.33515325245519056,0.3306764093201315,0.3306294179170199,0.33002185207675266,0.29311934113536303,0.2571856385001894,0.29573674437102093,0.33019555140454915,0.33062733577614045,0.3306312076732916
0.26,0.6397122582168644,,2.3617845294033395,0.47655096009587666,0.38630736685132244,0.348645017337863,0.34327005342022676,0.34327331711043174,0.34253344991135865,0.30142519829763886,0.2615280985403773,0.3046061053932306,0.3427472491300408,0.34326332491285094,0.3432729801983796
0.27,0.6318952030195519,,2.4534903093187515,0.5514371110871401,0.3928791992740414,0.36076892302085345,0.35464702842845064,0.35460709705464943,0.3537189682695752,0.30830549107006394,0.26437613391489917,0.3121206086625696,0.35398320179985154,0.3545805487038597,0.35459367812850356
0.28,0.6198384499460947,,2.530592253456559,0.6253460078037485,0.39621701091280187,0.3713485675288216,0.3646359205955367,0.3645025975878991,0.3634524251484629,0.3136849213606665,0.2657034357589929,0.31820955823955654,0.3637869795980076,0.36446346337028174,0.36447458239121816
0.29,0.6040088712231388,,2.592347794196872,0.6968476177967244,0.3962605764025466,0.380240025863843,0.3731123818690061,0.3728639632133371,0.3716386460332371,0.31751986531236853,0.26551899505379883,0.32282933500261235,0.3720635723538408,0.3728262487692607,0.3728324650153677
0.3,0.5849788198096227,,2.6381912447482905,0.7644962333991343,0.3930399429909838,0.38730318235504396,0.37998024953653575,0.37959815762270693,0.3781835429460404,0.31977265870061444,0.26384275156344267,0.32593585783790646,0.3787119683272769,0.37957193115222276,0.379576192802726
0.31,0.5634115230959328,,2.667750865431286,0.8268522294996776,0.38665572233007894,0.3923911637849994,0.3851343225109541,0.38460433451062065,0.38298566527808237,0.3204029216326914,0.2606971738131848,0.32748177815926843,0.3836258934260032,0.38458727404345944,0.3845954573332198
0.32,0.539996664969566,,2.680763011355249,0.8825432808062983,0.4010385103792529,0.3953845676542719,0.38849447860392944,0.3878072961643051,0.3859712102424022,0.3193968308309909,0.256129943944813,0.32745035661839234,0.3867353464801981,0.38779270173894353,0.3878074466961725
0.33,0.5154101200901283,,2.677040407872211,0.9303085394313818,0.4161615153066534,0.3962095118251544,0.390021014802586,0.38917247762443746,0.38710941564784984,0.31678105093082126,0.250222243851045,0.3258642971342856,0.3880175672385807,0.3891633598336638,0.3891811322306789
0.34,0.4903264988390477,,2.656557590720737,0.9690014441379359,0.4299619249558865,0.3948111044770712,0.38968263446406737,0.3886741190260206,0.3863795350219269,0.31259571460196,0.24306598629838905,0.322751008024318,0.38745357873544023,0.38868420567351186,0.3886988212975478
0.35000000000000003,0.46542184359299016,,2.619513794067661,0.9976082667411139,0.44198763806846575,0.3911427847507675,0.3874395684943644,0.386278936008733,0.38375242251204855,0.30687694859028336,0.23475265962311925,0.3181266569486527,0.38500557367698457,0.38631821526325616,0.3863272203202644
0.36,0.4413244501258022,,2.5662775178748505,1.0153096760145521,0.4517785712020542,0.3852024739019213,0.38327544882125003,0.3820070090717285,0.37922169491568636,0.2996793604002073,0.22539215310703054,0.31202665877348357,0.38065578803595507,0.3820421889242479,0.3820493961745497
0.37,0.4185652272932176,,2.497319929442796,1.0215249190752,0.458911578255634,0.37705382544568267,0.3772176537822486,0.37587880392784284,0.37282518823536115,0.2910928755224592,0.21512168180186608,0.3045255171643151,0.3744397590218943,0.3758866021040469,0.3758980628922593
0.38,0.3975818369844644,,2.413246594798221,1.015900526784435,0.4629902366598008,0.3691589593037984,0.36930779697363647,0.3679435797061927,0.36461767470225787,0.2812208434426593,0.20408458564718476,0.2957124886478577,0.36642195705705727,0.36791660544854204,0.367934209318631
