t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.45,0.25772840625018245,,1.8042212286548032,0.2057755275919692,0.06865605005401391,0.03697765553364442,0.03202311492190235,0.029596637124941094,0.02861501076289431,0.02361348178639726,0.016985993875749218,0.02324003582807806,0.027802195540032625,0.027969414022548385,0.035441914834494326
0.46,0.2621521655627376,,1.7667612810898525,0.20674635752590448,0.07184633795424444,0.038751861815905675,0.033813530660189335,0.03118649691551221,0.030069915675185965,0.024560468849135528,0.017172978540858953,0.024143231041814317,0.02916199182889273,0.0293603629967284,0.037541823516463624
0.47000000000000003,0.26628490583727205,,1.7296628623867853,0.20738494195563545,0.07496732373326898,0.04049272176601335,0.035601959645733434,0.032769468057091,0.03150556645433816,0.025460336451206083,0.01725566623131563,0.024996421433671645,0.030496465367775956,0.030730088960542447,0.03964635193587649
0.48,0.2701238026184298,,1.692976293115266,0.20770012218668044,0.07800565085472488,0.04219345918520366,0.037382764149067216,0.03434082128398204,0.03291686072140458,0.026308812683904174,0.017228472106772492,0.025795369822381526,0.03180064162174143,0.0320738816629703,0.041747346960607036
0.49,0.2736672637599896,,1.6567508973176297,0.20848106731790245,0.08094876358209808,0.04384764112445806,0.03915048538790776,0.03589605977938691,0.034299056176898636,0.027102244652593477,0.017086617238472154,0.026536487312522526,0.03306998148905365,0.033387438245919776,0.043836610218700285
0.5,0.2769145375511373,,1.6210357033043827,0.2093560380430004,0.08378455118378689,0.045449491088479316,0.040900086577258105,0.03743111213266933,0.03564760657903227,0.027837370317432577,0.016826238337207672,0.027216616646390825,0.034300203332515974,0.034666738675039166,0.045905833999165424
0.51,0.27986608738194685,,1.585878453704154,0.21004659729308622,0.08650196735529861,0.04699364887550944,0.04262679427082712,0.038942211126957844,0.03696586627194175,0.028511648867015207,0.016444385011376593,0.02783334253125557,0.03548754209039353,0.03590823940971889,0.04794669321607234
0.52,0.2825236792989365,,1.551325493543627,0.21056823530612054,0.08909130462019663,0.048475128026279755,0.04432610654256798,0.04042593076879751,0.03824568128266164,0.029123327316840853,0.015939099621502275,0.02838502781708702,0.03662874789910567,0.0371088910743179,0.04995109162781872
0.53,0.284889780754986,,1.5174225090155073,0.21093655618295826,0.0915434767829035,0.0499935337482505,0.045993916359198916,0.04187915443046761,0.03948352862322623,0.029671287533859444,0.015309372869610755,0.02887074195288515,0.03772111979099009,0.03826613608074067,0.051910857900637666
0.54,0.286967868636531,,1.484214017250991,0.2111675281848217,0.0938505252085466,0.05189691631716046,0.04762650420066154,0.04329912935029541,0.0406769455879593,0.030155139423125636,0.014555201601517187,0.02929041472339021,0.03876252977769245,0.03937770533403869,0.05381795356650172
0.55,0.28876255746640406,,1.4517433809799027,0.21127754267761362,0.09600589107784037,0.05376429506774702,0.04922072217634637,0.04468371594592988,0.04182423665697343,0.03057507725322297,0.013677745363681468,0.02964454857278461,0.03975123243850316,0.0404421475972606,0.055664706723081554
0.56,0.290279287235645,,1.4200528366043963,0.21128295380897313,0.09800413156047329,0.05559147478916182,0.05077380405430536,0.046031087662464734,0.04292410556365763,0.030932083331287358,0.012679178379051973,0.02993432949009073,0.040686104973229616,0.041458333754517455,0.05744375236898448
0.5700000000000001,0.29152433512847786,,1.3891832308505976,0.21120000650750925,0.09984103005248555,0.05737463663288714,0.0522833840258282,0.04733975984645743,0.04397569792196084,0.031227922070266166,0.01156270206412376,0.030161754340327685,0.04156661303910207,0.04242559108731985,0.05914772086274072
0.58,0.2925048607751113,,1.3591741947280493,0.21104476201725714,0.10151357049164976,0.059110447953391966,0.053747681060094366,0.0486087574573589,0.04497876662913665,0.031464892904963356,0.010332555602208011,0.03032951776116217,0.042392750203519666,0.043343804621851764,0.0607697467811623
0.59,0.29322890803430135,,1.3300639968237833,0.21083303920606034,0.10302006231715949,0.06079600533414747,0.055165374408434595,0.049837493672494196,0.045933552975284765,0.03164597099523215,0.008993968235455145,0.030441031920940678,0.043165095296132966,0.04421337715773269,0.062303375173152674
0.6,0.29370523540724686,,1.3018893412825001,0.2105801785169892,0.10436006129609321,0.06242887646279081,0.056535644396528514,0.051025820042373556,0.04684085445525496,0.03177475674327122,0.007553168165276481,0.03050028827901548,0.0438846660367136,0.0450350665559406,0.06374241621298427
0.61,0.293943279880103,,1.2746857747591422,0.21030089653953615,0.10553427474158229,0.0640070681178368,0.05785808687230652,0.05217387824686893,0.04770183218248371,0.031855484434523386,0.006017304576934522,0.030512054812565234,0.0445530672282831,0.045810131134724534,0.06508115983892324
0.62,0.2939531679687083,,1.2484875204332937,0.2100092448057141,0.10654460386759039,0.06552904450073932,0.05913272572239626,0.053282126262871696,0.04851804437275684,0.03189296449810848,0.0043944168711181515,0.03048174567841358,0.045172425687637185,0.046540259771096944,0.06631435714000894
0.63,0.29374575628987865,,1.2233269848848527,0.20971859397972498,0.10739413539590847,0.06699378851563945,0.06036015255256222,0.05435150921312761,0.0492916460340654,0.03189231944750868,0.002693317598501311,0.030414914352898392,0.04574522574734393,0.047227484248222255,0.0674372716056714
0.64,0.2933325015827483,,1.19923507022857,0.20944146817372813,0.10808706518769212,0.06840074326451676,0.061541366769235696,0.05538326858661429,0.05002516287791618,0.03185914743442203,0.0009235806806749841,0.030317815912203883,0.046274382906392485,0.04787417497206396,0.06844563823753295
