t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.34,-0.9998563331063315,0.07211518115475812,-0.07459006144222777,-0.9976674940230651,-0.9999971897627117,-0.9999989663118998,-0.9999992305838314,-0.9999602712486451,-0.9983125699251717,-0.9598602445296391,0.9529937145883014,-0.9948604045018844,-0.9999946774189142,-0.9999986975734367,-0.9999992657137013
0.35000000000000003,-0.9996020309204636,0.056062012002815305,-0.05820053878011896,-0.9982588682152161,-0.9999975543835501,-0.9999988652827051,-0.9999984021877286,-0.9999552262112454,-0.9982622679796044,-0.9625964428058246,0.9539606383739578,-0.993148819563869,-0.9999949439720451,-0.9999986947262695,-0.9999992951469898
0.36,-0.9993779221779887,0.03631143318774245,-0.03809537305705377,-0.9988385513721355,-0.9999971526777006,-0.9999989061932308,-0.9999990065566605,-0.9999491730629964,-0.9982186070369439,-0.9654810218813321,0.9550219017467855,-0.9913736182876541,-0.9999952989881692,-0.999998752058853,-0.9999993221538764
0.37,-0.9993083098792065,0.01743065023240119,-0.018773671041262218,-0.9993497622334617,-0.99999764331116,-0.9999991322957728,-0.9999985525198011,-0.9999437125962073,-0.99818513649147,-0.9684706631759757,0.9562195809058406,-0.9896201123848496,-0.9999954272830105,-0.9999988326738342,-0.9999993455663219
0.38,-0.9994286002151511,0.0037369818962294694,-0.004571771378776564,-0.9997369107309123,-0.9999972081153671,-0.9999985121330317,-0.999998684735887,-0.9999367321094582,-0.9981607260720057,-0.971523580203567,0.9575937042756452,-0.9879728362945666,-0.9999951021901965,-0.9999988513880378,-0.9999993641720841
0.39,-0.999671081777905,-0.0016914951190947765,0.0013192498503750117,-0.999955248927049,-0.9999972846005688,-0.9999994010889599,-0.9999987381615703,-0.9999304527151919,-0.998146337730912,-0.9745934208340498,0.9591791270821591,-0.9865113307958833,-0.9999942767870135,-0.9999987749346855,-0.9999993770592054
0.4,-0.9999038514553622,0.0023039454417596254,-0.0024177478039526068,-0.9999809850532309,-0.9999969890006652,-0.9999985174739264,-0.999998360485271,-0.9999229970129919,-0.9981385709318202,-0.9776360856022636,0.9610023299059673,-0.9853060866503897,-0.9999930204026429,-0.999998676479713,-0.9999993838234786
0.41000000000000003,-0.9999996646214951,0.014731486193697676,-0.014919431393702475,-0.9998125208260703,-0.9999974614492857,-0.9999991019686089,-0.9999988582511781,-0.9999156706937785,-0.998141220210561,-0.9806117200515773,0.9630784753527586,-0.9844150360712318,-0.9999914082049229,-0.9999986743003197,-0.999999384462865
0.42,-0.9999029998097185,0.03270899718302594,-0.03333628035815603,-0.9994702729142158,-0.9999972907274711,-0.9999989031143504,-0.999998134670237,-0.9999079905165287,-0.9981508313796762,-0.9834775928320076,0.9654092110483042,-0.9838808629678625,-0.9999895167840848,-0.9999988059966973,-0.9999993791236227
0.43,-0.9996634200690502,0.052144962157305796,-0.05348733960095138,-0.9989948561201926,-0.9999952753443241,-0.9999988388683819,-0.9999988353096181,-0.9998996903286006,-0.9981655902588064,-0.9861940178226545,0.9679809975351895,-0.9837291544745085,-0.9999875420945308,-0.9999989674555863,-0.9999993678538397
0.44,-0.999413381777929,0.06866988665977619,-0.07082160801832599,-0.9984368967735076,-0.9999950468637108,-0.9999988747842002,-0.9999980638140341,-0.9998918060525328,-0.9981878641105568,-0.9887273480910648,0.9707639563345698,-0.9839672497997335,-0.9999858930951682,-0.9999989923244139,-0.9999993506531581
0.45,-0.99929547742605,0.07859621081734751,-0.08145586839378277,-0.9978489091091124,-0.9999928313789161,-0.9999990728109411,-0.9999986530712471,-0.9998828309162923,-0.9982136105471691,-0.9910426154393441,0.9737119724783669,-0.9845837223527124,-0.9999850963613393,-0.9999988093815237,-0.9999993277569807
0.46,-0.9993782794724176,0.0797033545778154,-0.08304735503141752,-0.9972839673969883,-0.9999914922031768,-0.9999985867014898,-0.9999981358029599,-0.9998746647262521,-0.9982418147225489,-0.9931084137652882,0.976763698999971,-0.9855486485859553,-0.9999855164255629,-0.9999985299908081,-0.9999992998344251
0.47000000000000003,-0.9996140778166862,0.07170877097830287,-0.07531032072193383,-0.9967921368866919,-0.9999908691906877,-0.9999992108238082,-0.9999983640387633,-0.9998653273985625,-0.9982721546022557,-0.994900696130644,0.9798442363442665,-0.986814922370805,-0.9999871045795314,-0.999998371643171,-0.9999992679079266
0.48,-0.9998674895123946,0.05634593896229184,-0.06006801129063006,-0.9964179596043768,-0.9999893759733489,-0.9999986317049865,-0.9999982782516311,-0.9998569005939999,-0.9983031152337116,-0.9963958692692412,0.9828678646151636,-0.9883207118515448,-0.999989401030893,-0.9999984702880321,-0.9999992330230286
0.49,-0.9999962319003483,0.037022078749255546,-0.04083140806665735,-0.9962015460367927,-0.9999883701799902,-0.9999990702916468,-0.9999980657836711,-0.9998473494692947,-0.9983311097122266,-0.9975744609747593,0.9857415917864176,-0.9899927878011715,-0.9999917998463652,-0.9999987434379913,-0.9999991959064731
0.5,-0.9999319810404965,0.018094203758377066,-0.02199768917103243,-0.9961724193604715,-0.9999884733551547,-0.9999987135700984,-0.9999983962110925,-0.999838867809666,-0.9983572989690578,-0.9984250648345685,0.9883689968597998,-0.9917502444675906,-0.9999938695249655,-0.9999989367641583,-0.9999991569305259
0.51,-0.9997143433391691,0.003893352071156843,-0.007846992646947538,-0.9963398716747309,-0.9999897340867431,-0.999999150111096,-0.9999978547308417,-0.999829095099395,-0.9983791386734387,-0.9989382728157,0.9906543307161108,-0.9935082646802915,-0.9999954972871947,-0.999998833313297,-0.9999991164597803
0.52,-0.9994645537003645,-0.0022822974539563885,-0.0015687184748726863,-0.9966906800242059,-0.9999902762732311,-0.9999985376135091,-0.9999984205828928,-0.9998208487585368,-0.9983943748864091,-0.9991090019513804,0.9925070199333519,-0.9951818705597111,-0.9999967834478266,-0.9999984537393001,-0.999999075270932
0.53,-0.9993189644541274,0.0010442573659574185,-0.004541188521808498,-0.9971889038888568,-0.9999925961673709,-0.999999310283057,-0.9999977820132541,-0.999810837809109,-0.9984028701432293,-0.9989399898327384,0.9938458418660373,-0.9966898106544472,-0.9999978195274138,-0.9999980654369788,-0.9999990347472965
0.54,-0.9993575605311397,0.013156352498808596,-0.016024302815565522,-0.997778188904728,-0.9999934525819325,-0.999998577224946,-0.9999983379080506,-0.9998030124328746,-0.9984039974718157,-0.9984368400322648,0.994602709534527,-0.9979586444644176,-0.9999985657948623,-0.999997971661751,-0.9999989966334256
0.55,-0.9995610061779192,0.03128213405156295,-0.033330489261325105,-0.9983931129663826,-0.9999944757617643,-0.9999990906125616,-0.999997837308821,-0.9997928866606309,-0.9983944800923834,-0.9976092768472772,0.9947262566308172,-0.9989267500667545,-0.9999989221455075,-0.9999982473073057,-0.9999989625250137
0.56,-0.9998179517153101,0.051221222079771214,-0.052434697977675256,-0.9989700444906376,-0.9999963586925006,-0.9999989088106718,-0.999998187027626,-0.9997854290244051,-0.9983763143022399,-0.9964737120332904,0.9941847221209278,-0.9995477128264151,-0.9999988887132689,-0.9999986529398215,-0.9999989334627749
0.5700000000000001,-0.9999833646812649,0.06832773427345716,-0.06889257645561818,-0.9994519347439812,-0.9999970458086526,-0.9999988663970216,-0.999997963786389,-0.9997754945738504,-0.998346945469856,-0.9950495486929652,0.9929678797350452,-0.999792608028754,-0.9999986319675306,-0.999998820713765,-0.9999989099611533
0.58,-0.9999607010117931,0.07862200758050611,-0.07886534068239068,-0.9997947119607993,-0.9999978961676391,-0.9999989222373348,-0.9999980339041793,-0.9997681305787433,-0.9983071145522973,-0.9933598082255932,0.9910881365196424,-0.9996510550565055,-0.9999983674641731,-0.9999985689933343,-0.9999988923419683
0.59,-0.9997607116334766,0.07974540813003222,-0.08001296800929583,-0.9999705954501263,-0.9999972430987983,-0.9999990846781343,-0.9999980884247561,-0.999758777499457,-0.9982559900606018,-0.9914322287359056,0.988580728282119,-0.999131300714577,-0.9999981565974607,-0.9999980742599914,-0.9999988811545036
0.6,-0.9994976926532589,0.0715033899291894,-0.07204105623730936,-0.9999641387017806,-0.9999977616444141,-0.9999986049042093,-0.999997940569669,-0.9997511749031105,-0.9981942340665063,-0.9892968423392895,0.9855026510035694,-0.9982596680298119,-0.9999978176216306,-0.9999977373498219,-0.9999988772339252
