t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.33,-0.7942418707900538,-0.015231408267357563,-0.023528324120726224,-0.6382443566666349,-0.644420744020278,-0.6455135829566099,-0.645915980660936,-0.6458078567099559,-0.6448200797968086,-0.6339022740516436,0.6237569212522905,-0.6331865693591449,-0.6428009317177972,-0.6425197169895664,-0.7997158345236246
0.34,-0.7822860117598563,-0.017128294646699096,-0.025798424521248385,-0.620208142051991,-0.6270352825825329,-0.6282459393355273,-0.6286885698799671,-0.628568489718022,-0.6274650326359361,-0.6154157619610746,0.6042288510231236,-0.6146303447298523,-0.6252484829448295,-0.6249606812812376,-0.7883662508316165
0.35000000000000003,-0.7700497722929095,-0.019158042212326438,-0.028197286626656628,-0.6020789166394045,-0.6095952506905189,-0.6109311408531377,-0.6114160465746639,-0.6112831501632033,-0.610055326175827,-0.5968108777845362,0.5845251202837306,-0.5959525850969193,-0.6076323655019162,-0.6073414273907756,-0.7767778284546505
0.36,-0.7575387236034306,-0.021321557505105386,-0.030724783098248484,-0.5838860521939179,-0.5921297207821179,-0.5935982789135268,-0.5941274452111064,-0.5939808402462975,-0.5926197641845916,-0.5781173981297598,0.5646765001232285,-0.5771832344398558,-0.5899818634613946,-0.5896917926980434,-0.7649568651552449
0.37,-0.7447584142783272,-0.023619213497218124,-0.03338028923818305,-0.5656586002269663,-0.5746672793024368,-0.5762759186954521,-0.5768512629404655,-0.5766900261606455,-0.5751866662853765,-0.5593648781173769,0.5447137892811753,-0.5583520369793015,-0.572325843535699,-0.5720411856814643,-0.75290955484686
0.38,-0.7317144545569764,-0.026050831463756124,-0.03616265129258621,-0.5474253392789539,-0.5572360477895884,-0.5589921298175743,-0.5596154911242841,-0.5594386673358857,-0.5577838745049299,-0.5405827406159722,0.5246679552219936,-0.5394886271298005,-0.5546927628131945,-0.5544186244415945,-0.7406420404835943
0.39,-0.718412443027091,-0.02861570116381346,-0.039070206866587805,-0.5292146368726661,-0.5398635650575612,-0.5417743696698374,-0.5424474990862655,-0.5422541017319661,-0.5404386356699529,-0.5218001146417842,0.5045699344099139,-0.5206223645552756,-0.5371105442838564,-0.5368526136199799,-0.7281603590729318
0.4,-0.7048580242643538,-0.03131253984735217,-0.042100774298399715,-0.5110545208389251,-0.5225768190954343,-0.5246495079530902,-0.5253740599159744,-0.5251630682188065,-0.5231776485544651,-0.5030459464686222,0.48445075610770477,-0.5017824496821938,-0.5196066281735351,-0.5193711639019442,-0.7154704748763614
0.41000000000000003,-0.6910569327383925,-0.034139501993139816,-0.04525165566568528,-0.4929726711457068,-0.5054022689746576,-0.5076438533300401,-0.5084213779644144,-0.5081917347466718,-0.5060270814190493,-0.4843489621284483,0.4643414753398162,-0.48299788158988677,-0.5022079816174942,-0.502001812750523,-0.7025783357996529
0.42,-0.6770148939869366,-0.03709420316790658,-0.04851965470052218,-0.47499628250407605,-0.48836570828696196,-0.49078301112619505,-0.491614945568692,-0.4913655594373425,-0.48901244034359187,-0.46573751476373404,0.44427304992445615,-0.464297302822815,-0.48494096046882906,-0.4847714763243492,-0.6894897690501024
