t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.24,-1.0877258295460823e-16,-5.3261431723350405e-17,-5.3261431723350405e-17,-2.5505856107721492e-17,4.388308293135079e-17,-4.632253781944318e-17,-4.632253781944318e-17,-2.8975303059675106e-17,-5.3261431723350405e-17,-4.5455176081454773e-17,8.321251673826247e-18,-3.287843088062292e-17,-4.447939412621782e-17,-3.8624702394796095e-17,-4.025100565352435e-17
0.25,-7.670730370334944e-18,-6.318188160159277e-17,-6.318188160159277e-17,4.7840420860922883e-17,-3.542630598596386e-17,-3.542630598596386e-17,-8.052911636136084e-17,-4.9304093793778314e-17,-5.4508264221708735e-17,-5.884507291165075e-17,-5.936006894358137e-18,-3.802839119992907e-17,-4.897883314203266e-17,-4.106415728288848e-17,-4.1714678586379783e-17
0.26,-2.00712927181379e-16,-2.00712927181379e-16,-2.00712927181379e-16,-1.4520177595012118e-16,-6.193504910323444e-17,-5.499615519932721e-17,-2.72405795836983e-17,-5.846560215128083e-17,-4.458781434346637e-17,-4.5455176081454773e-17,2.2497195079074217e-18,-3.8516282177547545e-17,-4.7840420860922883e-17,-3.99257450017787e-17,-4.1823098803628334e-17
0.27,-1.6363321288237476e-16,-1.0812206165111693e-16,-1.0812206165111693e-16,-5.26109104198591e-17,2.9002408113987244e-18,-3.8733122612044646e-17,-2.1385887852276575e-17,-8.036648603548802e-17,-3.3528952184114225e-17,-4.220256956399826e-17,-4.9060148304969076e-18,-3.764892043955914e-17,-5.0984607161130846e-17,-4.2582040324368187e-17,-4.534675586420622e-17
0.28,-2.72405795836983e-17,2.827057164755953e-17,2.827057164755953e-17,-1.6601845766184287e-16,-2.72405795836983e-17,-8.275173081495613e-17,-4.1118367391512756e-17,-6.887394300714167e-17,-5.3261431723350405e-17,-5.15267082473736e-17,8.321251673826247e-18,-3.699839913606784e-17,-4.8599362381662736e-17,-4.2256779672622535e-17,-4.344940206235659e-17
0.29,-2.229932818259561e-16,5.456247433033301e-17,5.456247433033301e-17,-5.645982813218264e-17,-2.870425251655373e-17,-2.870425251655373e-17,-3.564314642046096e-17,-4.60514872763218e-17,-5.992927508413626e-17,-5.732718987017105e-17,-4.851804721872632e-18,-3.4775784682472555e-17,-5.038829596626382e-17,-4.2473620107119636e-17,-4.6214117602194626e-17
0.3,-2.389581588158052e-16,-1.691355389077387e-17,-7.24247051220317e-17,-1.691355389077387e-17,-4.466912950640278e-17,-7.24247051220317e-17,-5.160802341031001e-17,-5.5077470362263625e-17,-4.119968255444917e-17,-4.2934406030425976e-17,1.3010426069826053e-18,-3.491130995403324e-17,-5.377642775528102e-17,-4.412702842016003e-17,-4.537386091851836e-17
0.31,-1.1042599126764863e-16,5.963111948670274e-19,5.963111948670274e-19,-1.1042599126764863e-16,-2.7159264420761886e-17,-5.49148400363908e-17,-7.573152174811248e-17,-2.0220370516854658e-17,-4.103705222857634e-17,-4.450649918052996e-17,-3.3068166260807885e-18,-3.973600962159374e-17,-5.1662233518934286e-17,-4.33138767907959e-17,-4.632253781944318e-17
0.32,-3.9698062545556745e-16,-1.1942486929927831e-16,-8.40256683676266e-18,-9.16692936836494e-17,-6.391371806802049e-17,-7.779150587583494e-17,-1.5341460740669888e-17,-4.6566483308252415e-17,-3.962758940434519e-17,-4.830120678422922e-17,-2.3310346708438345e-18,-3.594130201789447e-17,-5.1553813301685736e-17,-4.591596200476111e-17,-4.938540895671473e-17
0.33,2.802662615875029e-17,1.3904892862126594e-16,1.3904892862126594e-16,-2.7484525072507537e-17,-2.7484525072507537e-17,-1.360673726469308e-17,-3.198396408832238e-18,-3.095397202446115e-17,-2.054563116860031e-17,-3.615814245239157e-17,-4.065758146820642e-18,-2.9219248548484344e-17,-4.6783323742749516e-17,-4.4289658746032856e-17,-4.721700461174372e-17
