t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.17,0.005442745017006249,0.0,0.997981206311025,0.026338513247809916,0.0013909721225037405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.015527226099506181,0.0,0.9970509161501634,0.01728068580039085,0.001326040579079988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.022908193072737282,0.0,0.9963039932195659,0.007906347205949606,0.0015765781371846039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02645927004286398,0.0,0.99617873346529,0.0011443367741323558,0.0010444654722005773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.02616630984509477,0.0,0.9967536119358243,0.010875775444691389,0.001324531587705595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.022191491102810202,0.0,0.9976837027616654,0.020579109419830457,0.0013532899737393825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.015155207633904579,0.0,0.9984578257173252,0.02931950144117871,0.0015715898740956565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.005340800578524563,0.0,0.9987405434111121,0.03736391644337198,0.001292267590327173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0033703006494607774,0.0,0.9985523565226978,0.04486389234712666,0.0016569655549712864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.012731921342608275,0.0,0.9981457959480233,0.05098079257633409,0.0015313548594768711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.02054903406634045,0.0,0.9977273790394807,0.0558130492513707,0.0010830257213398351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.025333460774745,0.0,0.9972594822598545,0.059841201988896094,0.001489256027502482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.026021085183511376,0.0,0.996578702286834,0.06201318315274157,0.0008618836183732715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.023093198640529607,0.0,0.995688697756664,0.062465431410051925,0.0007567297361189059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.01685743367694195,0.0,0.9948021076736792,0.06169750267574115,0.0005285294170579778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.008059189596712887,0.0,0.9942971536648505,0.05912581679828051,0.0006299021065223172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
