t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.2,-0.003060991997507391,0.9999981631935057,-0.8497236579494541,-0.002846237369698134,-1.6311691061684412e-05,6.492343194026084e-05,8.845882046434428e-05,0.00010031144480499542,0.00010637125056627244,5.499400688437268e-05,2.470092155947663e-06,5.7757130547204634e-05,0.00011383679050279124,0.00011480495467059175,6.043165471648557e-05
0.21,-0.003650970345395366,0.9999966732501261,-0.835367960252691,-0.00336191251684933,3.082652607177671e-07,9.853364600007812e-05,0.00012560683735647073,0.00013893672346905537,0.00014538913141869006,7.50256766688202e-05,3.623774410363651e-06,7.748290782612138e-05,0.00015242604895187206,0.00015348587077458685,8.11702069572276e-05
0.22,-0.004311244813218719,0.9999943693711331,-0.8205110158502187,-0.003929264043325666,2.468317028117995e-05,0.00014230617326134714,0.00017304592299433475,0.0001877924187525951,0.00019445175395090648,0.0001002334964655099,5.215486582714262e-06,0.00010210583274018357,0.0002004702347712991,0.0002016408641009981,0.00010718676360355495
0.23,-0.005044228299021958,0.9999909513070159,-0.8051785008433062,-0.004547672363215001,5.846084555099357e-05,0.0001980611561204857,0.00023253064347005968,0.00024857416528724016,0.0002551902301596168,0.00013147175074079438,7.384882756130383e-06,0.00013241313651697183,0.00025945333251196825,0.0002607705096866744,0.00013939629465663022
0.24,-0.005851794240810603,0.9999860472919757,-0.7893967224719473,-0.005215772144336266,0.0001034333960725992,0.00026775426655400135,0.0003059406325663103,0.0003230953429953975,0.0003293462640975931,0.00016966990860675137,1.0280091459842836e-05,0.00016926192788597506,0.0003309579121496429,0.00033248043754648387,0.00017880270060923516
0.25,-0.006735227474960309,0.9999792052919017,-0.7731925856706543,-0.005931429038236577,0.0001615142950640745,0.0003534530547215156,0.00039525747546215574,0.0004132643407615045,0.0004187495095407472,0.00021581152489428277,1.4082976910597886e-05,0.00021355830817457785,0.0004166433110394563,0.0004184605024409333,0.00022649327034049687
0.26,-0.00769519328543522,0.9999698844581527,-0.7565934749158947,-0.00669173806468328,0.00023472261861927964,0.00045731912342130386,0.0005025476950004677,0.0005210682126690763,0.0005253018591484231,0.0002709276430157663,1.9012408782614204e-05,0.0002662514915892644,0.0005182315692037693,0.0005204714820721754,0.00028363724872613495
0.27,-0.008731669488223646,0.9999574476709477,-0.7396274578552886,-0.007492996648085481,0.00032515668236520866,0.0005815769135909983,0.0006299326767900066,0.0006485433058312966,0.0006509474949276915,0.0003360783221087087,2.534196094620099e-05,0.0003283160395418051,0.0006374791841442578,0.0006403192109362375,0.00035147700888654015
0.28,-0.009843944747885167,0.9999411543620562,-0.7223230581422009,-0.008330742756606281,0.00043498008033847173,0.0007284979558639807,0.0007795742824177549,0.0007977619904387867,0.0007976610256818714,0.0004123559295529187,3.338551218464228e-05,0.00040075637980151266,0.0007761678284423437,0.000779845448407944,0.00043132907842439224
0.29,-0.011030628583081258,0.9999201539711303,-0.7047089975024284,-0.009199803117732396,0.0005664151987558154,0.0009003905213025489,0.0009536659082116251,0.0009708249260182112,0.0009674416932728049,0.0005009011945835409,4.3464345978726573e-05,0.00048462448498027416,0.0009361016773255905,0.0009409248960953924,0.0005245885415567459
