t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.1,4.1370444396615635e-16,1.9165983904112505e-16,2.5126385347351565e-17,3.900417315516602e-17,-9.568084172184577e-18,4.9412514011026865e-17,1.2920979390596e-16,3.9871534893154426e-17,-1.7436681438998125e-16,-1.5311645180926536e-16,-1.716563089587675e-16,1.2920979390596e-16,-4.0088375327651526e-17,1.7034171382462882e-16,1.0857607131084523e-16
0.11,-1.3483409267572855e-16,8.721051224930276e-17,-1.9034524390698637e-16,-7.932294144447072e-17,3.943785402416022e-18,-6.544515363665626e-17,-8.973128230033156e-17,-6.891460058860988e-17,1.696098773582011e-16,1.3101228001771714e-16,-1.1867948030569453e-16,-9.981436250444675e-17,-2.0694708967317066e-17,-6.753224281869086e-17,-1.3701604954785562e-17
0.12,-1.9418060909215384e-16,1.9439744952665095e-16,3.6093090322042443e-16,-2.7647155398380363e-17,1.0419182877585698e-16,1.0419182877585698e-16,7.643625316022806e-17,9.898765834792655e-17,-1.4604203263379745e-16,-1.818207043258191e-16,-7.231628490478315e-17,5.139118297581291e-17,5.824876171678373e-17,-7.03376159399971e-17,-7.279739961882359e-17
0.13,-3.433803805533153e-16,1.5621998052800512e-16,1.5621998052800512e-16,7.295325368111838e-17,-9.35802000126551e-17,2.438099635376778e-17,-5.194683658921173e-17,-1.0225381739253914e-16,1.4494427793415587e-16,1.262960005674052e-16,2.2646272877790974e-17,4.7799763279454677e-17,-1.0268749826153334e-16,1.4976897760171637e-16,6.31683290744367e-17
0.14,-5.851777938083169e-16,-3.0066281495738645e-17,-3.0066281495738645e-17,3.8626735273869506e-16,8.095602096677701e-17,-9.24959978401696e-18,1.1567081927704725e-17,3.238376363942641e-17,-1.7361464913281943e-16,-1.2027190224653261e-16,6.122354142754083e-17,-1.531232280728434e-16,9.944166800765486e-17,-1.4046516770907513e-16,1.0253164419923855e-16
0.15,6.035414681047901e-16,-1.7361464913281943e-16,4.3700801441101667e-16,-2.846369515953351e-16,6.924663750393356e-17,1.3735486272675734e-17,-3.657149453065167e-17,-1.402008934295318e-17,1.0654319223743491e-16,6.577719055197995e-17,1.3993661914998845e-16,1.2183044286948053e-16,-8.736636631159755e-17,5.520621937024628e-17,-1.1118493278838848e-16
0.16,-1.2767158207374618e-16,2.609064765450586e-16,-1.6649279611230527e-17,9.437302285128513e-17,-1.83182733305004e-16,-9.991600645811727e-17,-2.5322896991114563e-17,-1.6649279611230527e-17,-9.080870820923903e-17,-9.710385707323299e-18,1.9715538880291095e-16,-7.405778464433799e-17,2.1026745882640752e-17,4.532642707347212e-17,-6.01935493636796e-17
0.17,2.291495172866004e-16,1.1812721482408473e-16,-1.4555075352438995e-16,7.649385140064136e-17,6.955495749673413e-17,-8.507598922222193e-18,-2.4360667563033678e-18,6.695287228276892e-17,4.6786711874538534e-17,-3.195008277043221e-18,2.341368472800337e-16,-6.922292058141044e-17,3.3058001865440834e-17,-1.3384814632512454e-16,9.603998369148159e-17
0.18,-2.976439895333721e-16,-2.0088233377082987e-17,-3.3966021184897444e-17,2.505286288752989e-16,1.2871512666476348e-17,-7.29972993943756e-17,7.055106824270518e-17,-4.71932876892206e-17,-2.7135547498238766e-17,1.155996685094779e-16,2.266490760263057e-16,1.2817641371030974e-16,-6.573314483872272e-17,1.3119523913432407e-16,-6.195198976217953e-18
0.19,3.913997371243457e-16,-2.4933897110088026e-17,-8.131241007933426e-17,6.657276624768855e-17,5.789914886780451e-17,-1.1221217199517113e-16,-2.599332356886634e-18,1.9586154597598e-17,2.3502834945701885e-17,-1.0927466173409322e-16,1.9706666210168606e-16,-1.7605982149330578e-16,9.902937472057883e-17,-3.778253988698851e-17,-7.884076793924621e-17
0.2,-1.2042976801207713e-16,-6.491861678081931e-17,5.8246750013534e-17,2.9416914274637976e-16,1.1224001820331212e-16,-6.632807960505046e-17,-7.597747894017145e-17,-5.516079722844977e-17,-3.363260784103447e-17,1.7549643870426327e-16,1.7811885270896258e-16,5.621725907191269e-17,-1.0382199301526207e-16,-8.909420764487792e-17,8.356520008167547e-17
0.21,1.2733615702663348e-16,1.828473082578913e-16,9.264168750709734e-17,2.03663989969613e-16,1.0478475183893499e-16,1.7677577609197248e-16,-1.107546400511833e-16,-2.0115338431395124e-17,-2.659683454378503e-18,-1.0468310788526447e-16,3.3335828672140244e-17,1.3061248046661311e-17,8.818968233632873e-17,1.6059405866762633e-16,3.529078071440317e-17
0.22,-7.82353511401962e-16,2.7235836199193675e-16,7.806933268253435e-17,-7.458633320342467e-17,-1.2136288068259615e-17,-5.550437496767979e-17,5.725265097081267e-17,-3.028989819381378e-18,4.315802272850111e-17,1.0680069025340022e-16,-1.0347354483658533e-17,-1.0700397816074125e-16,-2.53500020454267e-17,-1.3580309836738746e-16,-1.0545899006494941e-16
0.23,5.017145553176672e-17,2.167049092255402e-16,1.6119375799428237e-16,-1.9217483507305566e-17,1.4731597018646791e-16,1.0221315981107093e-16,-2.6156377411212794e-17,1.5476986012230576e-17,-7.64633582145402e-17,-6.778974083465616e-17,-1.4064812682568206e-16,1.4270811095340452e-16,-6.776263578034403e-17,3.595485454505054e-17,1.0198276684941776e-17
0.24,6.904402722295033e-16,-5.896026939247734e-17,2.463510623794407e-16,-8.671584500810625e-17,-2.5324929870187973e-16,-1.3857459017080354e-17,4.512313916613109e-17,1.5632840074525367e-17,8.849122606555127e-17,-1.819426770702237e-17,-1.7670462532440312e-16,-1.2195241561388515e-16,1.295282782941276e-16,8.336837080055726e-17,1.1732422759008765e-16
0.25,3.5366674866477155e-16,1.8713329497099807e-16,-1.459336124165489e-16,-1.1817803680091998e-16,-7.15573433840433e-18,-7.15573433840433e-18,1.3660947373317356e-17,-6.960577947356938e-17,-7.741203511546502e-17,-1.0842021724855044e-18,-1.968911145233676e-16,5.0198560586078855e-17,-1.550951207740514e-16,-1.5449880957918438e-16,-6.216544206488761e-17
