t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.3,-0.026399802149799312,0.8459132488160033,-0.7381727637463806,-0.07922855716567201,-0.001873627109124254,-5.691997724432962e-06,-5.872508052817693e-05,-1.691432272055149e-05,-1.9389214830412005e-05,-0.0002877494853519291,0.0007059689725608109,-0.0004328517945295096,-3.471708035440724e-05,1.5186849637638389e-05,1.1145071669549367e-05
0.31,-0.024460749810744586,0.8347868021776934,-0.724633954422076,-0.08349736591026552,-0.002301259139454448,-0.00011612077477912708,-7.951485672258451e-05,-5.9808982682318934e-05,-7.053724528410799e-05,-0.0002790712390335903,0.0007819795764753557,-0.00048093559094625205,2.3061507854471586e-06,-4.613127738195555e-06,-1.7770668162386816e-05
0.32,-0.022298192714438003,0.8241243756582698,-0.7117059446393061,-0.08750543344611739,-0.0026171247629064864,-9.946035077568194e-05,6.59557740624872e-05,2.947445316553443e-05,1.4433628190757553e-05,-0.00020998026034063644,0.0008594775334508364,-0.0005744689381604329,-2.7415257669305415e-05,-2.8539078043732236e-05,-1.7350398698767755e-05
0.33,-0.02007104857906078,0.8141646057470648,-0.6997635720953738,-0.09126681400625197,-0.0026711832685032966,-2.7489843648864642e-05,-2.87907995308867e-05,4.543500926934563e-06,2.5034999562967286e-05,-0.00019854821234449593,0.0009422215066169914,-0.0007159545422802394,-7.252966826093443e-05,-2.0049176907011024e-06,1.3420595900037746e-05
0.34,-0.017776160257262807,0.805030317113607,-0.6889840573295118,-0.09513782916135088,-0.002984341616031727,-0.00010611117770831235,-9.956826261869889e-05,-6.279013063242855e-05,-6.982146540784884e-05,-0.00020312797190880083,0.0010303676618972912,-0.0008309138092591484,-5.0398105127191783e-05,2.7055602061398787e-05,1.6205561428450643e-05
0.35000000000000003,-0.015343915963433874,0.7967730992887503,-0.6791723239960167,-0.09906061976731673,-0.00347436397591655,-0.00013774681237532782,5.3591739312686126e-05,1.5848491660586106e-05,-1.367034764337971e-05,-0.00012373068954035782,0.0011198165860656917,-0.00092195574266557,-2.3449123819963003e-05,-4.16687813842298e-06,-1.4857299972192983e-05
0.36,-0.012827955713256622,0.7894964674412257,-0.6702471616727479,-0.10271931990146349,-0.0036840893158051613,-7.028562946664874e-05,4.384855717687319e-06,2.478003321981781e-05,6.873898258052957e-05,-4.473820187927968e-05,0.0012128779055335936,-0.0010680515193153828,-6.75074146594401e-05,-3.537362615879669e-05,-1.940862289673273e-05
0.37,-0.010401980574964664,0.7834104610879428,-0.6625628208146737,-0.10614585852069258,-0.003882592290853859,-0.00010695691079198877,-0.00010876525589614827,-5.595536903851839e-05,-2.3828154204263985e-05,-2.581775025256583e-05,0.0013120873845794967,-0.0012636102571213503,-0.0001105650093103927,2.9193180944298014e-06,1.3446784758452957e-05
0.38,-0.008189462044988993,0.7787350008291063,-0.6564520532695954,-0.10959141722326954,-0.004354545109445551,-0.00016513602572376662,3.268243227444456e-05,4.5102235957106274e-07,-3.451030440448921e-05,5.146890910850965e-05,0.0014110666586866494,-0.0014297852726149474,-8.519581671878607e-05,3.799343198290783e-05,2.1795271024416252e-05
0.39,-0.0061858354396199244,0.7755495548250166,-0.6517825176735299,-0.11300786202195995,-0.004750575284645231,-0.00012553790330283032,3.585930725430453e-05,4.067817011604857e-05,9.45301837989021e-05,0.00019482544604709773,0.0015099694186361257,-0.0015783335835758416,-7.233020894420461e-05,-4.190465707543112e-06,-1.0381702529094206e-05
0.4,-0.004360290387078858,0.7737909243737277,-0.6482793918065992,-0.11613910491630558,-0.004986562024108132,-0.00012728669351608213,-0.00010530866453190013,-3.9034756371125745e-05,6.219365266668664e-05,0.0002689463412276494,0.0016192100288120181,-0.0017850825626539724,-0.00013017970180473348,-3.956155544987405e-05,-2.04260896153885e-05
